N	2gram	Savitsky_E	KulturaY
1	и т	1	143
2	т е	9	102
3	и в	37	84
4	в том	11	74
5	потому что	3	68
6	не только	18	60
7	точки зрения	23	59
8	в этом	12	57
9	было бы	8	53
10	и не	14	52
11	может быть	6	47
12	что в	21	44
13	том что	6	44
14	того чтобы	6	44
15	т д	1	42
16	в самом	4	41
17	для того	6	41
18	у нас	1	38
19	хотя бы	15	37
20	так как	7	36
21	с точки	17	36
22	в области	11	34
23	таким образом	2	33
24	а не	2	33
25	если бы	2	32
26	можно было	3	32
27	не в	5	30
28	в его	2	30
29	прежде всего	9	30
30	все же	1	29
31	не менее	1	28
32	того что	7	28
33	все эти	1	28
34	уже не	1	26
35	в силу	2	26
36	то что	6	25
37	вовсе не	6	25
38	не может	9	25
39	вопрос о	4	24
40	с другой	7	24
41	то же	15	23
42	только в	9	23
43	так и	10	23
44	иными словами	4	22
45	по себе	4	20
46	во всяком	3	20
47	и что	2	20
48	но и	14	20
49	тем что	3	19
50	о том	3	19
51	что же	2	19
52	всяком случае	3	19
53	но в	14	19
54	и с	2	18
55	с тем	3	18
56	к тому	8	18
57	в качестве	14	18
58	связи с	1	18
59	между тем	8	18
60	вместе с	2	18
61	как бы	6	18
62	в той	5	17
63	другой стороны	2	17
64	как это	4	17
65	что это	2	17
66	слова и	1	17
67	что и	3	16
68	что не	1	16
69	тот же	1	16
70	в русском	1	16
71	но не	5	16
72	при этом	1	15
73	именно в	4	15
74	в данном	3	15
75	как на	3	15
76	в нашем	1	15
77	не было	1	15
78	и тем	3	15
79	один из	1	15
80	по отношению	1	15
81	целый ряд	2	15
82	а в	2	15
83	лишь в	1	15
84	должно быть	1	15
85	в них	3	14
86	и на	6	14
87	сказать что	4	14
88	хотя и	2	14
89	в связи	1	14
90	в ней	4	14
91	если мы	1	14
92	как мы	5	14
93	также и	7	14
94	между прочим	7	13
95	в этой	2	13
96	там где	3	13
97	не могут	2	13
98	в которых	3	13
99	той же	1	13
100	для нас	4	13
101	в пределах	25	13
102	и его	1	13
103	с этой	6	12
104	говорить о	1	12
105	в результате	3	12
106	но также	2	12
107	того же	3	12
108	этот вопрос	2	12
109	могут быть	2	12
110	тогда когда	2	12
111	как в	3	12
112	этого слова	1	12
113	однако не	1	12
114	в рамках	1	12
115	для этого	1	12
116	те же	1	11
117	в своем	14	11
118	на себе	1	11
119	он не	2	11
120	в нем	1	11
121	должна быть	2	11
122	и то	2	11
123	и если	2	11
124	этом отношении	3	11
125	уже в	1	11
126	в их	11	11
127	в какой	2	11
128	или иной	4	11
129	как и	7	10
130	речь идет	1	10
131	так же	9	10
132	конечно не	1	10
133	несмотря на	4	10
134	бы в	2	10
135	ту же	1	10
136	этом смысле	3	10
137	в общем	3	10
138	в то	16	10
139	со стороны	5	10
140	в каком	4	10
141	с этим	2	10
142	бы и	3	10
143	тем более	4	10
144	того или	4	10
145	тех же	1	10
146	тем самым	5	10
147	от того	1	10
148	в своей	8	9
149	можно сказать	4	9
150	что все	2	9
151	очевидно что	3	9
152	рядом с	1	9
153	или иного	4	9
154	не имеет	4	9
155	что мы	1	9
156	но это	1	9
157	и для	3	9
158	дает нам	1	9
159	то мы	1	9
160	а также	7	9
161	ли не	1	9
162	на то	6	9
163	в этих	2	8
164	но все	1	8
165	на практике	1	8
166	по преимуществу	2	8
167	с одной	8	8
168	тому же	1	8
169	в таком	3	8
170	тому что	1	8
171	не есть	2	8
172	в своих	2	8
173	в тех	1	8
174	отнюдь не	9	8
175	мы видели	3	8
176	был бы	1	8
177	заключается в	2	8
178	то и	1	8
179	только тогда	1	8
180	состоит в	1	8
181	с его	1	8
182	независимо от	4	8
183	и как	2	8
184	об этом	1	8
185	не говоря	2	8
186	в частности	5	8
187	далеко не	2	8
188	и о	1	8
189	же в	2	8
190	само по	4	8
191	что на	2	8
192	следует что	1	7
193	например в	1	7
194	а именно	2	7
195	казалось бы	1	7
196	в котором	2	7
197	в одном	2	7
198	свою очередь	2	7
199	указать на	1	7
200	внимание на	1	7
201	во внимание	1	7
202	не значит	1	7
203	столь же	5	7
204	чуть ли	1	7
205	одной стороны	8	7
206	в процессе	4	7
207	с ним	1	7
208	сводится к	1	7
209	с ними	1	7
210	и более	2	7
211	когда мы	1	7
212	идет о	3	7
213	в свою	3	7
214	в истории	2	7
215	на этот	2	7
216	в самой	1	7
217	смысле этого	1	7
218	есть в	2	7
219	и потому	5	7
220	том случае	1	7
221	она не	2	7
222	здесь можно	1	7
223	когда он	3	7
224	говоря уже	2	6
225	даже в	4	6
226	в корне	1	6
227	в соответствии	1	6
228	случаи когда	1	6
229	уже о	1	6
230	можно ли	3	6
231	что как	1	6
232	именно с	1	6
233	она есть	1	6
234	гораздо более	1	6
235	на язык	2	6
236	мы знаем	1	6
237	в ее	8	6
238	от этого	5	6
239	той или	4	6
240	могли бы	1	6
241	на этом	1	6
242	должны быть	1	6
243	за пределы	1	6
244	то или	1	6
245	или иное	1	6
246	главным образом	2	6
247	его к	1	6
248	не на	4	6
249	оно не	1	6
250	если не	1	6
251	этой точки	5	6
252	а если	1	6
253	на основе	2	6
254	когда в	1	6
255	что если	2	6
