N	2gram	Medvedev_I	Marksizm
1	и в	1	63
2	и не	2	55
3	в этом	2	39
4	так и	1	23
5	для него	1	20
6	если бы	1	19
7	по отношению	1	16
8	отношению к	1	15
9	что в	2	13
10	того чтобы	1	13
11	ничего не	2	13
12	для того	1	12
13	того же	1	12
14	он не	2	12
15	в основе	1	12
16	а в	1	12
17	все эти	1	11
18	с другой	1	10
19	никогда не	1	10
20	другой стороны	1	8
21	и с	3	8
22	бы в	1	7
23	того что	1	7
24	все это	1	6
25	себя в	1	5
26	от этого	1	5
27	в материале	1	5
28	для других	1	5
29	только что	1	4
30	в них	1	4
31	тем что	1	4
32	следующим образом	1	4
33	не дает	1	4
34	и тот	1	4
35	от нее	1	4
36	со всеми	1	4
37	автора и	1	4
38	жизни и	1	4
39	с героем	1	3
40	говорить о	1	3
41	и та	1	3
42	и др	1	3
43	не так	1	3
44	есть только	1	3
45	должен быть	2	3
46	в значительной	1	3
47	а по	1	3
48	и о	1	3
49	в целом	1	3
50	бы что	2	2
51	этим и	1	2
52	не остается	1	2
53	а с	1	2
54	при такой	1	2
55	как о	1	2
56	нее и	1	2
57	это было	1	2
58	и очень	1	1
59	здесь отметим	1	1
60	и сам	1	1
61	в художественном	1	1
62	только для	1	1
63	как только	1	1
64	было не	1	1
65	в первую	1	1
66	так то	1	1
67	и еще	1	1
68	по поводу	1	1
69	на котором	1	1
70	та и	1	1
71	и чрезвычайно	1	1
72	я не	1	1
73	но когда	1	1
74	в эту	1	1
75	могло бы	1	1
76	личности для	1	1
77	достоевского а	2	1
78	что для	1	1
79	пушкина и	1	1
80	первую очередь	1	1
81	автор и	1	1
82	художественного творчества	1	1
83	следовательно в	1	1
84	это был	1	1
85	а если	1	1
86	то она	1	1
87	федор павлович	1	1
88	стороны он	1	1
89	без этого	1	1
90	по существу	1	1
91	и без	1	1
92	цель и	1	1
93	и со	1	1
94	нисколько не	1	1
95	ибо и	1	1
96	отметим только	1	1
97	он с	1	1
