N	4gram	Ircho_Kome	EvropaiC
1	до сих пор не	2	5
2	бы то ни было	3	3
3	одного и того же	1	3
4	как бы то ни	2	2
5	несмотря на то что	1	2
6	но вместе с тем	1	2
7	в то же время	11	2
8	состоит в том что	1	1
9	с этой точки зрения	1	1
10	и до сих пор	1	1
11	в то время как	3	1
12	то же самое что	1	1
13	до сих пор еще	1	1
14	на то обстоятельство что	1	1
15	не говоря уже о	2	1
16	так как все они	1	1
17	никому и в голову	1	1
18	новые вопросы является ли	1	1
19	до сих пор на	1	1
20	и в голову не	1	1
21	в тех случаях когда	1	1
22	в том числе и	2	1
23	одному и тому же	1	1
24	о том что он	1	1
25	таким же образом как	1	1
26	в том виде как	1	1
27	в этой области не	1	1
28	тем не менее в	1	1
