N	3gram	Voloshinov	OGranits
1	с точки зрения	31	5
2	не может быть	23	4
3	до тех пор	2	4
4	тех пор пока	2	3
5	одно и то	3	3
6	вполне понятно что	4	3
7	по отношению к	9	3
8	есть прежде всего	2	3
9	в том что	9	2
10	в двух разных	1	2
11	и не является	1	2
12	то же слово	2	2
13	не чем иным	1	2
14	ничего общего с	2	2
15	не что иное	1	2
16	того или иного	2	2
17	изолированное монологическое высказывание	2	2
18	в зависимости от	2	2
19	истории языка и	1	2
20	и то же	3	2
21	чем иным как	1	2
22	социального общения и	3	2
23	в самом деле	13	2
24	что иное как	1	2
25	с одной стороны	2	2
26	с другой стороны	6	2
27	с самого начала	9	2
28	в жизненной речи	3	2
29	языка как системы	7	2
30	мы все же	1	1
31	к единству языка	1	1
32	в процессе взаимодействия	1	1
33	и т.д и	1	1
34	является таким образом	1	1
35	тесно связана с	3	1
36	соссюр и его	1	1
37	в узком смысле	4	1
38	не было бы	3	1
39	представителей этой школы	1	1
40	на самом деле	5	1
41	собственном смысле слова	2	1
42	в науке о	3	1
43	единству языка как	1	1
44	или менее случайно	1	1
45	как и всякого	1	1
46	абстрактного объективизма в	3	1
47	интонация может быть	1	1
48	и тот же	3	1
49	как неизменная и	1	1
50	и как бы	1	1
51	философия языка и	3	1
52	языковой формы напр	1	1
53	существует лишь в	1	1
54	и его школа	1	1
55	чуть ли не	2	1
56	и сложнее его	1	1
57	лишь с точки	3	1
58	его proton pseudos	1	1
59	точки зрения своего	2	1
60	которым можно было	1	1
61	иметь не может	1	1
62	но в то	6	1
63	которого только и	1	1
64	между тем мы	1	1
65	и его аудиторией	1	1
66	свое идеологическое выражение	1	1
67	на почву языка	1	1
68	взаимодействия теперь мы	1	1
69	может быть объяснено	1	1
70	нормативная тождественность языковой	1	1
71	лишь в процессе	2	1
72	равно как и	1	1
73	подобно тому как	1	1
74	и здесь и	1	1
75	ничего общего не	1	1
76	нет никакого идеологического	1	1
77	в конечном счете	1	1
78	мы дали в	1	1
79	в нашу задачу	3	1
80	и наконец его	1	1
81	так же как	2	1
82	от своего идеологического	1	1
83	на то что	2	1
84	для того чтобы	7	1
85	в данную эпоху	1	1
86	о языке и	1	1
87	быть и речи	4	1
88	науке о языке	3	1
89	мы должны различать	1	1
90	может овладеть только	1	1
91	в школе фосслера	1	1
92	ни о какой	1	1
93	и других представителей	1	1
94	неразрывно связаны между	1	1
95	то что социально	1	1
96	при таком подходе	1	1
97	но тем не	1	1
98	мы полагаем что	2	1
99	в чем же	2	1
100	с одним из	1	1
101	данной социальной группы	3	1
102	и более или	1	1
103	в самой лингвистике	1	1
104	то или иное	1	1
105	абстрактного объективизма индивидуальный	1	1
106	может быть понята	1	1
107	в последнее время	1	1
108	другой стороны оно	1	1
109	в собственном смысле	2	1
110	направления абстрактного объективизма	1	1
111	существует как бы	1	1
112	один и тот	3	1
113	от него не	1	1
114	в другом месте	1	1
115	в отличие от	7	1
116	является уже идеологическим	1	1
117	выходит за пределы	1	1
118	этой точки зрения	1	1
119	на изолированное монологическое	1	1
120	тождественность языковой формы	1	1
121	ту или иную	1	1
122	в предшествующей главе	1	1
123	лингвистике но и	1	1
124	побочно и более	1	1
125	как и в	1	1
126	в связи с	12	1
127	сознания с другой	1	1
128	то же самое	8	1
129	теперь мы можем	1	1
130	быть сведены к	2	1
131	в системе языка	3	1
132	что побочно и	1	1
133	к тому что	4	1
134	существует только в	1	1
135	и его учеников	1	1
136	тем не менее	3	1
137	должны быть сведены	1	1
138	фосслера и его	2	1
139	и системой языка	1	1
140	нет и не	2	1
141	еще тем что	1	1
142	только с помощью	2	1
143	что же такое	1	1
144	в этом отношении	4	1
145	интонации в жизненной	1	1
146	же самое слово	1	1
147	точки зрения и	1	1
148	то же время	7	1
149	что же является	2	1
150	языка что же	1	1
151	представители абстрактного объективизма	2	1
152	его за норму	1	1
153	более или менее	3	1
154	в то же	7	1
155	само по себе	2	1
156	интонация не может	1	1
157	монологическое высказывание и	1	1
158	в достаточной мере	1	1
159	прежде всего в	1	1
160	фигурирует в двух	1	1
161	сознания и его	1	1
162	законченное монологическое высказывание	1	1
163	с этой точки	1	1
164	можно было бы	2	1
165	но что же	1	1
166	в последнем счете	1	1
167	и не может	11	1
168	слове в каждом	1	1
169	тот же самый	1	1
170	является не чем	1	1
171	превращения его в	1	1
172	может быть и	8	1
