N	3gram	Ircho_Kome	slovoVRo
1	и т п	7	72
2	то же время	5	18
3	в то же	5	18
4	той или иной	1	15
5	в отличие от	3	14
6	в отношении к	1	12
7	в большинстве случаев	2	11
8	с одной стороны	5	11
9	и т д	4	10
10	более или менее	1	9
11	в пределах одного	1	9
12	в зависимости от	1	8
13	т п в	1	8
14	во всяком случае	4	8
15	в значительной степени	1	7
16	так и в	1	6
17	но все же	1	6
18	с другой стороны	6	6
19	большей или меньшей	1	6
20	в том что	13	5
21	по отношению к	5	5
22	как мы уже	1	5
23	не только в	1	5
24	в этом отношении	3	5
25	до конца и	1	5
26	для того чтобы	3	4
27	на первый план	1	4
28	до сих пор	3	4
29	при всем различии	1	4
30	таким образом в	2	4
31	в новое время	2	4
32	того или иного	1	3
33	в данном случае	1	3
34	а затем и	2	3
35	в связи с	3	3
36	к тому что	3	3
37	в стороне от	1	3
38	как и в	2	3
39	в основе его	1	3
40	со всех сторон	1	3
41	как мы видели	1	3
42	в другом случае	1	3
43	на этом фоне	1	2
44	так и для	1	2
45	о которых мы	1	2
46	с этой точки	1	2
47	и во всех	1	2
48	тем не менее	2	2
49	а между тем	1	2
50	в первом случае	1	2
51	в чем не	1	2
52	в нем не	1	2
53	и в том	1	2
54	сих пор не	1	2
55	хотя и не	1	2
56	но прежде всего	1	2
57	но и в	2	2
58	же время он	1	2
59	о том что	6	2
60	этой точки зрения	1	2
61	в то время	8	2
62	можно было бы	3	2
63	с самого начала	2	2
64	же как и	1	2
65	и не только	1	2
66	на протяжении всего	3	2
67	то время как	6	2
68	ни в чем	1	2
69	именно здесь в	1	1
70	если они не	1	1
71	время от времени	1	1
72	и на этот	2	1
73	как раз на	1	1
74	от которого он	1	1
75	что он не	2	1
76	и столь же	2	1
77	принимает участие в	1	1
78	из них он	1	1
79	и даже не	1	1
80	в применении к	1	1
81	в той же	2	1
82	только в условиях	1	1
83	до конца в	1	1
84	ни одной из	1	1
85	как впрочем не	1	1
86	поэтому и в	1	1
87	представить себе как	1	1
88	при этом что	2	1
89	у нас в	2	1
90	и своим собственным	1	1
91	основе его лежит	1	1
92	до наших дней	1	1
93	обстоит дело с	1	1
94	во всех отношениях	1	1
95	в том числе	4	1
96	и все это	1	1
97	и на события	1	1
98	в частности в	2	1
99	при всех возможных	1	1
100	так или иначе	4	1
101	к сожалению не	1	1
102	в том случае	1	1
103	одной из самых	1	1
104	именно потому что	2	1
105	речь идет о	5	1
106	могут быть отнесены	1	1
107	в один ряд	1	1
108	том числе и	1	1
109	само по себе	1	1
110	в один из	1	1
111	каждого из этих	1	1
112	и по своей	1	1
113	найдем ту же	1	1
114	и прежде всего	1	1
115	а в душе	1	1
116	целом ряде случаев	1	1
117	том что в	1	1
118	всем различии в	1	1
119	и у него	1	1
120	то ни было	4	1
121	типов но в	1	1
122	имеет различное значение	1	1
123	в сущности и	1	1
124	бы то ни	4	1
125	для этой цели	2	1
126	человеку и его	1	1
127	в разной степени	1	1
128	в какой мере	1	1
129	может и не	1	1
130	дошедшие до нас	1	1
131	ни в одной	1	1
132	в одном из	4	1
133	и не все	1	1
134	между людьми и	1	1
135	так уже в	1	1
136	и что же?	1	1
137	по аналогии с	1	1
138	могла бы быть	1	1
139	вообще одна из	1	1
140	и во всяком	1	1
141	и особенно в	1	1
142	на то что	2	1
143	и вот в	1	1
144	для своего выражения	1	1
145	как это было	1	1
146	в чем же	1	1
147	вместе со своим	1	1
148	и в дальнейшем	1	1
149	в последние десятилетия	1	1
150	в целом ряде	1	1
151	но и не	1	1
152	как один из	1	1
153	все это как	1	1
154	сложнее обстоит дело	1	1
155	жизни но и	1	1
156	да и в	1	1
157	связи с этим	1	1
158	к той разновидности	1	1
159	он может быть	1	1
160	мы найдем в	1	1
161	подобно тому как	1	1
162	так и на	1	1
163	которого он в	1	1
164	так же как	1	1
165	и все остальные	1	1
166	в начале xx	1	1
167	и его современников	3	1
168	том что он	4	1
169	можем судить по	1	1
170	в соединении с	1	1
171	мы ничего не	1	1
172	том случае если	1	1
173	может быть также	1	1
174	и на его	1	1
175	большинстве случаев не	1	1
176	следовательно и в	1	1
177	мы можем судить	2	1
178	чем это было	1	1
179	потому что по	1	1
