N	4gram	Bakhtin_Pr	slovoVRo
1	в то же время	10	18
2	той или иной степени	2	13
3	в той или иной	2	13
4	но в то же	5	7
5	и в то же	3	6
6	в одной плоскости с	4	3
7	точка зрения на мир	2	3
8	точки зрения на мир	1	3
9	можно прямо сказать что	1	3
10	и его слово в	1	3
11	в истории европейского романа	1	3
12	знают друг о друге	1	3
13	лежит в одной плоскости	1	2
14	из одного в другой	1	2
15	с этой точки зрения	1	2
16	и в том и	1	2
17	лежат в одной плоскости	1	2
18	не значит конечно что	3	2
19	или иной степени объектны	1	2
20	и не может быть	1	2
21	в то время как	2	2
22	это не значит конечно	3	2
23	то же время и	1	2
24	в зависимости от характера	1	2
25	тем что он есть	1	2
26	именно в том что	2	1
27	не могут до конца	1	1
28	то перед нами не	1	1
29	она не может быть	1	1
30	мы имеем в виду	2	1
31	здесь конечно не в	1	1
32	у ивана карамазова и	2	1
33	и в авторской речи	1	1
34	в этом романе и	1	1
35	как бы ни были	1	1
36	во всяком случае не	1	1
37	слово героя о себе	2	1
38	одной плоскости с авторским	2	1
39	они в той или	1	1
40	ни с одним из	1	1
41	является лишь одним из	2	1
42	необходимо еще раз подчеркнуть	1	1
43	как и у него	1	1
44	дело в том что	1	1
45	непрерывном диалогическом взаимодействии с	1	1
46	роман не только не	1	1
47	на мир и на	3	1
48	в большинстве случаев в	1	1
49	а в том что	1	1
50	во всех сферах идеологической	1	1
51	нет и не может	1	1
52	одной и той же	1	1
53	по отношению к себе	1	1
54	всех сферах идеологической жизни	1	1
55	могут быть весьма различны	1	1
56	она не входит в	1	1
57	в непрерывном диалогическом взаимодействии	1	1
58	то есть только в	1	1
59	себе самом и своем	1	1
60	в своей книге о	1	1
61	можно сказать что в	1	1
62	мы говорили в предшествующей	1	1
63	только с точки зрения	1	1
64	в том числе и	1	1
65	чужих слов о нем	1	1
66	бы оно ни было	1	1
67	мир и на события	1	1
68	все новые и новые	1	1
69	с точки зрения которого	1	1
70	вступает в диалогические отношения	1	1
71	зрения на мир и	1	1
72	между героем и автором	1	1
73	не лежат в одной	1	1
74	мы не можем здесь	1	1
75	героя о себе самом	4	1
76	в том что он	4	1
77	говорили в предшествующей главе	2	1
78	еще раз подчеркнуть что	1	1
79	но с другой стороны	2	1
80	особая точка зрения на	1	1
81	и не могут быть	1	1
82	с ним и с	1	1
83	бы то ни было	2	1
84	с другой стороны и	1	1
85	дело здесь конечно не	1	1
86	самом и своем мире	1	1
87	заключается в том чтобы	1	1
88	диалогическом взаимодействии с другими	1	1
89	друг с другом в	2	1
90	голоса эпохи то есть	1	1
91	о себе самом и	4	1
92	точками зрения на мир	1	1
93	так же как и	3	1
94	переходил из одного в	1	1
95	как мы уже говорили	1	1
96	не только в смысле	1	1
