N	2gram	Savitsky_E	slovoVRo
1	и в	37	92
2	и т	1	82
3	то есть	6	64
4	может быть	6	59
5	и его	1	59
6	в нем	1	59
7	и не	14	51
8	не только	18	44
9	не может	9	41
10	но и	14	39
11	в этом	12	36
12	а не	2	34
13	во всех	6	32
14	точки зрения	23	30
15	так и	10	30
16	могут быть	2	29
17	в пределах	25	29
18	в его	2	27
19	как бы	6	24
20	слова и	1	24
21	то же	15	23
22	и на	6	22
23	как в	3	21
24	не в	5	21
25	вовсе не	6	21
26	в процессе	4	20
27	в то	16	20
28	прежде всего	9	19
29	как мы	5	19
30	с ним	1	18
31	как и	7	18
32	язык и	1	18
33	же время	14	18
34	или иной	4	18
35	таким образом	2	17
36	оно не	1	17
37	и даже	6	17
38	все же	1	17
39	в основе	1	17
40	в истории	2	17
41	все эти	1	17
42	в большинстве	2	17
43	при этом	1	16
44	в них	3	16
45	отличие от	1	16
46	но в	14	16
47	в той	5	15
48	и с	2	15
49	с точки	17	15
50	со своим	1	15
51	той или	4	15
52	там где	3	15
53	только в	9	14
54	в отличие	1	14
55	отношении к	15	13
56	иной степени	1	13
57	с другой	7	13
58	с его	1	13
59	точка зрения	2	13
60	рядом с	1	13
61	и следовательно	1	13
62	и для	3	13
63	и к	3	12
64	в отношении	32	12
65	во всяком	3	12
66	никогда не	3	12
67	и потому	5	12
68	или в	2	12
69	а в	2	12
70	и наконец	2	12
71	один из	1	11
72	в этих	2	11
73	большинстве случаев	3	11
74	с ними	1	11
75	для него	1	11
76	с одной	8	11
77	на его	1	11
78	одной стороны	8	11
79	и их	1	10
80	и все	2	10
81	уже не	1	10
82	лишь в	1	10
83	т д	1	10
84	в своем	14	10
85	может не	1	10
86	в том	11	10
87	с другими	2	10
88	она не	2	10
89	в себе	9	10
90	далеко не	2	10
91	всех этих	1	10
92	пределах одного	1	9
93	более или	1	9
94	в своей	8	9
95	конечно не	1	9
96	сказать что	4	9
97	так как	7	9
98	одна из	1	9
99	в их	11	9
100	в смысле	9	9
101	или менее	1	9
102	и других	2	9
103	он не	2	9
104	быть и	1	9
105	и от	3	9
106	но не	5	9
107	с ее	1	9
108	к нему	2	9
109	более того	1	9
110	в самом	4	8
111	для нас	4	8
112	не на	4	8
113	не могут	2	8
114	в значительной	2	8
115	для понимания	2	8
116	с этим	2	8
117	всяком случае	3	8
118	входит в	1	8
119	в одной	1	8
120	они могут	1	8
121	в ней	4	8
122	во всем	1	7
123	еще более	2	7
124	кроме того	1	7
125	но все	1	7
126	например в	1	7
127	том что	6	7
128	и иных	1	7
129	известной степени	3	7
130	значительной степени	1	7
131	на своем	3	7
132	но именно	2	7
133	того же	3	7
134	по преимуществу	2	7
135	не было	1	7
136	связи с	1	7
137	в таком	3	7
138	также и	7	7
139	ту же	1	7
140	за пределы	1	7
141	с которым	1	7
142	жизни и	2	7
143	что в	21	6
144	дело с	1	6
145	даже в	4	6
146	в одном	2	6
147	другой стороны	2	6
148	по себе	4	6
149	именно в	4	6
150	большей или	1	6
151	можно сказать	4	6
152	по своим	3	6
153	в свою	3	6
154	говорить о	1	6
155	мы сказали	1	6
156	в качестве	14	6
157	бы и	3	6
158	а также	7	6
159	мира и	3	6
160	на этом	1	6
161	хотя бы	15	6
162	между тем	8	6
163	стороны и	6	6
164	нем и	1	6
165	или меньшей	1	6
166	он в	1	6
167	которые в	1	6
168	в чисто	1	6
169	должна быть	2	5
170	не как	1	5
171	а затем	1	5
172	в результате	3	5
173	в рамки	1	5
174	по отношению	1	5
175	вместе с	2	5
176	не менее	1	5
177	о том	3	5
178	не является	3	5
179	в данном	3	5
180	и более	2	5
181	мы не	4	5
182	для того	6	5
183	той же	1	5
184	уже в	1	5
185	хотя и	2	5
186	этом отношении	3	5
187	с их	1	5
188	как его	1	5
189	в других	2	5
190	и сам	1	5
191	меньшей степени	2	5
192	оно может	1	5
193	и по	5	5
194	для этого	1	5
195	к единому	1	4
196	обстоит дело	3	4
197	в большей	1	4
198	в некоторых	2	4
199	в другой	2	4
200	те же	1	4
201	влияние на	2	4
202	для всех	1	4
203	если бы	2	4
204	в точном	1	4
205	в построении	1	4
206	его на	2	4
207	всегда в	1	4
208	ли он	1	4
209	так же	9	4
210	к тому	8	4
211	друг с	3	4
212	входя в	1	4
213	поэзии и	1	4
214	того чтобы	6	4
215	лежат в	4	4
216	случае она	1	4
217	тогда когда	2	4
218	с этой	6	4
219	от других	1	4
220	свою очередь	2	4
221	и во	2	4
222	в известной	3	4
223	в свой	1	4
224	связано с	3	4
225	но это	1	4
226	из них	3	4
227	того что	7	4
228	что оно	1	4
229	значение в	1	4
230	одной из	5	4
231	том же	1	4
232	что и	3	4
233	в виде	5	4
234	а на	1	4
235	и как	2	4
236	же как	5	4
237	оценок и	1	4
238	только и	1	4
239	с другом	3	4
240	в иные	1	4
241	но как	2	4
242	в частности	5	4
243	литературы и	1	4
244	и о	1	4
245	вообще не	3	4
246	в лучшем	1	4
247	бы ни	3	4
248	лучшем случае	1	4
249	и ее	1	4
250	мы видели	3	4
251	и другие	1	3
252	все что	1	3
253	в состав	1	3
254	переходит в	1	3
255	эта идея	1	3
256	в разных	1	3
257	и то	2	3
258	нас в	1	3
259	в связи	1	3
260	борьбы с	1	3
261	нами в	1	3
262	или к	1	3
263	в более	1	3
264	стороне от	1	3
265	с таким	1	3
266	тем что	3	3
267	или на	1	3
268	в корне	1	3
269	притом в	2	3
270	жизни в	3	3
271	как более	1	3
272	этот процесс	2	3
273	от этого	5	3
274	было бы	8	3
275	силы и	1	3
276	почти все	1	3
277	связана с	1	3
278	как это	4	3
279	которых мы	1	3
280	из себя	1	3
281	или иных	1	3
282	на которые	1	3
283	в этой	2	3
284	целый ряд	2	3
285	и до	1	3
286	и те	1	3
287	как оно	2	3
288	отметить что	3	3
289	и вообще	1	3
290	в эту	2	3
291	если мы	1	3
292	такая же	1	3
293	в сознании	1	3
294	мы говорили	1	3
295	этого слова	1	3
296	именно к	2	3
297	в свое	1	3
298	или наоборот	1	3
299	идеологической жизни	1	3
300	выходит за	1	3
301	должно быть	1	3
302	эпох и	1	3
303	различия между	1	3
304	чем в	4	3
305	входить в	1	3
306	и где	1	3
307	дело в	3	3
308	тому что	1	3
309	в стороне	3	3
310	лишь на	1	3
311	не есть	2	3
312	между собой	2	3
313	в новом	1	3
314	и это	1	3
315	xx века	1	3
316	в такой	1	3
317	потому что	3	3
318	и тем	3	3
319	во второй	3	3
320	не выходит	1	3
321	данном случае	2	3
322	такой же	2	3
323	включает в	1	3
324	тех или	1	3
325	степени и	1	3
326	или иного	4	3
327	ведь и	2	3
328	того или	4	3
329	с которыми	1	2
330	утверждать что	2	2
331	положения и	1	2
332	никак нельзя	1	2
333	та же	1	2
334	в последнем	1	2
335	их из	2	2
336	как с	1	2
337	которая в	1	2
338	был бы	1	2
339	во власти	2	2
340	xix и	1	2
341	в идеологическом	2	2
342	из всех	3	2
343	различны и	1	2
344	тем как	1	2
345	связанное с	1	2
346	в последние	6	2
347	далее в	1	2
348	для них	2	2
349	связанная с	1	2
350	связь с	1	2
351	особого рода	1	2
352	этой точки	5	2
353	с такими	1	2
354	с ней	1	2
355	не обязательно	1	2
356	для осуществления	1	2
357	заключается в	2	2
358	на территории	1	2
359	но по	2	2
360	в идеологической	1	2
361	то время	1	2
362	в жизни	1	2
363	а именно	2	2
364	которые при	1	2
365	дело идет	2	2
366	на себе	1	2
367	можно утверждать	2	2
368	не нужно	2	2
369	в известном	3	2
370	всем его	1	2
371	по своему	7	2
372	и отчасти	2	2
373	то что	6	2
374	в котором	2	2
375	мы увидим	1	2
376	во все	3	2
377	ибо в	1	2
378	то и	1	2
379	в течение	5	2
380	о которых	1	2
381	в двух	1	2
382	существенное значение	1	2
383	время в	3	2
384	мы все	1	2
