N	3gram	Medvedev_S	Formalny
1	то же время	1	20
2	в то же	1	20
3	в связи с	1	16
4	во всяком случае	1	16
5	в настоящее время	1	13
6	по отношению к	2	12
7	с одной стороны	1	8
8	и в этом	1	7
9	в том что	2	6
10	и в то	1	6
11	не в том	2	4
12	в конце концов	2	4
13	в лучшем случае	1	4
14	сама по себе	1	4
15	то же самое	1	3
16	только то что	1	3
17	на первый план	1	3
18	науки о литературе	1	3
19	в противном случае	1	3
20	именно в том	1	3
21	ровно ничего не	1	3
22	так называемым формальным	1	2
23	о том как	1	2
24	и наконец в	1	2
25	должно было бы	1	2
26	не выходит за	1	2
27	друг от друга	1	2
28	наука о литературе	1	2
29	выходит за пределы	1	2
30	дело не в	2	2
31	в каждом своем	1	1
32	может развиваться в	1	1
33	часть нашей работы	1	1
34	тем более не	1	1
35	том что это	1	1
36	имманентно с помощью	1	1
37	какие в частности	1	1
38	и лингвистику и	1	1
39	ныне так называемым	1	1
40	лингвистику и какие	1	1
41	целом все это	1	1
42	исторического развития литературы	2	1
43	поэтической формы звук	1	1
44	изучается имманентно с	1	1
45	наиболее ценная часть	1	1
46	тематика художественный стиль	1	1
47	тех методов какие	1	1
48	один из путей	1	1
49	том и заключается	1	1
50	формы звук слово	1	1
51	в этой области	1	1
52	называемым формальным методом	1	1
53	между ними в	1	1
54	а с другой	1	1
55	историка литературы и	1	1
56	научной мысли в	1	1
57	не может не	1	1
58	композиция жанр поэтическая	1	1
59	методов какие выработала	1	1
60	по существу это	1	1
61	эстетику и лингвистику	1	1
62	предварительно изучается имманентно	1	1
63	жанр поэтическая тематика	1	1
64	в том и	1	1
65	чуть ли не	1	1
66	она должна стать	1	1
67	с помощью тех	1	1
68	образ ритм композиция	1	1
69	истории литературы и	1	1
70	помощью тех методов	1	1
71	какие выработала теоретическая	1	1
72	опираясь на психологию	1	1
73	психологию эстетику и	1	1
74	по крайней мере	1	1
75	но как и	1	1
76	методом по существу	1	1
77	хотя бы о	1	1
78	и какие в	1	1
79	это наиболее ценная	1	1
80	в частности практикуются	1	1
81	только в этом	2	1
82	поэтическая тематика художественный	1	1
83	истории литературы как	1	1
84	в целом все	1	1
85	не было бы	1	1
86	частности практикуются ныне	1	1
87	и должно было	1	1
88	стиль в целом	1	1
89	все эти вопросы	1	1
90	ценная часть нашей	1	1
91	все это предварительно	1	1
92	существу это наиболее	1	1
93	поэтика опираясь на	1	1
94	слово образ ритм	1	1
95	и заключается что	2	1
96	ритм композиция жанр	1	1
97	теоретическая поэтика опираясь	1	1
98	этом не было	1	1
99	диалектического материализма для	1	1
100	формальным методом по	1	1
101	между собой не	1	1
102	элементы поэтической формы	1	1
103	художественный стиль в	1	1
104	не должна быть	1	1
105	практикуются ныне так	1	1
106	это и есть	1	1
107	звук слово образ	1	1
108	это предварительно изучается	1	1
109	на психологию эстетику	1	1
110	выработала теоретическая поэтика	1	1
