N	2gram	Vinokur_Vv	TeoriaLi
1	в качестве	8	33
2	не только	26	24
3	и в	35	24
4	в частности	3	23
5	состоит в	2	22
6	может быть	30	22
7	при этом	3	20
8	в том	38	20
9	в тексте	4	19
10	тогда как	2	18
11	и не	13	17
12	а в	6	15
13	но и	7	14
14	а не	5	14
15	так и	2	14
16	в себе	4	14
17	представляет собой	14	13
18	такого рода	3	13
19	но не	9	13
20	в этом	35	12
21	но в	10	12
22	в его	12	12
23	то же	11	12
24	своего рода	3	11
25	том что	30	11
26	точки зрения	12	11
27	и его	6	11
28	что в	13	10
29	по отношению	4	10
30	как это	5	10
31	лишь в	1	10
32	отношению к	4	10
33	только в	16	9
34	в данном	11	9
35	с другой	8	9
36	не в	10	9
37	в то	6	9
38	в своей	4	8
39	же время	6	8
40	как бы	7	8
41	не может	19	8
42	в самом	13	7
43	в принципе	3	7
44	не столько	2	7
45	или иной	3	7
46	особого рода	4	7
47	и т.п	1	7
48	в отличие	4	7
49	в своем	3	7
50	себя в	2	7
51	мы имеем	4	7
52	а также	3	7
53	отличие от	4	7
54	во второй	3	7
55	отношение к	3	7
56	однако в	3	7
57	место в	1	7
58	в области	4	7
59	в нем	13	7
60	другой стороны	5	6
61	более или	1	6
62	как и	7	6
63	не менее	9	6
64	еще не	4	6
65	то что	19	6
66	со стороны	16	6
67	уже не	6	6
68	в ее	11	6
69	с другими	1	6
70	в конечном	3	6
71	или иначе	4	6
72	между ними	3	6
73	или менее	1	6
74	того или	1	6
75	в первой	1	6
76	или иного	1	6
77	в виду	5	5
78	так или	4	5
79	не предполагает	1	5
80	как в	3	5
81	можно сказать	4	5
82	того чтобы	22	5
83	для того	23	5
84	жизни как	2	5
85	художественности в	1	5
86	иначе говоря	1	5
87	на почве	5	5
88	как к	1	5
89	данном случае	5	5
90	для него	1	5
91	а и	1	5
92	того что	12	5
93	в себя	1	5
94	между тем	10	5
95	и тем	5	5
96	и о	1	5
97	в ходе	1	5
98	могут быть	6	5
99	искусства в	1	5
100	в отношении	3	4
101	не на	1	4
102	не следует	3	4
103	и сам	3	4
104	в этих	3	4
105	значении этого	2	4
106	отношения к	1	4
107	что он	5	4
108	в слове	3	4
109	для читателя	1	4
110	с позиций	1	4
111	языка в	5	4
112	входит в	3	4
113	в другом	3	4
114	говорить о	5	4
115	отношении к	2	4
116	и т.д	5	4
117	сказать что	6	4
118	в текстах	3	4
119	к тому	4	4
120	этого слова	2	4
121	никогда не	3	4
122	или иным	2	4
123	и того	3	4
124	это не	8	4
125	хотя и	5	4
126	в литературе	1	4
127	слова в	1	4
128	в их	12	4
129	его в	6	4
130	но он	1	4
131	или даже	1	4
132	по своему	5	4
133	а только	8	4
134	в свою	2	4
135	и что	6	4
136	в форме	2	4
137	далеко не	1	4
138	того же	3	4
139	одного и	2	4
140	в силу	3	4
141	в целом	5	4
142	и ее	4	4
143	и к	3	3
144	к действительности	2	3
145	и составляет	1	3
146	во втором	2	3
147	в таком	1	3
148	в момент	1	3
149	для себя	1	3
150	с этой	5	3
151	литературы как	1	3
152	о чем	4	3
153	подобно тому	2	3
154	данного текста	1	3
155	если бы	3	3
156	все эти	3	3
157	а именно	6	3
158	именно в	8	3
159	например в	2	3
160	в жизни	1	3
161	в соответствии	2	3
162	в итоге	1	3
163	тем не	9	3
164	культуры в	5	3
165	свою очередь	2	3
166	между собой	1	3
167	своей природе	3	3
168	потому что	18	3
169	одной стороны	4	3
170	искусства и	2	3
171	между двумя	1	3
172	или иных	3	3
173	в одном	4	3
174	о литературе	3	3
175	специфическом значении	1	3
176	имеем в	1	3
177	на две	1	3
178	мог бы	2	3
179	во всей	1	3
180	от себя	3	3
181	из этих	9	3
182	и для	4	3
183	о ней	1	3
184	таким образом	21	3
185	и то	7	3
186	на языке	2	3
187	человека к	1	3
188	мышления и	1	3
189	с одной	4	3
190	и вот	3	3
191	том числе	1	3
192	и потому	2	3
193	с точки	4	3
194	ни к	2	3
195	к которому	1	3
196	как раз	4	3
197	есть в	1	3
198	прежде всего	10	3
199	иного рода	1	3
200	все прочие	1	3
201	связи с	3	3
202	или в	1	3
203	без остатка	2	3
204	одним из	5	3
205	в связи	2	3
206	и как	9	3
207	в сторону	1	3
208	вовсе не	6	3
209	текст и	3	3
210	той или	3	3
211	во всех	2	3
212	а с	2	3
213	тому как	2	3
214	с языком	1	3
215	в которой	1	3
216	не будет	1	3
217	он должен	1	3
218	не с	3	3
219	к области	1	3
220	этом смысле	11	3
221	в этой	3	3
222	что можно	2	3
223	и др	2	3
224	слова как	2	3
225	тех или	3	3
226	как совокупность	2	3
227	в культуре	1	3
228	мира в	1	3
229	в той	10	2
230	о жизни	1	2
231	и другие	2	2
232	на деле	1	2
233	однако с	2	2
234	один из	6	2
235	и здесь	3	2
236	таковы например	1	2
237	и на	3	2
238	жизни а	1	2
239	которая в	1	2
240	быть названо	4	2
241	об искусстве	4	2
242	к числу	2	2
243	выступать как	1	2
244	по слову	1	2
245	на этом	3	2
246	из которых	3	2
247	а затем	2	2
248	по себе	11	2
249	не могут	6	2
250	в них	5	2
251	оно не	1	2
252	и даже	6	2
253	этой точки	2	2
254	текста по	1	2
255	самом деле	7	2
256	может оказаться	3	2
257	заключается в	4	2
258	имеет дело	5	2
259	во множестве	1	2
260	значения и	1	2
261	и соответственно	1	2
262	в одно	1	2
263	с ними	1	2
264	вместе с	6	2
265	не вполне	4	2
266	языка на	2	2
267	отличается от	1	2
268	вследствие этого	1	2
269	в известном	3	2
270	в каком	3	2
271	к своему	2	2
272	о том	16	2
273	казалось бы	2	2
274	сам же	2	2
275	при всей	2	2
276	это и	1	2
277	еще и	4	2
278	ними и	2	2
279	вытекает из	1	2
280	духовной жизни	3	2
281	языка могут	1	2
282	к нему	3	2
283	в значительной	3	2
284	но во	1	2
285	е о	1	2
286	сложности и	1	2
287	времени в	3	2
288	не всегда	1	2
289	не могло	1	2
290	только на	3	2
291	может служить	3	2
292	речь идет	2	2
293	о своем	1	2
294	говорит что	1	2
295	и это	6	2
296	превращается в	1	2
297	времени и	4	2
298	значительной степени	1	2
299	и наоборот	3	2
300	известного рода	1	2
301	соответствии с	2	2
302	если мы	1	2
303	имеем дело	1	2
304	о полку	1	2
305	что она	3	2
306	здесь не	3	2
307	на котором	2	2
308	в произведениях	1	2
309	он и	2	2
310	в системе	1	2
311	не просто	5	2
312	в самой	1	2
313	только о	2	2
314	для такого	1	2
315	на время	1	2
316	истории литературы	3	2
317	бы то	1	2
318	то в	1	2
319	что они	2	2
320	но на	1	2
321	рода и	1	2
322	большей части	2	2
323	на вопрос	6	2
324	не принадлежит	1	2
325	одной из	4	2
326	несмотря на	2	2
327	но от	1	2
328	ни было	1	2
329	к нашему	1	2
330	в основании	3	2
331	в формах	2	2
332	что такое	12	2
333	ее в	1	2
334	все это	6	2
335	двоякого рода	2	2
336	что и	5	2
337	у нас	2	2
338	или иную	1	2
339	не ограничивается	1	2
340	что каждый	1	2
341	в европейской	1	2
342	с их	5	2
343	таком случае	1	2
344	уже говорилось	1	2
345	слова не	1	2
346	у него	1	2
347	дело в	5	2
348	этих двух	2	2
349	каждая из	1	2
350	живописи или	1	2
351	не могли	2	2
352	искусства как	1	2
353	в конце	3	2
354	знания о	1	2
355	я и	1	2
356	сама по	3	2
357	тому что	2	2
358	случае не	2	2
359	в какой	6	2
360	не от	1	2
361	можно охарактеризовать	1	2
362	это было	1	2
363	в чем	4	2
364	об этом	6	2
365	должен быть	4	2
366	это тоже	1	2
367	подобных случаях	1	2
368	вопрос что	2	2
369	тем более	2	2
370	а для	1	2
371	но как	2	2
372	как уже	5	2
373	ту или	1	2
374	одну из	1	2
375	то ни	1	2
376	дело не	5	2
377	быть и	2	2
378	в первом	5	2
379	одно и	2	2
380	и является	1	2
381	автора и	1	2
382	за пределы	1	2
383	таких случаях	1	2
384	от своего	1	2
385	это может	2	2
386	человека и	1	2
387	мы по	1	2
388	тем или	2	2
389	так же	3	2
390	полку игореве	1	2
391	что может	3	2
392	известном смысле	3	2
393	и особенно	1	2
394	это делает	2	2
395	с чем	2	2
