N	2gram	Medvedev_S	Narrotol
1	не только	3	62
2	и не	1	50
3	но и	2	45
4	в частности	2	31
5	может быть	2	30
6	и в	3	30
7	в том	5	29
8	в этом	5	28
9	том что	2	28
10	а в	1	27
11	только в	2	25
12	в данном	1	24
13	как и	1	24
14	не в	3	23
15	то что	2	23
16	не может	1	20
17	так и	1	17
18	в его	3	16
19	иначе говоря	1	15
20	и его	1	14
21	то же	2	13
22	в своей	1	13
23	о том	1	13
24	у него	1	13
25	все же	1	12
26	перед нами	1	12
27	как бы	2	12
28	прежде всего	1	12
29	по отношению	2	11
30	в мире	1	11
31	в этой	1	11
32	отношению к	2	11
33	один из	1	10
34	никогда не	1	10
35	между тем	1	10
36	в то	1	10
37	ничего не	1	10
38	но не	1	10
39	столь же	1	9
40	отнюдь не	1	9
41	что в	2	9
42	с ним	1	9
43	что он	1	9
44	еще не	2	9
45	далеко не	2	9
46	же время	1	8
47	в котором	1	7
48	с другой	1	7
49	в конце	2	7
50	в чем	1	7
51	в силу	1	7
52	это не	1	7
53	в целом	1	7
54	в результате	2	6
55	с одной	1	6
56	в конечном	1	6
57	таким образом	2	6
58	никак не	1	6
59	они не	1	6
60	одной стороны	1	6
61	именно в	1	5
62	может служить	1	5
63	не было	1	5
64	или не	1	5
65	между собой	1	5
66	что это	1	5
67	том как	1	5
68	стало быть	1	5
69	было бы	2	5
70	мы не	1	5
71	тем более	2	5
72	и о	1	5
73	место в	1	5
74	как будто	2	5
75	даже в	1	4
76	по себе	1	4
77	в них	1	4
78	конечном счете	1	4
79	хотя бы	1	4
80	представить себе	1	4
81	тому что	1	4
82	и по	1	4
83	но именно	1	4
84	всяком случае	1	4
85	зависит от	1	4
86	во всяком	1	4
87	для нас	3	4
88	и как	1	4
89	или даже	2	4
90	ли не	1	4
91	в области	1	4
92	эти два	1	4
93	что на	1	4
94	более не	1	3
95	в этих	1	3
96	в строгом	1	3
97	что она	1	3
98	по природе	2	3
99	связи с	1	3
100	в связи	1	3
101	между ними	1	3
102	но как	1	3
103	а с	1	3
104	и что	2	3
105	в него	1	3
106	еще и	1	3
107	быть не	1	3
108	тем же	1	3
109	на этот	1	3
110	же не	1	3
111	в виде	1	3
112	все эти	1	3
113	и потому	1	3
114	дело не	2	3
115	же самое	1	3
116	со своими	1	3
117	и только	3	3
118	новое и	1	2
119	те же	1	2
120	тем что	1	2
121	как только	2	2
122	на первый	1	2
123	с помощью	1	2
124	а между	1	2
125	вовсе не	1	2
126	к которому	2	2
127	бы в	1	2
128	и мы	2	2
129	время в	1	2
130	очевидно что	2	2
131	даже не	1	2
132	и есть	1	2
133	должна быть	2	2
134	в сущности	1	2
135	все то	1	2
136	в процессе	1	2
137	это и	2	2
138	более чем	3	2
139	наконец в	1	2
140	вступает в	1	2
141	на основании	1	2
142	она может	2	2
143	значении слова	1	2
144	все это	7	2
145	и более	1	2
146	он говорит	1	2
147	строгом значении	1	2
148	и наконец	1	2
149	литература как	1	1
150	результате его	1	1
151	тех кто	1	1
152	и стало	1	1
153	только когда	1	1
154	но стоит	1	1
155	настаивает на	1	1
156	искусство слова	1	1
157	легко но	1	1
158	словесного творчества	1	1
159	вопрос автор	1	1
160	упрощенно говоря	1	1
161	возможность именно	1	1
162	что все	1	1
163	сколь и	1	1
164	в литературоведении	2	1
165	в противном	1	1
166	система не	1	1
167	хотелось бы	1	1
168	сказать и	1	1
169	не от	1	1
170	опираясь на	1	1
171	его в	1	1
172	как же	3	1
173	том именно	1	1
174	произведение как	1	1
175	но ведь	3	1
176	полагает что	1	1
177	базируются на	1	1
178	автор с	1	1
179	не один	1	1
180	это по	1	1
181	за пределы	2	1
182	а тем	1	1
183	это вовсе	1	1
184	быть для	1	1
185	и должно	1	1
186	друг от	1	1
187	по крайней	1	1
188	их друг	1	1
189	субъект может	1	1
190	именно на	1	1
191	их между	2	1
192	главным образом	2	1
193	не из	1	1
194	мы еще	1	1
195	что автор	1	1
196	невозможно ни	1	1
197	может не	1	1
198	исторической жизни	2	1
199	на что	1	1
200	стр в	1	1
201	от друга	1	1
202	этом не	1	1
203	слова но	1	1
204	далеко еще	1	1
205	противном случае	1	1
206	это происходит	1	1
207	понимаем всю	1	1
208	и остаются	1	1
209	мы должны	1	1
210	нужно было	2	1
211	но она	1	1
212	что данный	1	1
213	кто не	1	1
214	только то	1	1
215	принять его	1	1
216	как то	1	1
217	него и	1	1
218	крайней мере	1	1
219	и благодаря	1	1
220	благодаря этому	1	1
221	не желая	1	1
222	творчества это	1	1
223	для этого	1	1
224	им не	2	1
