N	3gram	Nazirov_Vr	KulturaY
1	с точки зрения	2	36
2	в том что	2	33
3	тем не менее	1	19
4	во всяком случае	1	19
5	с другой стороны	1	17
6	до сих пор	1	14
7	по крайней мере	1	13
8	в связи с	3	12
9	и в самом	1	11
10	не может быть	2	11
11	в этом отношении	1	11
12	в этом смысле	1	10
13	о том что	1	10
14	а с другой	1	7
15	в свою очередь	1	7
16	то же время	4	6
17	в то же	4	6
18	речь идет о	1	5
19	в соответствии с	1	5
20	и в этом	1	5
21	тем более что	1	5
22	к вопросу о	1	4
23	на то что	1	4
24	заключается в том	1	4
25	точно так же	1	4
26	так же как	1	4
27	о том как	1	3
28	в той же	1	3
29	в конце концов	1	3
30	в известном смысле	1	3
31	в то время	1	3
32	не только как	1	3
33	можно говорить об	1	2
34	еще один пример	1	2
35	а следовательно и	1	2
36	что в ней	1	2
37	это дает нам	1	2
38	имеется в виду	1	2
39	не забудем что	1	2
40	и то же	1	2
41	и в то	1	2
42	тем что он	1	2
43	но ведь не	1	2
44	от того как	1	2
45	едва ли не	1	2
46	может быть и	1	2
47	лет тому назад	1	1
48	в письме к	2	1
49	пишущий эти строки	1	1
50	в литературе и	1	1
51	целого ряда других	1	1
52	уже на пороге	1	1
53	войне и мире	1	1
54	в эти годы	2	1
55	но нас интересует	1	1
56	ни тот ни	1	1
57	в своем дневнике	1	1
58	все равно не	1	1
59	а также в	1	1
60	у тургенева в	1	1
61	а тем более	1	1
62	и никогда не	1	1
63	в их отношениях	1	1
64	они как бы	1	1
65	это не было	1	1
66	не только не	1	1
67	тот ни другой	1	1
68	на этот раз	1	1
69	с тех пор	1	1
70	но в этом	1	1
71	но это не	1	1
72	и о том	2	1
73	что для нас	1	1
74	но не менее	1	1
75	и не может	1	1
76	с помощью которых	1	1
77	не только от	1	1
78	не с точки	1	1
79	в это время	1	1
80	было одним из	1	1
81	ответ на это	1	1
82	связи с этим	1	1
83	в войне и	1	1
84	это состояло в	1	1
85	что к этому	1	1
86	не было бы	1	1
87	у целого ряда	1	1
88	всего то что	1	1
89	далеко не все	1	1
90	одно и то	1	1
91	в году и	2	1
92	и то что	1	1
93	и с первого	1	1
94	и все же	5	1
95	что как раз	1	1
96	то что я	1	1
97	между прочим и	1	1
98	то что они	1	1
99	но и как	1	1
100	в году в	2	1
101	на первое место	1	1
