N	2gram	Berdyaev_V	Analitik
1	не только	2	71
2	тогда как	1	67
3	и в	16	66
4	но и	5	57
5	в том	3	52
6	может быть	1	52
7	в этом	4	51
8	как и	4	50
9	и не	20	48
10	а не	7	42
11	том что	2	40
12	то есть	1	35
13	так и	4	35
14	в мире	5	31
15	как бы	5	29
16	а в	2	28
17	в его	4	27
18	не в	3	26
19	но не	2	26
20	не случайно	1	24
21	что в	3	22
22	к тому	3	22
23	в этой	1	22
24	лишь в	3	21
25	я в	1	20
26	в самом	1	19
27	то же	1	19
28	в своей	3	19
29	с его	3	19
30	но в	3	19
31	с другой	1	17
32	только в	2	17
33	в целом	1	17
34	что и	3	16
35	могут быть	2	16
36	то что	9	16
37	и на	1	15
38	не есть	6	15
39	между тем	2	15
40	уже не	2	15
41	прежде всего	2	15
42	в их	1	15
43	в себя	2	14
44	этого слова	1	13
45	ничего не	1	13
46	для него	2	13
47	и сам	2	12
48	никогда не	3	12
49	как это	1	12
50	как в	1	12
51	еще не	8	12
52	есть не	1	12
53	это не	2	11
54	не с	2	11
55	все же	1	10
56	в конце	3	10
57	со своей	1	10
58	один из	2	10
59	на себя	5	10
60	говорить о	4	9
61	говорит о	1	9
62	в результате	1	9
63	другой стороны	1	9
64	в своем	1	9
65	крайней мере	1	9
66	во всех	3	9
67	вместе с	1	9
68	по крайней	1	9
69	того что	5	9
70	о чем	1	8
71	роль в	1	8
72	не всегда	1	8
73	с ним	2	8
74	нашего времени	1	8
75	и все	4	8
76	что он	4	8
77	хотя и	5	8
78	во всяком	2	7
79	в противоположность	1	7
80	в одном	1	7
81	как мы	1	7
82	одна из	2	7
83	в ее	1	7
84	у него	1	7
85	личности и	3	7
86	и тем	1	7
87	в глазах	1	7
88	и для	3	7
89	жизни но	1	7
90	все это	5	7
91	в новом	1	7
92	себя и	1	7
93	во всем	1	6
94	хотя бы	3	6
95	превращается в	3	6
96	вовсе не	1	6
97	что не	4	6
98	не будет	2	6
99	в нем	4	6
100	он был	1	6
101	если в	1	6
102	на этом	1	6
103	в сознании	1	6
104	более чем	2	6
105	и то	2	6
106	уже в	1	6
107	что на	1	6
108	все что	4	5
109	которая в	1	5
110	не так	2	5
111	в этих	3	5
112	в них	3	5
113	по пути	5	5
114	тем что	2	5
115	ведет к	1	5
116	речь идет	1	5
117	в котором	4	5
118	для того	1	5
119	для себя	1	5
120	к этому	1	5
121	к жизни	1	5
122	ни в	3	5
123	будто бы	1	5
124	я не	1	5
125	и до	1	5
126	но как	1	5
127	а с	2	5
128	и по	1	5
129	и потому	7	5
130	как сам	1	5
131	не могут	2	5
132	жизни в	1	5
133	да и	2	5
134	еще и	1	5
135	что мы	4	5
136	в роли	1	5
137	тот же	3	5
138	и смерти	1	5
139	мы не	2	5
140	все эти	3	5
141	человека к	1	5
142	в искусстве	1	5
143	нового времени	1	5
144	таким же	1	5
145	мира в	2	5
146	ты не	5	4
147	о своем	1	4
148	связь с	1	4
149	в своих	1	4
150	было написано	1	4
151	на него	1	4
152	к нему	1	4
153	не было	3	4
154	в которой	1	4
155	лишь на	1	4
156	в двух	1	4
157	в чем	3	4
