N	3gram	Tiupa_Disk	SlovoVZh
1	по отношению к	13	11
2	не может быть	5	7
3	можно сказать что	3	5
4	в том что	18	4
5	дело в том	3	4
6	до сих пор	1	3
7	тем не менее	1	3
8	и не может	3	3
9	на самом деле	1	2
10	одной стороны и	3	2
11	то же самое	2	2
12	одно и то	2	2
13	в данном случае	6	2
14	с одной стороны	12	2
15	с другой стороны	4	2
16	до известной степени	2	2
17	и то же	2	2
18	но отнюдь не	2	2
19	с точки зрения	3	2
20	в такой же	1	2
21	и соответствующей ему	1	1
22	в своем значении	1	1
23	сам по себе	1	1
24	сами по себе	2	1
25	о чем говорят	1	1
26	о том что	8	1
27	не совпадают с	1	1
28	включает в себя	1	1
29	только в организации	1	1
30	на передний план	2	1
31	в противном случае	1	1
32	при этом слово	1	1
33	в самом деле	1	1
34	случае мы имеем	1	1
35	в науке о	2	1
36	можно определить как	2	1
37	в том и	1	1
38	читателя и того	1	1
39	в свою очередь	3	1
40	взаимодействия трех говорящего	1	1
41	того о ком	1	1
42	или не хочет	1	1
43	по себе не	2	1
44	что не только	1	1
45	как и в	3	1
46	продукт социального взаимодействия	1	1
47	не только его	1	1
48	но прежде всего	1	1
49	место в творчестве	1	1
50	во всяком случае	2	1
51	здесь имеет место	1	1
52	науке о литературе	2	1
53	имеем дело с	1	1
54	и того о	1	1
55	равно как и	1	1
56	в этом направлении	1	1
57	только то что	2	1
58	и тем же	1	1
59	подобно тому как	4	1
60	с самого начала	2	1
61	в процессе творческого	1	1
62	ком или о	1	1
63	в конечном счете	2	1
64	или о чем	1	1
65	по аналогии с	2	1
66	в основе своей	4	1
67	социального взаимодействия трех	1	1
68	в этом отношении	4	1
69	то же время	9	1
70	далеко не всегда	1	1
71	между тем как	1	1
72	но для этого	1	1
73	тех или иных	1	1
74	не совпадает с	1	1
75	трех говорящего автора	1	1
76	не должно быть	1	1
77	и прежде всего	2	1
78	более или менее	2	1
79	в то же	7	1
80	в чем не	1	1
81	в значительной степени	3	1
82	это прежде всего	3	1
83	героя никогда не	1	1
84	одному и тому	1	1
85	говорит о том	1	1
86	том что в	3	1
87	мы имеем дело	3	1
88	по крайней мере	3	1
89	ни в чем	1	1
90	на этом основании	1	1
91	может быть ни	1	1
92	в частности в	2	1
93	в истории литературы	1	1
94	но и вся	1	1
95	в этом смысле	1	1
96	в русской литературе	2	1
97	чем говорят героя	1	1
98	не может стать	1	1
99	но все же	1	1
100	и тому же	1	1
101	одним и тем	1	1
102	о ком или	1	1
103	к тому же	4	1
