N	2gram	Kanaev_Sov	Russkaja
1	не может	17	22
2	и не	6	19
3	в этом	7	17
4	в том	4	17
5	с другом	2	14
6	и в	7	14
7	друг с	2	14
8	таким образом	11	11
9	то же	3	11
10	точки зрения	12	11
11	же время	1	10
12	в то	1	10
13	не только	4	9
14	с точки	5	9
15	том что	1	9
16	во всяком	2	9
17	может быть	12	9
18	в себе	3	9
19	прежде всего	5	8
20	не будет	1	7
21	самом деле	2	7
22	о том	1	7
23	в данном	1	7
24	и если	1	7
25	мы должны	4	7
26	отнюдь не	3	7
27	и к	3	6
28	если в	1	6
29	и при	1	6
30	все это	3	6
31	на самом	1	6
32	в своих	1	6
33	если бы	1	6
34	и для	1	6
35	в своем	1	6
36	всяком случае	2	6
37	а потому	1	5
38	до сих	1	5
39	из которых	2	5
40	только в	1	5
41	или иной	2	5
42	по существу	1	5
43	жизни в	1	5
44	между собой	3	5
45	во всех	1	5
46	сих пор	1	5
47	и только	1	5
48	вопрос о	4	5
49	в нем	3	5
50	он не	1	5
51	конечно не	1	5
52	а в	4	5
53	при этом	3	5
54	было бы	3	5
55	он должен	2	5
56	никогда не	1	5
57	что в	2	4
58	бы то	1	4
59	все что	1	4
60	так как	4	4
61	в его	2	4
62	не могут	2	4
63	его в	1	4
64	не в	3	4
65	в корне	1	4
66	вместе с	4	4
67	как и	6	4
68	что такой	1	4
69	в мире	1	4
70	все же	3	4
71	приводит к	2	4
72	ли это	1	4
73	том случае	1	4
74	которой он	2	4
75	то ни	2	4
76	можно было	1	4
77	что же	5	4
78	в совершенно	1	4
79	и т.д	3	4
80	как бы	4	4
81	в этой	3	4
82	жизни и	4	4
83	но не	1	4
84	точку зрения	4	4
85	в самом	2	3
86	этом случае	1	3
87	может не	3	3
88	данном случае	1	3
89	должно быть	1	3
90	несмотря на	1	3
91	что это	2	3
92	для них	1	3
93	в виде	2	3
94	в будущем	1	3
95	не было	1	3
96	связи с	1	3
97	или в	1	3
98	ни одна	2	3
99	именно в	1	3
100	в конце	3	3
101	но если	1	3
102	в вопросах	1	3
103	но мы	3	3
104	той или	1	3
105	еще не	3	3
106	все они	1	3
107	и потому	3	3
108	только к	1	3
109	при условии	1	3
110	одна из	3	3
111	и ни	1	3
112	в другом	1	3
113	говорить о	2	3
114	знаем что	2	3
115	в большинстве	1	3
116	она может	2	3
117	и во	2	3
118	одной из	1	3
119	что все	2	3
120	он сам	1	3
121	и по	2	3
122	из этих	2	3
123	таким же	1	3
124	из них	4	3
125	что с	1	2
126	что такое	2	2
127	и должно	1	2
128	из всех	1	2
129	самому своему	1	2
130	с ним	1	2
131	будет ли	1	2
132	в некоторых	2	2
133	для нас	3	2
134	на которой	1	2
135	ни в	1	2
136	в результате	6	2
137	у него	2	2
138	по себе	1	2
139	и даже	2	2
140	к чему	2	2
141	на такой	1	2
142	этом направлении	1	2
143	все эти	5	2
144	но для	1	2
145	в таком	2	2
146	ясно что	3	2
147	не подлежит	3	2
148	их в	4	2
149	на эту	1	2
150	всю эту	1	2
151	отличается от	3	2
152	по самому	1	2
153	ведь в	1	2
154	так же	1	2
155	если же	2	2
156	уже не	2	2
157	с этим	2	2
158	его и	1	2
159	совершенно не	2	2
160	мы можем	6	2
161	на этой	3	2
162	и более	1	2
163	мы уже	1	2
164	она не	1	2
165	в течение	1	2
166	это только	1	2
167	в ней	1	2
168	и тогда	1	2
169	быть и	2	2
170	а не	3	2
171	только на	1	2
172	и что	2	2
173	и тот	1	2
174	этого не	1	2
175	в начале	1	2
176	факт что	1	2
177	по отношению	1	2
178	и те	1	2
179	тот факт	1	2
180	этот вопрос	1	2
181	отметить что	1	2
182	дела не	1	2
183	на это	1	2
184	свою задачу	1	2
185	центр тяжести	1	2
186	настоящее время	2	2
187	благодаря этому	1	2
188	и от	1	2
189	но в	3	2
190	и есть	2	2
191	в области	3	2
192	но это	1	2
193	в настоящее	2	2
194	не можем	7	2
195	и наконец	5	2
196	вся эта	1	2
197	к нему	1	2
198	тем не	2	1
199	то этим	1	1
200	которую можно	1	1
201	этого и	1	1
202	только не	1	1
203	жизни но	1	1
204	что его	1	1
205	то они	1	1
206	поэтому что	1	1
207	совершенно бессильна	1	1
208	один из	1	1
209	и мы	3	1
210	ясного и	2	1
211	все элементы	1	1
212	они не	1	1
213	одна не	1	1
214	отношению к	1	1
215	где это	1	1
216	мы не	9	1
217	на ее	1	1
218	это не	4	1
219	мы знаем	2	1
220	если у	1	1
221	можно назвать	2	1
222	другого для	1	1
223	ни было	1	1
224	ее самостоятельности	1	1
225	уже знаем	1	1
226	человек с	1	1
227	только возможно	1	1
228	подлежит никакому	1	1
229	а это	1	1
230	что при	2	1
231	никакому сомнению	1	1
232	те же	1	1
233	далее что	1	1
234	в область	1	1
235	мы в	1	1
236	части одной	1	1
237	и всегда	1	1
238	остановиться на	1	1
239	определенные условия	1	1
240	силу и	1	1
241	говорить что	1	1
242	не допускает	1	1
243	должны мы	1	1
244	все равно	1	1
245	полного и	1	1
246	может но	1	1
247	а на	2	1
248	первое время	1	1
249	в духе	1	1
250	на которых	1	1
251	в которой	2	1
252	заключает в	1	1
253	а о	1	1
254	ли оно	2	1
255	дело в	1	1
256	из двух	3	1
257	только такой	1	1
258	с общим	2	1
259	и начало	1	1
260	и будет	2	1
261	и действительно	1	1
262	представление о	1	1
263	всякое же	1	1
264	бы все	1	1
265	положение в	1	1
266	случае не	1	1
267	человек и	1	1
268	каждого элемента	4	1
269	тем же	2	1
270	она и	1	1
271	представители этого	1	1
272	может признать	1	1
273	на другую	1	1
274	в связи	1	1
275	ибо при	1	1
276	для каждого	1	1
277	же как	1	1
278	же остается	1	1
279	при таком	3	1
280	роль в	2	1
281	не менее	2	1
282	в такой	1	1
283	по своим	1	1
284	вследствие этого	1	1
285	есть то	1	1
286	и это	1	1
287	из одного	2	1
288	конечно нет	1	1
289	должен быть	1	1
290	и у	1	1
291	вовсе не	1	1
292	по крайней	1	1
293	на них	1	1
294	причем эти	1	1
295	к одному	1	1
296	это и	1	1
297	но можно	1	1
298	может иметь	2	1
299	но все	2	1
300	человека в	1	1
301	но как	1	1
302	всего необходимо	1	1
303	не является	1	1
304	это конечно	1	1
305	бы к	1	1
306	и занимать	1	1
307	каждая из	2	1
308	с самого	3	1
309	все три	1	1
310	в очень	1	1
311	в какой-нибудь	1	1
312	но ведь	1	1
313	невозможно они	1	1
314	это как	1	1
315	случае и	1	1
316	то и	2	1
317	принципиально не	2	1
318	чтобы он	1	1
319	всех элементов	3	1
320	в свою	2	1
321	это то	1	1
322	то нужно	1	1
323	с тою	1	1
324	не быть	1	1
325	меняется в	1	1
326	всюду где	1	1
327	те или	1	1
328	только один	2	1
329	и вся	1	1
330	и их	1	1
331	на некотором	1	1
332	что эта	1	1
333	на его	2	1
334	силы в	1	1
335	но только	1	1
336	быть таким	1	1
337	сомнению что	1	1
338	стороны и	1	1
339	не существовал	1	1
340	отчасти в	1	1
341	с понятием	1	1
342	самого начала	3	1
343	свою очередь	2	1
344	всегда будет	1	1
345	их и	1	1
346	идет о	1	1
347	всегда и	1	1
348	в данной	1	1
349	на ней	1	1
350	с ее	1	1
351	с другой	1	1
352	вступила в	1	1
353	как мы	2	1
354	другом как	1	1
355	признать за	1	1
356	же самое	2	1
357	может ли	1	1
358	тот или	2	1
359	нет и	4	1
360	одного из	1	1
361	природы и	1	1
362	которых он	1	1
363	у всех	3	1
364	если мы	4	1
365	крайней мере	1	1
366	могут быть	2	1
367	виде и	1	1
368	и ставит	1	1
369	и все	3	1
370	к которому	1	1
371	тем легче	1	1
372	то чем	1	1
373	может оказаться	1	1
374	означало бы	1	1
375	не знаем	2	1
376	в зависимости	4	1
377	на этот	2	1
378	он может	3	1
379	такой же	2	1
380	своему существу	1	1
381	и прежде	1	1
382	же мы	2	1
383	для этих	1	1
384	оно может	1	1
385	к этому	1	1
386	же это	4	1
387	в отдельных	1	1
388	это направление	1	1
389	что вся	1	1
390	для чего	1	1
391	поскольку она	1	1
392	точка зрения	1	1
393	того же	1	1
394	в один	2	1
395	он с	1	1
396	случае когда	1	1
397	которых нет	1	1
398	есть не	1	1
399	подлежит сомнению	2	1
400	а каждая	1	1
401	потом и	1	1
402	иное как	1	1
403	без помощи	1	1
404	такой путь	1	1
405	и ничего	1	1
