N	3gram	Losev_Dial	VelikijI
1	к тому что	3	3
2	то что мы	1	3
3	и т д	28	2
4	в том что	12	2
5	добра и зла	1	2
6	бы и не	2	2
7	а между тем	1	2
8	это еще не	1	2
9	познания добра и	1	2
10	в нем нет	3	2
11	но и в	1	2
12	не верит в	1	2
13	том что он	1	2
14	то что я	2	2
15	веры а не	1	1
16	т д и	3	1
17	все это мы	1	1
18	другой стороны в	1	1
19	в я в	1	1
20	как не есть	1	1
21	в конце концов	4	1
22	вместе с тем	1	1
23	и вместе с	1	1
24	да и то	3	1
25	есть то что	1	1
26	не есть метафизическое	3	1
27	находить ее в	1	1
28	по сравнению с	2	1
29	есть прежде всего	1	1
30	и это еще	1	1
31	и то и	3	1
32	с тем чтобы	1	1
33	я был в	1	1
34	по крайней мере	11	1
35	с ними как	1	1
36	д и т	3	1
37	не могут быть	1	1
38	то и другое	3	1
39	в искусстве но	1	1
40	имеет своим предметом	1	1
41	в жизни и	1	1
42	все равно не	1	1
43	но все же	2	1
44	с другой стороны	7	1
45	от бога по	1	1
46	но от этого	1	1
47	и есть то	1	1
48	и в этом	4	1
49	я думаю что	1	1
50	так как она	4	1
