N	4gram	Losev_Prob	VeschiIm
1	не что иное как	6	12
2	бы то ни было	4	12
3	и т д и	5	11
4	т д и т	5	10
5	д и т д	5	10
6	есть не что иное	6	8
7	одно и то же	3	5
8	и тем не менее	6	5
9	с этой точки зрения	1	4
10	ни в каком случае	5	4
11	дело в том что	3	4
12	в то время как	6	4
13	то это значит что	3	3
14	свидетельствует о том что	1	3
15	а тем не менее	1	3
16	и есть не что	1	3
17	можно ли сказать что	2	3
18	это и значит что	1	3
19	и в то же	2	3
20	так что в результате	1	2
21	по крайней мере в	1	2
22	в каком случае не	4	2
23	или по крайней мере	6	2
24	заключается в том что	4	2
25	не имеет никакого отношения	1	2
26	если это так то	1	2
27	чего бы то ни	2	2
28	в том что он	1	2
29	тут не может быть	1	2
30	но если это так	1	2
31	не может быть никакого	1	2
32	мы должны сказать что	4	1
33	вовсе не потому что	1	1
34	это не значит что	1	1
35	только в том что	1	1
36	уже по одному этому	1	1
37	сама по себе а	2	1
38	в том смысле что	4	1
39	на самом же деле	7	1
40	а не в шутку	1	1
41	мы еще не знали	1	1
42	какой бы то ни	1	1
43	а не что-нибудь иное	1	1
44	взятый сам по себе	4	1
45	содержит в себе в	1	1
46	в этом смысле и	1	1
47	не только то что	1	1
48	ничего общего ни с	1	1
49	ничего не говорит о	1	1
50	как та или иная	1	1
51	может быть и речи	1	1
52	когда мы говорим что	1	1
53	пусть хотя бы и	1	1
54	в отрыве от всего	1	1
55	и как бы ни	1	1
56	когда имеется в виду	1	1
57	с одной стороны и	1	1
58	вовсе не есть только	1	1
59	в чем же дело?	1	1
60	уж во всяком случае	4	1
61	ни о чем не	1	1
62	до сих пор мы	2	1
63	уж тем более не	1	1
64	каких бы то ни	1	1
65	и есть то что	1	1
66	в том что и	1	1
67	отрыве от всего прочего	1	1
68	одного и того же	1	1
69	ведь всякий согласится что	1	1
70	самой по себе без	1	1
71	то же самое время	10	1
72	как и во всяком	1	1
73	с чем мы имеем	1	1
74	несмотря ни на какие	1	1
75	и то и другое	1	1
76	и т д в	1	1
77	можно только то что	1	1
78	подобно тому как мы	1	1
79	не может обойтись без	2	1
80	только в меру ее	1	1
81	становления и в то	1	1
82	о том как эта	1	1
83	не содержит в себе	1	1
84	речь идет о смысловом	1	1
85	в то же самое	10	1
86	и уж тем более	1	1
87	если мы скажем что	2	1
88	только на то что	1	1
89	если нет ничего иного	1	1
90	не есть ни сама	1	1
91	вот это и есть	1	1
92	всерьез а не в	1	1
93	можно было бы представить	1	1
94	что они состоят из	1	1
95	и т д все	1	1
96	не может быть и	1	1
97	ни с чем не	1	1
98	никак не может быть	1	1
99	т д все это	1	1
100	содержит в себе и	2	1
101	том как эта категория	1	1
102	то время как другие	1	1
103	не каких бы то	1	1
104	и не было бы	1	1
105	есть то что мы	1	1
106	тоже никуда не годится	1	1
107	дело вовсе не в	1	1
108	а это значит что	2	1
109	заключается в том чтобы	1	1
110	на то или другое	1	1
111	еще и потому что	1	1
112	тут все дело заключается	1	1
113	в ту или иную	2	1
114	имеет никакого отношения к	1	1
115	потому что оно есть	1	1
116	также и то что	5	1
117	один и тот же	1	1
118	что бы то ни	1	1
