N	2gram	Nazirov_Tv	Mirosoze
1	и в	40	97
2	у достоевского	51	94
3	может быть	11	64
4	не только	16	63
5	в этом	11	55
6	но и	10	54
7	он не	10	53
8	а не	9	53
9	в нем	4	49
10	не может	9	49
11	у него	11	47
12	и не	12	39
13	во имя	3	39
14	никогда не	13	38
15	в ней	2	37
16	потому что	10	37
17	не было	3	36
18	не в	3	34
19	и есть	2	33
20	для него	9	31
21	не есть	2	30
22	но он	3	30
23	есть лишь	1	30
24	человека в	9	30
25	человеческой природы	1	30
26	как и	16	29
27	достоевского есть	2	29
28	прежде всего	10	29
29	и он	4	27
30	в мире	8	27
31	но в	11	27
32	к человеку	3	26
33	человека и	6	26
34	в своей	8	25
35	он был	2	25
36	и это	2	25
37	достоевский был	1	25
38	о свободе	3	24
39	свободы и	2	24
40	переходит в	2	24
41	и все	6	24
42	у нас	2	24
43	и достоевский	5	23
44	ведет к	3	23
45	в своем	4	23
46	иван карамазов	9	23
47	что в	17	23
48	что он	11	22
49	в самом	6	21
50	творчество достоевского	6	21
51	достоевского и	5	21
52	бога и	3	20
53	в себе	3	20
54	в бога	1	20
55	достоевский не	7	20
56	отношение к	1	20
57	в россии	5	19
58	как бы	26	19
59	до конца	2	19
60	человек не	1	19
61	ивана карамазова	7	18
62	в его	19	18
63	любви к	2	17
64	того что	3	17
65	и потому	4	17
66	том что	14	16
67	если нет	1	16
68	в том	13	16
69	на земле	4	16
70	для достоевского	5	16
71	то что	9	16
72	было бы	2	16
73	достоевского в	19	16
74	и его	14	16
75	быть может	3	15
76	в котором	8	15
77	не был	4	15
78	зла и	1	15
79	не знает	2	15
80	в этой	7	15
81	в конце	5	14
82	человек в	1	14
83	она не	2	14
84	нет ничего	1	14
85	в творчестве	10	14
86	так как	6	14
87	в глубине	1	14
88	великом инквизиторе	3	14
89	достоевского к	5	13
90	достоевского он	2	13
91	о великом	3	13
92	та же	4	13
93	и на	12	13
94	из подполья	19	13
95	друг друга	2	13
96	и вот	2	13
97	в русском	1	13
98	в них	1	12
99	он сам	8	12
100	к нему	1	12
101	добра и	3	12
102	и у	3	12
103	но не	7	12
104	от свободы	1	12
105	и зла	2	12
106	в человеке	4	12
107	свободы в	1	12
108	достоевский в	7	12
109	в любви	3	12
110	это не	9	12
111	все это	14	12
112	и к	1	11
113	с тем	1	11
114	уже не	6	11
115	хотя бы	5	11
116	в которой	5	11
117	достоевского но	2	11
118	в русской	5	11
119	человеческой личности	5	11
120	был бы	3	11
121	только в	7	11
122	как в	10	11
123	но это	10	11
124	свобода и	1	11
125	жизни и	3	11
126	достоевского не	12	10
127	то же	19	10
128	так же	6	10
129	чем у	2	10
130	для человека	3	10
131	идеи достоевского	1	10
132	образ человека	2	10
133	всю жизнь	1	10
134	один из	5	10
135	не могут	2	10
136	не имеет	2	10
137	это и	4	10
138	связана с	2	10
139	в самой	1	10
140	человека к	2	10
141	есть не	2	10
142	подпольного человека	14	9
143	в бесах	8	9
144	из самых	1	9
145	к преступлению	1	9
146	к тому	2	9
147	он весь	1	9
148	не мог	3	9
149	должно быть	1	9
150	достоевского было	1	9
151	что и	3	9
152	xix века	13	9
153	х годов	3	9
154	человек и	2	9
155	я не	5	9
156	не будет	2	9
157	то есть	16	9
158	с ним	4	9
159	русского народа	1	9
160	вместе с	4	9
161	человека на	1	9
162	в свою	8	9
163	образ и	2	9
164	бы и	1	9
165	а в	10	9
166	лишь в	1	9
167	от него	2	8
168	в этих	2	8
169	и с	9	8
170	тем что	2	8
171	о том	9	8
172	мира сего	1	8
173	человека не	1	8
174	о достоевском	1	8
175	себя в	3	8
176	в дневнике	3	8
177	т е	1	8
178	что не	5	8
179	человеке и	1	8
180	человека он	1	8
181	к злу	1	8
182	дневнике писателя	2	8
183	жизнь в	2	8
184	не так	5	8
185	бунт против	1	8
186	в отношении	1	8
187	самого достоевского	4	8
188	еще в	3	8
189	не знал	2	8
190	нет в	1	8
191	творчестве достоевского	9	8
192	во власти	1	8
193	отношении к	2	8
194	человек должен	1	8
195	нет и	1	8
196	достоевского нет	3	8
197	с его	12	8
198	ничего не	3	8
199	уже в	5	8
200	сам достоевский	3	8
201	достоевский и	4	8
202	русской земли	1	8
203	что человек	3	7
204	в духе	6	7
205	если он	4	7
206	не существует	3	7
207	достоевского все	1	7
208	что все	4	7
209	достоевского была	1	7
210	человеку и	1	7
211	и ад	1	7
212	чем в	1	7
213	достоевского о	2	7
214	что она	5	7
215	на этом	1	7
216	в жизни	3	7
217	жизни в	9	7
218	себя и	1	7
219	свою свободу	1	7
220	он в	1	7
221	мог бы	1	7
222	но если	4	7
223	герои достоевского	8	7
224	должен быть	1	7
225	в народе	1	7
226	не могу	2	7
227	также и	1	7
228	как он	1	7
229	же и	2	6
230	самого себя	1	6
231	с этой	4	6
232	было в	2	6
233	людей и	2	6
234	добро и	1	6
235	и те	1	6
236	этого мира	1	6
237	когда человек	2	6
238	русской литературы	3	6
239	что у	5	6
240	достоевский с	2	6
241	его в	2	6
