N	2gram	Voloshinov	ViktorSh
1	конце концов	3	2
2	в конце	5	2
3	и в	32	2
4	в том	13	2
5	том что	12	2
6	в другом	5	1
7	все время	1	1
8	от общего	2	1
9	но это	1	1
10	одно и	3	1
11	столь же	2	1
12	история языка	4	1
13	слово по	1	1
14	стилистики в	1	1
15	по существу	1	1
16	ведь это	1	1
17	главным образом	2	1
18	в самом	14	1
19	как же	5	1
20	и т.д	6	1
21	что слово	5	1
22	для них	2	1
23	а только	2	1
24	себе лишь	1	1
25	именно в	6	1
26	все то	1	1
27	ни к	3	1
28	имеется в	1	1
29	вся работа	1	1
30	самом деле	18	1
31	вещь и	1	1
32	другом месте	1	1
33	ясно что	6	1
34	речи и	6	1
35	в частности	2	1
36	и то	4	1
37	крайней мере	1	1
38	к созданию	1	1
39	этом и	1	1
40	техники и	1	1
41	и его	33	1
42	сводится к	5	1
43	на заре	1	1
44	теснейшим образом	1	1
45	связаны и	1	1
46	к чему	1	1
47	под влиянием	1	1
48	значительной степени	3	1
49	хотя бы	8	1
50	далеко не	5	1
51	тем более	3	1
52	по крайней	1	1
53	к этому	10	1
54	им столь	1	1
55	только в	14	1
56	потому что	2	1
57	в значительной	3	1
58	это далеко	1	1
59	языка если	1	1
60	в их	5	1
61	и почти	1	1
62	и только	2	1
63	то же	19	1
64	не будем	4	1
65	что язык	2	1
66	и не	42	1
67	гораздо более	1	1
68	находится под	1	1
69	дело в	1	1
70	да и	1	1
71	в этом	27	1
72	так как	5	1
73	все это	4	1
74	в устах	4	1
