N	3gram	Berdyaev_M	EvropaiC
1	в том что	3	16
2	до сих пор	5	15
3	по отношению к	4	11
4	с точки зрения	1	8
5	на то что	1	7
6	для того чтобы	4	7
7	на самом деле	1	7
8	лишь в том	1	5
9	сих пор не	1	5
10	по сравнению с	2	5
11	в самом деле	1	5
12	не может быть	22	4
13	о том что	3	4
14	в том случае	1	4
15	в конце концов	3	4
16	том случае если	1	4
17	может быть и	2	4
18	вместе с тем	5	3
19	никогда не будет	1	3
20	так же как	1	3
21	не может не	2	3
22	в вопросе о	1	2
23	том что все	1	2
24	во всяком случае	1	2
25	во всех этих	1	2
26	друг на друга	1	2
27	заключает в себе	3	2
28	он не может	2	2
29	как и в	2	2
30	а следовательно и	1	2
31	в то время	2	2
32	но и его	1	2
33	как и все	1	2
34	между этими двумя	1	2
35	что до сих	1	2
36	том что он	1	2
37	в высшей степени	4	2
38	чтобы все эти	1	2
39	и в том	1	2
40	ко всему этому	1	2
41	друг к другу	6	2
42	есть одно из	1	1
43	потому не может	1	1
44	а может быть	1	1
45	ставит его в	1	1
46	в этом направлении	1	1
47	и самого себя	2	1
48	вопрос можно ли	1	1
49	есть высшее благо	1	1
50	та или иная	1	1
51	одним из самых	1	1
52	и различие между	1	1
53	лишь те которые	2	1
54	в себе и	2	1
55	никто не может	1	1
56	для этого нужно	1	1
57	и в нем	3	1
58	и той же	2	1
59	они не могут	1	1
60	тот путь который	1	1
61	не в том	1	1
62	только в этом	1	1
63	но и с	1	1
64	каждый раз когда	1	1
65	что у него	1	1
66	не будет уже	1	1
67	во многих отношениях	1	1
68	не знает что	1	1
69	есть только одно	1	1
70	и в конце	2	1
71	все та же	1	1
72	может не быть	1	1
73	что он сам	1	1
74	смысле этого слова	1	1
75	хотя бы это	1	1
76	в зависимости от	1	1
77	между тем как	2	1
78	одной и той	2	1
79	но для этого	2	1
80	можно было бы	1	1
81	или лучше сказать	1	1
82	и в нашем	1	1
83	что они не	1	1
84	в нем не	2	1
85	к которой он	1	1
86	самого себя и	1	1
87	все его миросозерцание	1	1
88	нет в самом	1	1
89	так же мало	1	1
90	и потому они	1	1
91	на наших глазах	1	1
92	а не в	4	1
93	психологической точки зрения	1	1
94	для этого необходимо	2	1
95	к тому что	1	1
96	в материальной и	1	1
97	моих мыслей и	1	1
98	с психологической точки	1	1
99	это потому что	1	1
100	никогда не было	2	1
101	от нее и	1	1
102	только тогда когда	1	1
103	то время как	2	1
104	нет и не	1	1
105	и социальной среды	1	1
106	должна быть признана	1	1
107	и не может	2	1
