N	4gram	Ircho_Kome	Literetu
1	в то же время	5	21
2	состоит в том что	1	8
3	не говоря уже о	4	6
4	с этой точки зрения	1	5
5	бы то ни было	4	4
6	в том числе и	1	3
7	в том же году	1	3
8	и к тому же	1	1
9	не что иное как	1	1
10	в том что в	1	1
11	с другой стороны он	1	1
12	той простой причине что	1	1
13	одних и тех же	1	1
14	в одном из своих	1	1
15	а то и вовсе	2	1
16	в том что он	4	1
17	не в последнюю очередь	1	1
18	во всяком случае в	1	1
19	то же время он	1	1
20	по той простой причине	1	1
21	мы имеем дело с	1	1
