N	3gram	Propp_Morf	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	6	6
3	во всяком случае	2	6
4	друг с другом	1	5
5	до сих пор	1	5
6	для того чтобы	3	5
7	более или менее	2	5
8	но все же	4	4
9	о том что	3	4
10	в том что	4	3
11	и таким образом	2	3
12	в связи с	9	3
13	точно так же	2	3
14	тем не менее	6	3
15	некоторые из них	1	2
16	той или иной	1	2
17	то что он	1	2
18	на то что	3	2
19	с самого начала	1	2
20	то ни было	2	2
21	этой точки зрения	1	2
22	с тех пор	1	2
23	можно сказать что	1	2
24	бы то ни	3	2
25	в этом отношении	2	2
26	то же время	1	2
27	в то же	1	2
28	с этой точки	1	2
29	друг на друга	2	2
30	как бы то	1	2
31	может быть и	2	2
32	начинается с того	2	1
33	в области народной	1	1
34	сих пор не	1	1
35	в первом случае	3	1
36	совершенно ясно что	1	1
37	потому что в	1	1
38	не потому что	1	1
39	все более и	1	1
40	в свою очередь	1	1
41	и тот же	1	1
42	с этим и	1	1
43	в настоящее время	3	1
44	иметь в виду	1	1
45	том что все	1	1
46	от неба до	1	1
47	он как бы	1	1
48	влияют друг на	1	1
49	к чему не	2	1
50	в этой области	1	1
51	мы видим что	11	1
52	до известной степени	1	1
53	все это мы	1	1
54	не может быть	9	1
55	по отношению к	7	1
56	в данном случае	2	1
57	мы имеем в	2	1
58	в том или	1	1
59	неба до земли	1	1
60	а потому что	1	1
61	во всей своей	1	1
62	и заставляет его	1	1
63	после того как	1	1
64	из них не	1	1
65	похожи друг на	1	1
66	один и тот	1	1
67	не более как	1	1
68	но с тех	1	1
69	сам он не	1	1
70	и есть то	1	1
71	уже очень давно	1	1
72	ясно что и	1	1
73	могут рассматриваться как	1	1
74	тех пор как	1	1
75	в таком случае	1	1
76	в других для	1	1
77	лишь постольку поскольку	1	1
78	так как эти	1	1
79	состоит в том	3	1
80	во всех других	1	1
81	как бы в	1	1
82	и в этой	1	1
83	можно говорить лишь	1	1
84	с другой стороны	5	1
85	следует заметить что	2	1
86	тем и другим	2	1
87	к нему в	1	1
88	о том как	2	1
89	ни к чему	2	1
90	в то время	3	1
91	из которых каждый	1	1
92	обстоит дело с	1	1
93	могло бы быть	1	1
94	прибавить к этому	1	1
95	более и более	1	1
96	но они не	1	1
97	что и в	1	1
98	не всегда легко	1	1
99	при таких условиях	1	1
100	если прибавить к	1	1
101	с этого момента	2	1
102	имеется и в	1	1
103	друг к другу	2	1
