N	2gram	Berdyaev_V	BTomashe
1	у нас	1	3
2	все это	5	2
3	в ней	4	2
4	можно было	2	2
5	и не	20	2
6	вопрос о	1	1
7	говорить о	4	1
8	и нет	1	1
9	не только	2	1
10	всего в	2	1
11	не было	3	1
12	прежде всего	2	1
13	и в	16	1
14	так и	4	1
15	в своей	3	1
16	во всяком	2	1
17	и потому	7	1
18	и во	2	1
19	по крайней	1	1
20	с другой	1	1
21	другой стороны	1	1
22	крайней мере	1	1
23	что опять-таки	1	1
24	и ее	1	1
25	по мотивам	1	1
26	должна быть	3	1
27	что все	4	1
28	нельзя не	1	1
29	его не	2	1
30	будто бы	1	1
31	а не	7	1
32	о свободе	2	1
33	ведет по	2	1
34	и на	1	1
35	еще не	8	1
36	все же	1	1
37	что в	3	1
