N	3gram	Tiupa_Narr	Otkroven
1	а не в	2	2
2	никогда не было	1	2
3	не может быть	5	2
4	сам по себе	1	1
5	но от этого	1	1
6	так и не	2	1
7	и не быть	1	1
8	в его жизни	1	1
9	он ни был	1	1
10	о том что	6	1
11	в том что	8	1
12	друг с другом	1	1
13	а иногда и	1	1
14	что нет у	2	1
15	все та же	2	1
16	и то что	1	1
17	отличается в этом	1	1
18	и когда он	1	1
19	отличается от всех	1	1
20	бы он ни	1	1
21	как и в	1	1
22	в самом деле	1	1
23	и не в	4	1
24	но и там	1	1
25	он еще не	1	1
26	с его собственным	1	1
27	которым можно было	2	1
28	как это часто	1	1
29	ни с чем	1	1
30	может быть осуществлено	1	1
31	само по себе	1	1
32	и прежде всего	1	1
33	в этом отношении	3	1
34	и больше всего	1	1
35	что это за	1	1
36	а не только	1	1
37	том что в	1	1
38	прежде всего в	1	1
39	нет у него	2	1
40	не было и	1	1
41	и богаче чем	1	1
