N	3gram	Bakhtin_sl	EvropaiC
1	в том что	4	16
2	до сих пор	4	15
3	по отношению к	2	11
4	друг с другом	2	9
5	с точки зрения	11	8
6	более или менее	5	8
7	а между тем	2	8
8	на то что	1	7
9	для того чтобы	1	7
10	сих пор не	2	5
11	так или иначе	1	5
12	о котором идет	1	5
13	не может быть	11	4
14	в каждый данный	5	4
15	о том что	2	4
16	тот факт что	1	4
17	тем не менее	2	4
18	с другой стороны	5	4
19	которых мы говорили	2	4
20	о которых мы	2	4
21	в этом случае	4	4
22	может быть и	2	4
23	в целом ряде	1	3
24	таким образом в	4	3
25	возможно лишь при	1	3
26	то ни было	1	3
27	в данном случае	3	3
28	каждый данный момент	4	3
29	не может не	5	3
30	в связи с	2	3
31	бы то ни	1	3
32	мы все же	1	2
33	время от времени	1	2
34	в том и	2	2
35	в свою очередь	3	2
36	лишь тогда когда	2	2
37	рано или поздно	2	2
38	так и для	1	2
39	во всяком случае	7	2
40	и может быть	1	2
41	во всех этих	2	2
42	каждый из этих	1	2
43	как и в	2	2
44	а следовательно и	2	2
45	в то время	2	2
46	в то же	15	2
47	в этих областях	1	2
48	именно потому что	1	2
49	между этими двумя	1	2
50	лишь при условии	1	2
51	том что он	1	2
52	той же культуры	1	2
53	но все же	1	2
54	с одной стороны	7	2
55	то же время	15	2
56	и в том	2	2
57	мы видели что	1	1
58	на каждом шагу	2	1
59	не только по	1	1
60	потому не может	1	1
61	представить себе как	1	1
62	мы говорили в	1	1
63	а как бы	1	1
64	друг друга и	1	1
65	все то что	1	1
66	то есть в	1	1
67	но по существу	2	1
68	далеко не исчерпывается	1	1
69	на своем пути	1	1
70	том и в	2	1
71	мы видим что	1	1
72	вступают в борьбу	1	1
73	на задний план	1	1
74	образом в каждый	1	1
75	по крайней мере	1	1
76	если она не	2	1
77	и в другом	2	1
78	социальная жизнь и	1	1
79	на том же	2	1
80	и ничем не	1	1
81	не поймет и	1	1
82	переход из одного	1	1
83	этой точки зрения	1	1
84	еще далеко не	1	1
85	меньше чем в	2	1
86	с этой точки	1	1
87	развития все это	1	1
88	одним из главных	1	1
89	к одному из	1	1
90	и в нем	1	1
91	в том числе	1	1
92	и той же	1	1
93	и все это	1	1
94	только с точки	1	1
95	все эти слова	1	1
96	между прочим в	1	1
97	до некоторой степени	1	1
98	хотя и не	1	1
99	всяком случае за	1	1
100	в его сознании	1	1
101	и некоторые другие	1	1
102	только в истории	1	1
103	и в в	1	1
104	и с точки	1	1
105	может быть не	1	1
106	дело в том	1	1
107	иметь в виду	1	1
108	данном случае не	1	1
109	что одним из	1	1
110	одно и то	2	1
111	в лучшем случае	3	1
112	как мы видели	2	1
113	в зависимости от	4	1
114	между тем как	1	1
115	как мы сказали	6	1
116	одной и той	1	1
117	мы не знаем	2	1
118	том числе и	1	1
119	можно было бы	2	1
120	в один из	1	1
121	целом ряде случаев	1	1
122	как бы ни	2	1
123	не менее в	1	1
124	что они не	1	1
125	а затем и	1	1
126	а в том	1	1
127	с самого начала	1	1
128	в нем не	1	1
129	и то же	2	1
130	не только не	2	1
131	но именно в	1	1
132	таким образом даже	1	1
133	между всеми этими	1	1
134	иначе обстоит дело	1	1
135	точки зрения на	4	1
136	а лишь о	1	1
137	в широком смысле	3	1
138	а не в	1	1
139	дело идет об	1	1
140	для этого необходимо	1	1
141	и сам он	1	1
142	к тому что	2	1
143	том что оно	1	1
144	мы уже говорили	1	1
145	на одном языке	1	1
146	до конца не	1	1
147	в основе их	2	1
148	то время как	2	1
149	самого начала в	1	1
150	в другом случае	3	1
151	и не может	2	1
152	но с другой	1	1
153	мы уже сказали	3	1
154	именно в том	1	1
155	это было бы	1	1
