N	2gram	Propp_Isto	BTomashe
1	у нас	1	3
2	все это	4	2
3	в ней	8	2
4	не то	1	2
5	и не	19	2
6	для которой	1	1
7	вопрос о	5	1
8	и о	2	1
9	о них	1	1
10	со всем	1	1
11	не только	17	1
12	остановиться на	1	1
13	таким образом	21	1
14	не было	2	1
15	меньшей мере	1	1
16	его функцией	1	1
17	прежде всего	7	1
18	и в	44	1
19	на самом	1	1
20	так и	9	1
21	на которой	4	1
22	можно в	2	1
23	из своей	1	1
24	в своей	3	1
25	если таким	1	1
26	во всяком	1	1
27	и потому	2	1
28	и во	1	1
29	также что	3	1
30	же не	1	1
31	с другой	11	1
32	об этом	6	1
33	как будто	2	1
34	свое название	1	1
35	совершенно не	2	1
36	другой стороны	10	1
37	всяком случае	1	1
38	было бы	2	1
39	стоит на	3	1
40	и ее	1	1
41	только одной	1	1
42	одной из	3	1
43	в пределах	5	1
44	в данном	3	1
45	должна быть	3	1
46	в области	1	1
47	далеко не	1	1
48	тем более	1	1
49	не вполне	1	1
50	короче говоря	1	1
51	и более	3	1
52	что все	4	1
53	не все	1	1
54	никак не	1	1
55	в книге	3	1
56	его не	3	1
57	будто бы	2	1
58	также не	2	1
59	а не	5	1
60	отнюдь не	1	1
61	и на	11	1
62	по отдельным	1	1
63	между ними	2	1
64	еще не	16	1
65	нет но	1	1
66	к ней	2	1
67	все же	17	1
68	что в	18	1
