N	3gram	Nazirov_Tr	KFilosof
1	не может быть	1	11
2	может быть в	1	3
3	и в этом	1	3
4	и не быть	1	2
5	в том что	2	2
6	во всем его	1	2
7	тем не менее	1	2
8	бы и не	1	2
9	в то же	5	2
10	но это уже	1	2
11	то же время	5	2
12	и как бы	2	1
13	это может быть	1	1
14	во всяком случае	1	1
15	справедливости все это	1	1
16	хотя бы и	1	1
17	и чтобы не	1	1
18	нет в нем	1	1
19	все в этом	1	1
20	и должна быть	1	1
21	не может жить	1	1
22	смысле этого слова	1	1
23	но в то	2	1
24	вместо того чтобы	1	1
25	в этом мире	1	1
26	могло бы и	1	1
27	и то что	1	1
28	и все же	1	1
29	к тому что	1	1
30	но уже не	1	1
31	не имеет для	1	1
32	это и есть	1	1
33	ко всему что	1	1
