N	3gram	Nazirov_Tr	PoTuStor
1	с самого начала	1	4
2	не может быть	1	3
3	по сравнению с	1	3
4	во всяком случае	1	3
5	о том что	2	2
6	не могут быть	1	2
7	в самом деле	1	2
8	и в этом	1	2
9	так и в	3	1
10	в том что	2	1
11	это желание в	1	1
12	но несмотря на	1	1
13	в применении к	1	1
14	в известной степени	1	1
15	еще в году	1	1
16	в данном случае	2	1
17	ни разу не	1	1
18	на противоположном конце	1	1
19	в высшей степени	1	1
20	только на путях	1	1
21	в этой борьбе	1	1
22	если б я	1	1
23	на вопрос о	1	1
24	это и есть	1	1
25	в году в	2	1
26	в связи с	1	1
