N	3gram	Bakhtin_Pr	Poddanst
1	то же время	13	7
2	в то же	13	7
3	в отношении к	3	5
4	в том что	6	4
5	не только в	2	4
6	сами по себе	4	3
7	с точки зрения	21	3
8	с одной стороны	1	3
9	в полной мере	1	2
10	но и в	1	2
11	заключается в том	1	2
12	и в то	2	2
13	в том числе	1	2
14	одной стороны и	1	2
15	и т д	4	1
16	там где он	1	1
17	что дело идет	1	1
18	не было бы	1	1
19	друг с другом	3	1
20	она не только	1	1
21	именно потому что	2	1
22	он живет в	1	1
23	и в частности	1	1
24	воспринимает не как	1	1
25	в различных формах	1	1
26	в этом не	1	1
27	высшая реальность и	1	1
28	но в то	7	1
29	в противоречии с	1	1
30	мира а не	1	1
31	в выборе и	1	1
32	том числе и	1	1
33	само по себе	4	1
34	тем же в	1	1
35	и в формах	1	1
36	не может быть	8	1
37	в этом мире	1	1
38	та или иная	1	1
39	в большинстве случаев	10	1
40	как одна из	1	1
41	и это ощущение	1	1
42	в отличие от	4	1
43	в этом смысле	12	1
44	по сравнению с	1	1
45	есть прежде всего	1	1
46	из тех кто	1	1
47	и именно в	1	1
48	которые были бы	2	1
49	если мы не	1	1
50	в собственном смысле	1	1
51	в творчестве достоевского	5	1
52	но в этом	1	1
53	хотя бы и	3	1
54	в нем в	1	1
55	или иная форма	1	1
56	мы не только	1	1
57	во всяком случае	4	1
58	что с точки	1	1
59	для того чтобы	1	1
60	только в россии	1	1
61	одна из важнейших	1	1
62	с другой стороны	6	1
63	в известном смысле	1	1
64	все это в	1	1
65	и не может	6	1
66	и необходимы и	1	1
67	творчества если бы	1	1
68	в рамках этого	1	1
69	не в том	1	1
70	бы оно ни	1	1
71	в настоящее время	3	1
72	но в отличие	1	1
73	более или менее	4	1
74	не решают вопроса	1	1
75	еще не решают	1	1
76	так же как	1	1
77	не только как	1	1
78	и в этом	5	1
