N	3gram	Nazirov_Tr	Freidism
1	не может быть	1	14
2	в самом деле	1	10
3	в том что	2	9
4	во всяком случае	1	8
5	в то же	5	6
6	в высшей степени	1	6
7	то же время	5	6
8	с самого начала	1	5
9	и до конца	1	4
10	тем не менее	1	4
11	сам по себе	1	4
12	в данном случае	2	4
13	не могут быть	1	4
14	отнюдь не является	1	3
15	о том что	2	3
16	так и в	3	3
17	но в то	2	3
18	не в силах	2	3
19	и не может	1	3
20	это как бы	1	2
21	в применении к	1	2
22	в чем же	1	2
23	хотя бы и	1	2
24	в конце концов	1	2
25	чем он сам	1	2
26	с отцом и	1	2
27	в отличие от	2	2
28	том что он	1	2
29	в таком виде	1	2
30	к тому что	1	2
31	это и есть	1	2
32	что он не	1	1
33	в этом случае	1	1
34	объясняется и то	1	1
35	и теперь еще	1	1
36	отцом и его	1	1
37	то что он	1	1
38	по сравнению с	1	1
39	в этой борьбе	1	1
40	на вопрос о	1	1
41	все же не	1	1
42	но при этом	1	1
43	а между тем	1	1
44	как и все	1	1
45	и в дальнейшем	2	1
46	это желание в	1	1
47	откуда же берется	1	1
48	бросается в глаза	2	1
49	если можно так	1	1
50	с первого же	2	1
51	смысле этого слова	1	1
52	приходит в голову	1	1
53	не только не	1	1
54	что при таком	1	1
55	во всех видах	1	1
56	только на путях	1	1
57	и все же	1	1
58	но все же	2	1
59	ни разу не	1	1
60	еще ничего не	1	1
61	начала и до	1	1
62	можно так выразиться	1	1
