N	2gram	Potebnia_M	Poddanst
1	не только	32	17
2	и в	58	14
3	и не	34	12
4	в области	1	11
5	в этом	18	10
6	в отношении	1	10
7	в том	38	9
8	то же	13	9
9	но в	12	9
10	хотя бы	4	8
11	только в	36	7
12	же время	4	7
13	в то	6	7
14	в ней	9	6
15	быть может	6	6
16	было бы	21	6
17	но и	26	6
18	в смысле	4	6
19	может быть	47	5
20	отношении к	1	5
21	с другой	13	5
22	не в	23	5
23	и о	3	5
24	в которых	2	5
25	что в	34	4
26	в котором	5	4
27	по себе	24	4
28	и если	6	4
29	и потому	7	4
30	мы должны	4	4
31	не может	30	4
32	а в	11	4
33	то что	24	4
34	как бы	12	4
35	если бы	23	4
36	в своем	3	4
37	же в	7	4
38	том что	21	4
39	в сравнении	5	3
40	в себе	22	3
41	сравнении с	4	3
42	что мы	11	3
43	с одной	7	3
44	мы не	17	3
45	это не	10	3
46	одной стороны	6	3
47	для того	8	3
48	между тем	7	3
49	с точки	4	3
50	хотя и	6	3
51	с тем	9	3
52	потому что	89	3
53	она есть	3	3
54	прежде всего	8	3
55	вслед за	2	3
56	тем самым	6	3
57	сами по	8	3
58	заключается в	3	3
59	но не	19	3
60	могут быть	17	3
61	я и	1	3
62	и т	10	3
63	и как	11	3
64	с ними	2	3
65	столь же	6	3
66	в нем	26	3
67	и без	4	3
68	тот же	5	3
69	точки зрения	8	3
70	с этим	11	2
71	во всех	12	2
72	именно как	1	2
73	является в	1	2
74	и это	3	2
75	и других	6	2
76	в полной	1	2
77	и мы	1	2
78	было в	1	2
79	ней не	1	2
80	которую мы	1	2
81	если в	3	2
82	более чем	1	2
83	не будем	1	2
84	еще более	2	2
85	по-видимому не	1	2
86	начала и	1	2
87	по сравнению	1	2
88	создается в	1	2
89	в ее	2	2
90	и тем	5	2
91	того что	15	2
92	никак не	3	2
93	в его	7	2
94	не о	1	2
95	а не	38	2
96	нужно было	3	2
97	для нас	29	2
98	все это	3	2
99	для них	2	2
100	заключает в	6	2
101	может и	1	2
102	и есть	4	2
103	духовную жизнь	1	2
104	стороны и	3	2
105	сколько бы	1	2
106	в виде	1	2
107	в них	7	2
108	только это	1	2
109	знать что	2	2
110	не было	7	2
111	и с	3	2
112	в начале	2	2
113	как на	5	2
114	слова но	4	2
115	в общем	1	2
116	мысль о	8	2
117	которое в	1	2
118	главным образом	4	2
119	духа и	8	2
120	именно в	2	2
121	должно быть	9	2
122	в жизни	5	2
123	отношения к	2	2
124	друг другу	4	2
125	iii в	1	2
126	взгляда на	2	2
127	во всей	1	2
128	есть нечто	7	2
129	помнить что	6	2
130	одна из	4	2
131	между прочим	5	2
132	в мире	3	2
133	например в	4	2
134	не менее	10	2
135	в ряду	6	2
136	не столько	3	2
137	думать что	6	2
138	с с	1	2
139	со стороны	11	2
140	да и	1	2
141	по характеру	1	2
142	в эту	2	2
143	из них	2	2
144	есть не	7	2
145	весьма мало	1	2
146	тем более	2	2
147	есть в	4	2
148	что из	2	2
149	переход от	2	2
150	не к	1	2
151	бы ни	8	2
152	к сожалению	1	1
153	в ком	1	1
154	этих двух	1	1
155	были бы	4	1
156	представить себе	3	1
157	с формами	1	1
158	нет ничего	2	1
159	не доходят	1	1
160	как к	1	1
161	от нее	6	1
162	ее части	1	1
163	во всяком	9	1
164	тем в	2	1
165	могли бы	4	1
166	к истине	2	1
167	находящееся в	1	1
168	не есть	13	1
169	собственном смысле	2	1
170	и теперь	1	1
171	находятся в	3	1
172	и то	4	1
173	можем представить	2	1
174	но как	4	1
175	история и	2	1
176	мы можем	10	1
177	и эти	1	1
178	мы видим	5	1
179	в данном	1	1
180	что от	1	1
181	не хотим	1	1
182	только к	1	1
183	с его	3	1
184	что оно	5	1
185	и многие	1	1
186	сходства между	2	1
187	имеют в	2	1
188	и более	3	1
189	те же	4	1
190	вместе с	12	1
191	и здесь	1	1
192	до тех	1	1
193	взятые в	1	1
194	и на	8	1
195	отличие от	1	1
196	в самом	5	1
197	к у	1	1
198	мир в	1	1
199	вопрос о	5	1
200	в народе	2	1
201	дотоле не	1	1
202	они не	5	1
203	что происходит	1	1
204	на свои	2	1
205	только что	4	1
206	мысль и	1	1
207	два явления	1	1
208	усомниться в	1	1
209	также что	2	1
210	в психологии	1	1
211	на сторону	1	1
212	к этой	3	1
213	о явлениях	1	1
214	переходит в	2	1
215	и первое	2	1
216	и истина	1	1
217	с и	3	1
218	многих что	1	1
219	что каждая	1	1
220	к духу	4	1
221	нем в	1	1
222	она не	3	1
223	уже в	5	1
224	каждого слова	2	1
225	должна быть	4	1
226	чем то	1	1
227	при отсутствии	1	1
228	более или	6	1
229	применении к	3	1
230	можно думать	4	1
231	в творчестве	1	1
232	только как	5	1
233	единства в	1	1
234	того чтобы	4	1
235	мы знаем	2	1
236	в применении	3	1
237	есть для	2	1
238	многих случаях	2	1
239	и всегда	3	1
240	прийти к	1	1
241	собою как	2	1
242	что истина	1	1
243	и должна	1	1
244	из всех	1	1
245	которая хотя	1	1
246	мира но	1	1
247	формы в	1	1
248	во многих	5	1
249	что это	5	1
250	не более	4	1
251	к первой	2	1
252	в отношениях	2	1
253	духа а	1	1
254	одно и	1	1
255	ни на	1	1
256	которых не	1	1
257	духа есть	1	1
258	в законченные	1	1
259	что при	6	1
260	есть как	2	1
261	не были	2	1
262	и уже	6	1
263	мысли и	9	1
264	в формах	3	1
265	с которой	1	1
266	из тех	1	1
267	какой бы	1	1
268	из этих	8	1
269	жить и	1	1
270	что если	7	1
271	что с	3	1
272	что то	1	1
273	положение что	1	1
274	связанные с	3	1
275	не как	4	1
276	и другие	1	1
277	только один	3	1
278	об отношении	3	1
279	что дело	2	1
280	от этой	1	1
281	и вся	1	1
282	что уже	1	1
283	в каждом	6	1
284	эта мысль	3	1
285	и народной	1	1
286	только на	4	1
287	где он	2	1
288	не с	2	1
289	например с	2	1
290	в других	6	1
291	и мертвых	2	1
292	и духовные	1	1
293	и при	6	1
294	и что	13	1
295	вообще можно	1	1
296	в различных	1	1
297	не могла	2	1
298	некотором смысле	2	1
299	связь между	2	1
300	на основании	3	1
301	что и	16	1
302	жизни она	1	1
303	не исчезнет	1	1
304	в трех	1	1
305	тем и	1	1
306	есть с	1	1
307	мы хотим	1	1
308	другой стороны	7	1
309	раскрывается в	1	1
310	еще в	1	1
311	в мир	1	1
312	от не	1	1
313	как ни	1	1
314	ни были	3	1
315	но чтобы	1	1
316	нет никакого	1	1
317	идеи в	1	1
318	этом смысле	4	1
319	бы что	2	1
320	как явление	1	1
321	выражается в	2	1
322	весь мир	1	1
323	далеко не	4	1
324	только то	3	1
325	в этих	10	1
326	не вполне	1	1
327	не прийти	1	1
328	и действуют	1	1
329	что все	4	1
330	в истории	8	1
331	как оно	2	1
332	в исторические	1	1
333	для самой	1	1
334	с утверждением	1	1
335	так же	7	1
336	этой последней	2	1
337	как она	3	1
