N	2gram	Vinokur_Ku	OGranits
1	и в	44	13
2	и его	8	12
3	прежде всего	14	9
4	может быть	25	8
5	и не	23	8
6	не может	13	8
7	и пр	23	7
8	в его	16	7
9	и их	2	7
10	точки зрения	25	7
11	таким образом	17	6
12	не только	29	6
13	социального общения	3	6
14	мы должны	2	6
15	только в	15	6
16	то что	14	6
17	как бы	11	6
18	языка и	16	5
19	в поэзии	1	5
20	хотя бы	19	5
21	с точки	16	5
22	в процессе	1	5
23	но ведь	3	5
24	языковых средств	1	5
25	все же	17	5
26	в каждом	3	4
27	мы можем	2	4
28	не является	2	4
29	до тех	1	4
30	только и	3	4
31	мы не	1	4
32	то же	12	4
33	еще и	7	4
34	было бы	28	4
35	все это	10	4
36	в сознании	1	4
37	слов и	2	4
38	в школе	1	4
39	лишь в	6	4
40	о задачах	1	4
41	в своей	4	4
42	на фоне	3	4
43	в двух	1	4
44	лингвистического вкуса	4	4
45	тех пор	2	4
46	но в	11	4
47	вопроса о	7	4
48	с этим	6	3
49	что в	25	3
50	к одному	2	3
51	понятно что	1	3
52	и то	7	3
53	со всей	1	3
54	связана с	1	3
55	ни один	1	3
56	пор пока	1	3
57	в искусстве	2	3
58	и уже	2	3
59	так и	10	3
60	не как	2	3
61	говорить о	5	3
62	одно и	1	3
63	в одном	4	3
64	не столько	2	3
65	отношению к	9	3
66	по отношению	9	3
67	превращается в	4	3
68	слово в	2	3
69	из статьи	1	3
70	поставить вопрос	2	3
71	в пределах	8	3
72	в их	3	3
73	в ее	2	3
74	здесь мы	2	3
75	самом деле	17	3
76	не в	18	3
77	в которой	7	3
78	что же	11	3
79	и все	4	3
80	общего с	2	3
81	но для	4	3
82	в себе	4	3
83	так как	16	3
84	языка как	7	3
85	вряд ли	5	3
86	я хочу	1	3
87	да и	5	3
88	но и	13	3
89	и для	3	3
90	как и	3	3
91	ничего общего	2	3
92	точку зрения	2	3
93	никогда не	2	3
94	в области	15	2
95	к сожалению	2	2
96	языком как	1	2
97	своего рода	4	2
98	в самом	20	2
99	во всем	1	2
100	нет ничего	1	2
101	и к	1	2
102	представляет себе	1	2
103	что они	5	2
104	того или	6	2
105	может иметь	3	2
106	материалом для	2	2
107	иное как	3	2
108	в данном	8	2
109	мы уже	1	2
110	общей истории	1	2
111	и этот	1	2
112	а как	1	2
113	пределах данной	1	2
114	в своих	2	2
115	в этом	31	2
116	этой проблемы	1	2
117	что иное	2	2
118	и лингвистики	1	2
119	в общем	4	2
120	в целях	2	2
121	данном случае	2	2
122	на язык	4	2
123	человеческой речи	1	2
124	которое мы	1	2
125	в языке	16	2
126	с одной	3	2
127	мог бы	1	2
128	для себя	1	2
129	и при	3	2
130	одной стороны	2	2
131	и должно	2	2
132	который мы	2	2
133	роль в	6	2
134	в другом	2	2
135	при этом	6	2
136	несмотря на	6	2
137	между тем	11	2
138	для него	2	2
139	речи не	3	2
140	особенностей в	1	2
141	и тем	7	2
142	с помощью	12	2
143	и может	3	2
144	смысле слова	3	2
145	те же	1	2
146	связанные с	3	2
147	ее в	2	2
148	не исчерпывается	1	2
149	в том	47	2
150	общения и	2	2
151	выбор и	1	2
152	в которую	1	2
153	с этой	4	2
154	что эта	1	2
155	мы получим	1	2
156	и является	4	2
157	в тех	4	2
158	в отношении	2	2
159	этого социального	1	2
160	конечно в	1	2
161	вслед за	1	2
162	другой стороны	12	2
163	сознания и	1	2
164	не что	2	2
165	но так	2	2
166	не на	4	2
167	от этого	4	2
168	так же	8	2
169	думать что	1	2
170	в них	10	2
171	а в	7	2
172	в г	3	2
173	связанных с	2	2
