N	4gram	Bakhtin_Fr	EvropaiC
1	заключается в том что	1	3
2	одного и того же	1	3
3	в то же время	12	2
4	в значительной своей части	1	1
5	в целом ряде других	1	1
6	мы уже сказали что	1	1
7	и до сих пор	1	1
8	и в другом случае	1	1
9	в том и в	1	1
10	мы уже знаем что	1	1
11	и в том и	1	1
12	до сих пор еще	3	1
13	том и в другом	1	1
14	так же трудно как	1	1
15	в конце концов в	1	1
16	принуждены будем признать что	1	1
17	дело в том что	2	1
18	и в целом ряде	1	1
19	в том числе и	2	1
20	мы уже говорили что	3	1
21	о том что он	1	1
22	в том же духе	1	1
23	в том что они	1	1
24	но все же они	1	1
25	в начале этой главы	1	1
26	в том или ином	2	1
