N	2gram	Medvedev_S	Otkroven
1	у него	1	22
2	и в	3	19
3	и не	1	13
4	но и	2	13
5	в этом	5	12
6	не только	3	11
7	не в	3	11
8	может быть	2	11
9	прежде всего	1	9
10	не было	1	9
11	никогда не	1	9
12	в его	3	7
13	все это	7	6
14	как и	1	6
15	в том	5	5
16	в этой	1	5
17	а в	1	5
18	то что	2	5
19	что в	2	4
20	не может	1	4
21	него и	1	4
22	все эти	1	4
23	и его	1	4
24	хотя бы	1	3
25	это не	1	3
26	с ним	1	3
27	в этих	1	3
28	как бы	2	3
29	было бы	2	3
30	и есть	1	3
31	что он	1	3
32	о том	1	3
33	еще не	2	3
34	и потому	1	2
35	так и	1	2
36	все же	1	2
37	его в	1	2
38	ведь это	2	2
39	и о	1	2
40	тем что	1	2
41	что все	1	2
42	ничего не	1	2
43	в своей	1	2
44	по себе	1	2
45	же это	1	2
46	том что	2	2
47	вопросом о	1	2
48	науки о	1	1
49	в каждом	1	1
50	и сложность	1	1
51	во всяком	1	1
52	всему этому	1	1
53	а с	1	1
54	один из	1	1
55	в котором	1	1
56	по природе	2	1
57	он ни	1	1
58	она должна	1	1
59	границы и	1	1
60	и заключается	2	1
61	том как	1	1
62	должна быть	2	1
63	мы не	1	1
64	и остаются	1	1
65	но не	1	1
66	быть не	1	1
67	что это	1	1
68	может служить	1	1
69	всяком случае	1	1
70	в сущности	1	1
71	в частности	2	1
72	что творчество	1	1
73	и что	2	1
74	но сам	1	1
75	же не	1	1
76	в строгом	1	1
77	и никакая	1	1
78	в них	1	1
79	этом нужно	1	1
80	психологии и	1	1
81	у которых	1	1
82	и более	1	1
83	его собственная	1	1
84	в силу	1	1
85	на этот	1	1
86	тем же	1	1
87	он говорит	1	1
88	бы он	1	1
89	в конце	2	1
90	в процессе	1	1
91	и как	1	1
92	что она	1	1
93	единственный путь	1	1
94	есть метод	1	1
95	из путей	1	1
96	в мире	1	1
97	как будто	2	1
98	слишком много	1	1
99	творчества это	1	1
100	вовсе не	1	1
101	мысли в	1	1
102	бы в	1	1
