N	2gram	Voloshinov	Otkroven
1	у него	2	22
2	и в	16	19
3	и не	4	13
4	но и	4	13
5	в этом	9	12
6	человека в	1	11
7	а не	1	11
8	не только	7	11
9	может быть	17	11
10	вопрос о	1	10
11	человека и	1	10
12	и все	4	10
13	в нем	4	10
14	в человеке	1	9
15	прежде всего	9	9
16	никогда не	2	9
17	он был	1	8
18	нет ничего	1	7
19	в его	4	7
20	он не	2	7
21	лишь в	1	7
22	в глубине	1	7
23	человек не	1	7
24	все это	4	6
25	как и	2	6
26	в самом	2	5
27	в том	3	5
28	нужно искать	1	5
29	для него	6	5
30	в этой	4	5
31	а в	3	5
32	отношение к	5	5
33	о его	1	5
34	то что	3	5
35	что в	3	4
36	только и	2	4
37	того чтобы	1	4
38	не может	8	4
39	что не	2	4
40	в самую	1	4
41	все эти	5	4
42	и его	8	4
43	его мысли	1	4
44	с его	7	4
45	все что	4	3
46	влечет к	2	3
47	чем на	1	3
48	и вот	3	3
49	хотя бы	4	3
50	для того	1	3
51	с ним	2	3
52	мысли и	4	3
53	когда он	1	3
54	быть может	2	3
55	в этих	3	3
56	не могут	2	3
57	в своих	1	3
58	как бы	5	3
59	было бы	2	3
60	могут быть	3	3
61	человек был	1	3
62	и есть	3	3
63	что он	2	3
64	различие между	1	3
65	это было	1	3
66	нем нет	2	3
67	и ее	4	3
68	о том	2	3
69	к нему	1	3
70	еще не	5	3
71	и к	6	2
72	и потому	3	2
73	так и	4	2
74	что они	1	2
75	и то	1	2
76	но никогда	1	2
77	в душе	2	2
78	всего и	1	2
79	все же	1	2
80	так как	4	2
81	даже и	1	2
82	человека все	1	2
83	его не	1	2
84	и ни	1	2
85	уже в	1	2
86	ничто не	1	2
87	любовь к	1	2
88	в человеческом	1	2
89	в другом	1	2
90	совсем не	2	2
91	с чего	1	2
92	в этот	2	2
93	с тем	1	2
94	ее в	2	2
95	и этим	2	2
96	что и	2	2
97	для человека	1	2
98	можно ли	1	2
99	его в	4	2
100	ведь это	1	2
101	и с	8	2
102	что же	1	2
103	и о	2	2
104	сказать что	7	2
105	что для	1	2
106	что есть	1	2
107	из всего	1	2
108	и на	4	2
109	с чем	1	2
110	учение о	3	2
111	ничего не	1	2
112	хотя и	1	2
113	не есть	2	2
114	в своей	2	2
115	момент в	2	2
116	жизни в	1	2
117	себе даже	1	2
118	не имеет	1	2
119	вовлекающее в	1	2
120	к этому	2	2
121	том что	3	2
122	в глубину	2	2
123	и для	2	2
124	своей жизни	2	2
125	но в	4	2
126	он прежде	1	2
127	что было	1	1
128	науки о	1	1
129	него из	1	1
130	и мир	1	1
131	во всем	1	1
132	ничего но	1	1
133	свое так	1	1
134	во всяком	3	1
135	ко всему	1	1
136	его и	1	1
137	во внешнем	1	1
138	совершенно не	8	1
139	все и	2	1
140	а потому	4	1
141	нужно отметить	1	1
142	но оно	3	1
143	для его	1	1
144	а с	1	1
145	не существует	2	1
146	в центре	1	1
147	и других	2	1
148	один из	2	1
149	для нашего	1	1
150	тянется к	1	1
151	и здесь	1	1
152	та же	1	1
153	мир в	1	1
154	же и	1	1
155	и лишь	2	1
156	не имеют	1	1
157	который всегда	1	1
158	и пр	12	1
159	она не	1	1
160	мы не	2	1
161	и ницше	2	1
162	ли так	1	1
163	жизни человека	4	1
164	все позволено	4	1
165	еще более	1	1
166	ту же	2	1
167	но не	1	1
168	по сравнению	3	1
169	но всегда	1	1
170	быть не	1	1
171	в ней	1	1
172	у самого	1	1
173	это часто	1	1
174	на два	2	1
175	человека как	1	1
176	художественного творчества	4	1
177	что это	2	1
178	в отношениях	1	1
179	а ведь	1	1
180	а это	1	1
181	этом отношении	1	1
182	всяком случае	3	1
183	на этих	2	1
184	в свое	2	1
185	в сущности	1	1
186	он что	1	1
187	кажется что	2	1
188	новой науки	1	1
189	ним может	1	1
190	в частности	2	1
191	говорит о	1	1
192	как это	3	1
193	о нем	1	1
194	не оставляет	1	1
195	что только	1	1
196	страсть и	1	1
197	со стороны	1	1
198	и через	2	1
199	в которую	1	1
200	в науке	2	1
201	и что	1	1
202	в одном	3	1
203	на самом	4	1
204	у нас	1	1
205	можно было	1	1
206	и это	6	1
207	у многих	1	1
208	с их	3	1
209	в русском	1	1
210	и острота	1	1
211	от того	1	1
212	всей ее	1	1
213	в форму	1	1
214	чего же	1	1
215	связанная с	1	1
216	цели и	2	1
217	которая была	1	1
218	свой метод	1	1
219	в них	2	1
220	связь с	1	1
221	любви к	1	1
222	и всех	2	1
223	где оно	1	1
224	не случайно	1	1
225	и даже	4	1
226	психологии и	1	1
227	особого рода	1	1
228	если бы	1	1
229	самом деле	6	1
230	от всех	1	1
231	иногда и	1	1
232	идеологических построениях	1	1
233	с ними	4	1
234	к чему	1	1
235	истории и	1	1
236	и сам	1	1
237	остается и	2	1
238	и можно	1	1
239	среди них	1	1
240	в виду	1	1
241	и начинается	1	1
242	на этот	1	1
243	с духом	1	1
244	любовь и	1	1
245	дело в	1	1
246	месте и	1	1
247	в мир	2	1
248	необходим для	1	1
249	и эта	1	1
250	в эпоху	1	1
251	отношения к	3	1
252	одним словом	1	1
253	когда человек	1	1
254	и действительно	2	1
255	вещей и	1	1
256	но нет	1	1
257	бы он	1	1
258	в конце	1	1
259	противоречий и	1	1
260	жизни ни	1	1
261	человеческой психики	1	1
262	в жизни	2	1
263	но к	1	1
264	находится в	2	1
265	в корне	1	1
266	характер и	1	1
267	и как	3	1
268	в голову	2	1
269	все время	1	1
270	было до	1	1
271	в сознании	1	1
272	одно только	1	1
273	страха и	1	1
274	что она	1	1
275	есть та	1	1
276	жизни и	3	1
277	всю жизнь	2	1
278	одна из	1	1
279	есть метод	1	1
280	в мире	1	1
281	в разных	1	1
282	и прежде	1	1
283	в одно	2	1
284	а иногда	1	1
285	от этого	1	1
286	может привести	1	1
287	чувств и	3	1
288	нуждается в	5	1
289	отличается от	1	1
290	друг с	1	1
291	его жизни	1	1
292	в свой	1	1
293	сравнению с	3	1
294	интерес к	1	1
295	но это	2	1
296	растворяется в	1	1
297	из него	1	1
298	него что	1	1
299	с другом	1	1
300	на своем	1	1
301	вражда к	1	1
302	их во	1	1
303	вовсе не	1	1
304	уже не	1	1
305	со всеми	2	1
306	и самый	1	1
307	бы ни	1	1
308	единство в	1	1
309	отметить что	1	1
