N	3gram	Losev_Dial	SlovoVZh
1	не может быть	4	7
2	можно сказать что	6	5
3	в том что	12	4
4	дело в том	1	4
5	до сих пор	4	3
6	и не в	1	3
7	тем не менее	3	3
8	и не может	1	3
9	может быть и	6	3
10	на самом деле	3	2
11	одной стороны и	3	2
12	в жизни и	1	2
13	то же самое	3	2
14	с этой стороны	2	2
15	мы можем сказать	3	2
16	одно и то	8	2
17	в отношении к	1	2
18	в данном случае	1	2
19	мы никогда не	1	2
20	мы все время	1	2
21	в зависимости от	2	2
22	с одной стороны	3	2
23	с другой стороны	7	2
24	до известной степени	1	2
25	и то же	8	2
26	с точки зрения	18	2
27	сих пор не	1	1
28	все же не	1	1
29	в своем значении	1	1
30	сам по себе	8	1
31	сами по себе	4	1
32	не в такой	1	1
33	не должна быть	2	1
34	точек зрения и	1	1
35	о том что	6	1
36	на них в	1	1
37	ни в какой	3	1
38	в самом деле	3	1
39	крайней мере два	1	1
40	в том и	1	1
41	чтобы убедиться в	1	1
42	как например в	1	1
43	не есть только	4	1
44	все более и	1	1
45	относится не к	1	1
46	ничего общего с	3	1
47	по себе не	7	1
48	по себе в	1	1
49	и в частности	4	1
50	а между тем	1	1
51	что не только	1	1
52	и та же	5	1
53	том что все	1	1
54	сама по себе	12	1
55	стороны и с	1	1
56	и не требует	1	1
57	ни в коем	1	1
58	во всяком случае	3	1
59	самом же деле	2	1
60	в нем и	2	1
61	никогда не бывает	1	1
62	в коем случае	1	1
63	но в то	1	1
64	она не может	1	1
65	и с другой	2	1
66	равно как и	1	1
67	только то что	6	1
68	подобно тому как	1	1
69	и что она	1	1
70	с самого начала	2	1
71	было бы показать	1	1
72	на самом же	2	1
73	может быть следовательно	1	1
74	же как и	1	1
75	и в нем	3	1
76	одна и та	5	1
77	так как будто	2	1
78	если бы действительно	1	1
79	то что я	2	1
80	то что мы	1	1
81	это мы еще	1	1
82	с ним в	1	1
83	можно было бы	4	1
84	в этом отношении	2	1
85	так же как	1	1
86	то же время	8	1
87	уже и сейчас	1	1
88	далеко не всегда	1	1
89	ясно что не	1	1
90	но для этого	1	1
91	тех или иных	1	1
92	точки зрения не	1	1
93	более или менее	5	1
94	но и в	1	1
95	более и более	1	1
96	в то же	7	1
97	в чем не	1	1
98	то время как	2	1
99	одному и тому	1	1
100	том что в	1	1
101	сих пор мы	1	1
102	мы имеем дело	1	1
103	и в этом	4	1
104	по крайней мере	11	1
105	ни в чем	2	1
106	на этом основании	1	1
107	уже не есть	1	1
108	в то время	2	1
109	в этом смысле	4	1
110	или хотя бы	2	1
111	но все это	2	1
112	в виду не	1	1
113	ровно ничего не	3	1
114	бы не было	1	1
115	но все же	2	1
116	если же он	1	1
117	самом деле это	1	1
118	и тому же	1	1
119	если бы не	1	1
120	отнюдь не является	1	1
121	к тому же	2	1
122	друг к другу	2	1
123	может быть только	2	1
