N	2gram	Tiupa_Vved	NovoeSre
1	а не	31	17
2	не может	14	16
3	и в	23	16
4	совсем не	1	12
5	нового времени	5	12
6	и не	24	11
7	и есть	2	10
8	что в	6	9
9	истории и	1	9
10	в эпоху	1	9
11	в том	21	8
12	жизни и	8	8
13	он не	6	8
14	в этом	27	7
15	может быть	25	7
16	как и	21	7
17	не знает	2	6
18	не в	12	6
19	лишь в	4	6
20	высшей степени	2	6
21	с его	1	6
22	но это	4	6
23	в высшей	2	6
24	никогда не	6	6
25	и к	2	5
26	не только	32	5
27	в ней	5	5
28	истории в	6	5
29	все это	3	5
30	в жизни	7	5
31	в нем	9	5
32	с ее	3	5
33	должен быть	3	5
34	культуры в	1	5
35	перестает быть	1	4
36	и потому	2	4
37	и мы	1	4
38	по своему	3	4
39	в час	1	4
40	мировой войны	1	4
41	потому что	7	4
42	это не	7	4
43	прежде всего	11	4
44	в них	4	4
45	то что	9	4
46	не было	5	4
47	и все	8	4
48	не менее	4	4
49	не имеет	3	4
50	и для	8	4
51	о том	7	4
52	наше время	1	4
53	во всех	2	3
54	истории не	1	3
55	не означает	1	3
56	в наше	1	3
57	должна быть	3	3
58	тому как	3	3
59	сферы культуры	1	3
60	в ее	1	3
61	что такое	23	3
62	дня и	1	3
63	стремится к	1	3
64	подобно тому	3	3
65	в истории	1	3
66	не существует	3	3
67	в духе	1	3
68	с другой	10	3
69	в основе	6	3
70	к ним	4	3
71	сказать что	1	3
72	наряду с	2	3
73	с тем	1	3
74	к жизни	2	3
75	не есть	2	3
76	в своей	10	3
77	в мире	9	3
78	как в	8	3
79	жизни в	5	3
80	но и	31	3
81	к ее	3	3
82	начало нового	1	3
83	жизни не	2	3
84	к тому	9	3
85	еще не	8	3
86	к подлинному	1	2
87	все они	2	2
88	более не	2	2
89	и от	3	2
90	еще до	2	2
91	это и	1	2
92	ни к	3	2
93	к духовному	1	2
94	не человек	1	2
95	в центре	4	2
96	я уже	1	2
97	права на	1	2
98	и что	2	2
99	не могли	1	2
100	на протяжении	2	2
101	что она	2	2
102	ли это	2	2
103	и было	1	2
104	зависит от	3	2
105	с одной	9	2
106	хотя бы	2	2
107	такого рода	23	2
108	мы не	6	2
109	того чтобы	2	2
110	хотя и	10	2
111	истории а	3	2
112	так и	14	2
113	нашего времени	2	2
114	как это	2	2
115	которому не	1	2
116	но она	2	2
117	человека во	1	2
118	одной стороны	9	2
119	не могла	1	2
120	можно было	2	2
121	ни одна	1	2
122	другой стороны	3	2
123	времени и	7	2
124	с их	2	2
125	этом смысле	1	2
126	у него	8	2
127	место в	2	2
128	а в	15	2
129	и даже	3	2
130	и с	2	2
131	на уровне	1	2
132	не хотят	2	2
133	вернуться к	2	2
134	связана с	1	2
135	жизни как	2	2
136	для этого	2	2
137	могут быть	5	2
138	в себе	15	2
139	том чтобы	2	2
140	и на	5	2
141	быть в	1	2
142	уже не	7	2
143	мира а	2	2
144	что все	1	2
145	времени в	3	2
146	духа в	1	2
147	все эти	1	2
148	есть в	2	2
149	же как	1	2
150	вместе с	2	2
151	который в	5	2
152	одна из	5	2
153	мира и	5	2
154	роль в	2	2
155	как будто	6	2
156	в категориях	2	2
157	но не	9	2
158	в то	5	2
159	в новом	1	2
160	том что	16	2
161	в мировой	1	2
162	бытия в	3	2
163	мир и	1	2
164	так же	2	2
165	и это	2	2
166	можно назвать	2	2
167	но для	1	2
168	себя в	4	2
169	но в	14	2
170	и т.п	14	2
171	обращение к	1	2
172	не к	4	2
173	связаны с	1	2
174	войны и	5	2
175	в той	5	1
176	из направлений	1	1
177	мне представляется	1	1
178	своего рода	20	1
179	мир не	1	1
180	войне и	2	1
181	в самом	6	1
182	культуры был	1	1
183	ближе к	3	1
184	во всем	1	1
185	к одному	2	1
186	дальнейшее развитие	1	1
187	нет ничего	2	1
188	и того	3	1
189	от нее	1	1
190	но тут	1	1
191	до этого	2	1
192	обращена к	1	1
193	можно сказать	6	1
194	и мысли	1	1
195	то он	2	1
196	все что	3	1
197	человек как	1	1
198	человека в	2	1
199	то они	1	1
200	это одна	1	1
201	но оно	1	1
202	более высокой	1	1
203	ночь и	1	1
204	в более	1	1
205	нем ничего	1	1
206	мире а	1	1
207	а к	3	1
208	и более	5	1
209	бы он	1	1
210	и этот	1	1
211	в котором	11	1
212	освобождения от	1	1
213	я ни	1	1
214	по природе	2	1
215	жизни для	2	1
216	и мира	5	1
217	значение в	1	1
218	тоже не	2	1
219	слова все	1	1
220	что этот	1	1
221	отличие от	11	1
222	что будет	1	1
223	мир в	1	1
224	приблизиться к	1	1
225	жизни без	1	1
226	отнести к	1	1
227	они не	3	1
228	из них	1	1
229	земная жизнь	1	1
230	котором и	1	1
231	жить в	1	1
232	который не	1	1
233	свидетельствует о	5	1
234	о человеке	1	1
235	жизни а	1	1
236	которая в	3	1
237	своей природе	2	1
238	счастья не	1	1
239	есть время	2	1
240	не могу	2	1
241	уже в	2	1
242	эти слова	2	1
243	мыслить в	1	1
244	к себе	2	1
245	в свою	5	1
246	в значительной	2	1
247	может принадлежать	1	1
248	для себя	2	1
249	из этих	5	1
250	во всяком	3	1
251	том числе	1	1
252	но также	2	1
253	природе своей	2	1
254	для того	1	1
255	не по	4	1
256	мы всегда	1	1
257	быть не	4	1
258	вся жизнь	2	1
259	этой системе	1	1
260	не для	1	1
261	свободе в	1	1
262	же мере	1	1
263	своеобразие ее	1	1
264	последние годы	1	1
265	не всегда	2	1
266	из их	1	1
267	и жизненной	1	1
268	в этот	3	1
269	имея в	1	1
270	это уже	2	1
271	он и	2	1
272	что вся	1	1
273	было бы	4	1
274	мы должны	1	1
275	при свете	1	1
276	в сущности	3	1
277	о самом	1	1
278	этом он	1	1
279	в формах	1	1
280	другого мира	1	1
281	в его	9	1
282	особое место	1	1
283	значительной степени	2	1
284	народов и	1	1
285	о свободе	1	1
286	и вся	3	1
287	значение для	1	1
288	и через	2	1
289	и их	1	1
290	в которую	1	1
291	говорить о	5	1
292	не с	4	1
293	одному из	1	1
294	и ему	1	1
295	у нас	4	1
296	для них	3	1
297	не столько	5	1
298	с другими	1	1
299	часто не	1	1
300	истории с	2	1
301	людей и	1	1
302	движение времени	1	1
303	сказать мы	1	1
304	в виду	3	1
305	еще в	3	1
306	в мир	1	1
307	только изнутри	1	1
308	превращается в	1	1
309	и до	1	1
310	слова а	1	1
311	выразить свое	1	1
312	с собой	1	1
313	только в	9	1
314	неизбежно будет	1	1
315	не на	3	1
316	не могут	1	1
317	тайны бытия	1	1
318	по своей	4	1
319	власти и	1	1
320	в нее	1	1
321	он есть	1	1
322	в зависимости	1	1
323	было и	2	1
324	а во	2	1
325	оно не	2	1
326	на смену	2	1
327	их не	1	1
328	и извне	1	1
329	а на	4	1
330	о природе	1	1
331	сами по	1	1
332	это всегда	2	1
333	или не	3	1
334	но он	2	1
335	не хотел	1	1
336	заключает в	4	1
337	в этой	2	1
338	этого не	2	1
339	а во-вторых	1	1
340	числе и	1	1
341	внутри и	1	1
342	к чему	1	1
343	природе к	1	1
344	человеческой жизни	4	1
345	времени его	2	1
346	во взаимной	1	1
347	а по	1	1
348	а также	12	1
349	и еще	1	1
350	жизнь в	1	1
351	нее входит	1	1
352	несоизмеримо более	1	1
353	жизни от	1	1
354	в отличие	11	1
355	так называемый	1	1
356	он в	1	1
357	будто бы	3	1
358	на нее	2	1
359	во многом	1	1
360	переход от	1	1
361	нем не	1	1
362	из всех	1	1
363	этого нельзя	1	1
364	быть только	2	1
365	что не	2	1
366	тем что	2	1
367	так долго	1	1
368	жизни его	1	1
369	а само	1	1
370	хотят знать	2	1
371	и во	2	1
372	только одна	1	1
373	к этой	1	1
374	и нами	1	1
375	лишь к	1	1
376	это время	2	1
377	она неизбежно	1	1
378	истории но	1	1
379	в конце	3	1
380	вообще не	1	1
381	слишком большой	2	1
382	и гибель	1	1
383	них не	1	1
384	мира эти	1	1
385	в образе	1	1
386	к которому	2	1
387	в своем	9	1
388	характер и	1	1
389	исторический период	1	1
390	в последние	1	1
391	как я	1	1
392	уже нет	1	1
393	и вполне	1	1
394	рода в	2	1
395	что он	2	1
396	на себя	5	1
397	известном смысле	1	1
398	в исторический	1	1
399	и она	1	1
400	их в	3	1
401	в силу	2	1
402	времени что	1	1
403	он может	1	1
404	сама идея	1	1
