N	4gram	Propp_Morf	DiskursI
1	в то же время	1	8
2	состоит в том что	3	7
3	одно и то же	1	3
4	в том случае если	2	2
5	в тех случаях когда	2	2
6	бы то ни было	2	2
7	то что они хотят	1	2
8	то же время и	1	2
9	вне своего положения в	1	1
10	не что иное как	2	1
11	к чему не обязывающий	1	1
12	только в том случае	1	1
13	ни к чему не	2	1
14	или во всяком случае	1	1
15	что далеко не все	1	1
16	в том что он	1	1
17	в том случае когда	1	1
18	не стремится к созданию	1	1
19	здесь как и в	1	1
20	есть не что иное	1	1
