N	3gram	Tiupa_Lite	VerxiiNi
1	с одной стороны	8	7
2	с точки зрения	4	6
3	во всяком случае	2	6
4	по крайней мере	2	5
5	а с другой	2	5
6	до сих пор	1	5
7	для того чтобы	1	5
8	в том числе	2	5
9	с тем чтобы	1	4
10	но все же	1	4
11	о том что	3	4
12	к тому же	1	4
13	в том что	15	3
14	в конце концов	1	3
15	в связи с	4	3
16	а так как	1	3
17	тем не менее	4	3
18	так или иначе	8	3
19	ничего общего с	2	2
20	той или иной	1	2
21	на то что	1	2
22	с самого начала	1	2
23	то ни было	1	2
24	этой точки зрения	3	2
25	бы то ни	1	2
26	в этом отношении	5	2
27	то же время	12	2
28	в то же	12	2
29	с этой точки	3	2
30	и в этом	1	2
31	но при этом	2	1
32	все более и	1	1
33	мысль о полном	1	1
34	есть не более	1	1
35	в свою очередь	2	1
36	чуть ли не	2	1
37	только в силу	1	1
38	иметь в виду	1	1
39	может и не	1	1
40	но в то	1	1
41	речь идет о	3	1
42	тем что в	2	1
43	со всем и	1	1
44	в соответствии с	2	1
45	не может быть	5	1
46	по отношению к	4	1
47	и в то	1	1
48	в данном случае	6	1
49	не только от	1	1
50	нет ничего кроме	1	1
51	в отличие от	6	1
52	же время он	1	1
53	в своем уединении	1	1
54	а не как	1	1
55	после того как	1	1
56	в одну из	1	1
57	в себе не	1	1
58	но и от	1	1
59	в качестве таких	1	1
60	и того же	1	1
61	ничего не стоит	1	1
62	на задний план	1	1
63	и в новом	1	1
64	том или ином	1	1
65	еще при жизни	1	1
66	которые могли бы	1	1
67	и в сущности	1	1
68	в самом деле	1	1
69	в общем контексте	1	1
70	в одном из	1	1
71	всего со всем	1	1
72	но с другой	3	1
73	состоит в том	8	1
74	в рамках определенной	1	1
75	только то что	2	1
76	вместе с новыми	1	1
77	с другой стороны	5	1
78	всяком случае в	1	1
79	по тому же	1	1
80	при этом не	1	1
81	тому же пути	1	1
82	более и более	1	1
83	друг друга а	1	1
84	одного и того	1	1
85	в этом последнем	1	1
