N	3gram	Tiupa_Lite	Dialekti
1	с точки зрения	4	46
2	по крайней мере	2	26
3	в том что	15	25
4	не может быть	5	18
5	тем не менее	4	16
6	то же время	12	15
7	в то же	12	14
8	и то же	1	12
9	с другой стороны	5	12
10	о том что	3	12
11	одно и то	1	12
12	на то что	1	11
13	в самом деле	1	10
14	имеется в виду	1	9
15	иметь в виду	1	9
16	и в этом	1	9
17	и не только	1	9
18	подобно тому как	4	9
19	внутреннего и внешнего	1	8
20	только то что	2	8
21	говоря уже о	2	7
22	так или иначе	8	7
23	в связи с	4	7
24	той или иной	1	7
25	не говоря уже	3	7
26	и в частности	1	7
27	только потому что	1	6
28	для того чтобы	1	6
29	в зависимости от	1	6
30	и прежде всего	4	6
31	и в то	1	6
32	не нуждается в	1	6
33	в сравнении с	2	6
34	во всяком случае	2	6
35	с одной стороны	8	6
36	имеет ничего общего	1	5
37	тем более не	1	5
38	на самом деле	1	5
39	ничего общего с	2	5
40	в конце концов	1	5
41	не имеет ничего	1	5
42	к тому что	1	5
43	до сих пор	1	5
44	одной стороны и	1	4
45	и т п	2	4
46	с этой точки	3	4
47	то в чем	1	4
48	но даже и	1	4
49	этой точки зрения	3	4
50	в данном случае	6	4
51	к тому же	1	4
52	личности с ее	1	4
53	для того кто	1	4
54	как раз и	1	4
55	из того что	2	4
56	а не только	1	4
57	может и не	1	4
58	не может и	1	4
59	не есть ли	1	4
60	и даже в	1	4
61	и тем более	1	4
62	можно было бы	2	4
63	не могут быть	1	4
64	в этом отношении	5	4
65	тех или иных	2	3
66	а не абсолютная	1	3
67	он не может	1	3
68	нельзя сказать что	1	3
69	но все же	1	3
70	так как будто	1	3
71	бы то ни	1	3
72	так что уже	1	3
73	даже и не	1	3
74	и не может	1	3
75	ту или иную	2	3
76	то что я	1	3
77	но в то	1	3
78	не только в	4	3
79	речь идет о	3	3
80	с самого начала	1	3
81	что он не	1	2
82	том что в	1	2
83	в силу своей	3	2
84	себя в своей	1	2
85	поскольку речь идет	2	2
86	далеко не всегда	1	2
87	в отношении к	1	2
88	мы никогда не	1	2
89	прежде всего это	1	2
90	в последнее время	1	2
91	перед нами не	1	2
92	не в силах	1	2
93	в чистом виде	1	2
94	в свою очередь	2	2
95	лишь тогда когда	1	2
96	вместе с ним	1	2
97	в это время	1	2
98	и по этой	1	2
99	как это было	1	2
100	как один из	1	2
101	не в состоянии	1	2
102	мы не можем	1	2
103	для этого он	1	2
104	несмотря на свою	1	2
105	тот или иной	1	2
106	дело в том	2	2
107	уже не раз	1	2
108	уже не просто	1	2
