N	2gram	Berdyaev_V	DiskursI
1	а не	7	60
2	может быть	1	56
3	не только	2	49
4	и в	16	49
5	как и	4	47
6	тогда как	1	47
7	и не	20	44
8	в том	3	44
9	то есть	1	41
10	том что	2	40
11	в этом	4	38
12	но и	5	35
13	но не	2	31
14	но в	3	28
15	так и	4	28
16	как в	1	25
17	еще не	8	23
18	в своей	3	19
19	все же	1	19
20	в нем	4	19
21	прежде всего	2	19
22	то же	1	17
23	с другой	1	17
24	в мире	5	17
25	только в	2	16
26	то что	9	15
27	роль в	1	15
28	в его	4	15
29	не в	3	14
30	это не	2	14
31	как бы	5	13
32	для него	2	13
33	в целом	1	13
34	в своих	1	12
35	ведет к	1	12
36	в своем	1	12
37	и на	1	12
38	и все	4	12
39	не было	3	11
40	что в	3	11
41	с его	3	11
42	а с	2	10
43	для себя	1	10
44	а в	2	10
45	в них	3	9
46	уже не	2	9
47	между тем	2	9
48	в этих	3	8
49	к тому	3	8
50	в котором	4	8
51	в противоположность	1	8
52	в одном	1	8
53	хотя и	5	8
54	в себя	2	8
55	если в	1	8
56	жизни в	1	8
57	потому что	4	8
58	человека в	1	8
59	не с	2	8
60	о чем	1	7
61	другой стороны	1	7
62	что и	3	7
63	к этому	1	7
64	в этой	1	7
65	я в	1	7
66	могут быть	2	7
67	ни в	3	7
68	в процессе	1	7
69	ни для	1	7
70	но это	3	7
71	и для	3	7
72	нового времени	1	7
73	лишь в	3	7
74	и ее	1	7
75	мира в	2	7
76	одна из	2	6
77	крайней мере	1	6
78	никогда не	3	6
79	в ее	1	6
80	можно признать	1	6
81	во всех	3	6
82	и то	2	6
83	что он	4	6
84	в которых	1	6
85	по крайней	1	6
86	в истории	8	6
87	отношение к	1	6
88	в виду	1	5
89	не всегда	1	5
90	говорить о	4	5
91	в прошлом	2	5
92	к ним	1	5
93	на этом	1	5
94	тем что	2	5
95	один из	2	5
96	оно не	3	5
97	ничего не	1	5
98	того что	5	5
99	того как	1	5
100	по словам	1	5
101	в ней	4	5
102	мира и	1	5
103	в их	1	5
104	и потому	7	5
105	но она	1	5
106	не к	2	5
107	в самом	1	4
108	человеческой жизни	1	4
109	говорит о	1	4
110	в результате	1	4
111	и до	1	4
112	в жизни	3	4
113	его на	1	4
114	в речах	1	4
115	во всяком	2	4
116	что они	7	4
117	указать на	1	4
118	к жизни	1	4
119	будто бы	1	4
120	что не	4	4
121	я не	1	4
122	не есть	6	4
123	и это	2	4
124	и тем	1	4
125	как это	1	4
126	это в	1	4
127	и есть	4	4
128	с ним	2	4
129	не могут	2	4
130	более чем	2	4
131	во мне	4	4
132	и во	2	4
133	у них	1	4
134	не для	1	4
135	слова не	1	4
136	а к	2	4
137	может и	1	4
138	является в	2	3
139	которая в	1	3
140	но все	1	3
141	и сам	2	3
142	их в	3	3
143	в одно	1	3
144	вопрос о	1	3
145	и столь	1	3
146	в которой	1	3
147	к чему	3	3
148	на себя	5	3
149	но как	1	3
150	и что	3	3
151	для человека	2	3
152	в форме	2	3
153	не просто	1	3
154	то ни	1	3
155	и от	1	3
156	и по	1	3
157	не случайно	1	3
158	мире и	1	3
159	они и	2	3
160	современной культуры	1	3
161	живет в	1	3
162	должна быть	3	3
163	истории в	1	3
164	себя с	1	3
165	присутствует в	1	3
166	как не	3	3
167	вместе с	1	3
168	не имеет	3	3
169	да и	2	3
170	на том	2	3
171	как мы	1	3
172	к миру	1	3
173	в едином	1	3
174	жизни не	1	3
175	жизни но	1	3
176	они не	1	3
177	и было	1	3
178	уже в	1	3
179	мы не	2	3
180	еще и	1	3
181	за которым	1	3
182	все эти	3	3
183	или даже	1	3
184	в новом	1	3
185	бы это	1	3
186	он говорит	1	3
187	а его	1	3
188	она не	1	3
189	хотя бы	3	3
190	проявляется как	1	3
191	жизни и	3	3
192	бытия в	1	3
193	что на	1	3
194	мира с	1	3
195	что было	2	2
196	во всем	1	2
197	из сторон	1	2
198	он всегда	1	2
199	с этой	1	2
200	которое может	1	2
201	и с	1	2
202	о мире	1	2
203	жизнь в	1	2
204	за ним	3	2
205	всегда в	1	2
206	речь идет	1	2
207	не могли	2	2
208	для того	1	2
209	мы все	1	2
210	а между	2	2
211	тем кто	2	2
212	на него	1	2
213	к нему	1	2
214	всего в	2	2
215	бы то	1	2
216	должно быть	3	2
217	в утверждении	1	2
218	чем у	1	2
219	бытия и	1	2
220	в третьем	1	2
221	как можно	1	2
222	у него	1	2
223	в разные	1	2
224	для человеческого	1	2
225	во главе	2	2
226	себе и	1	2
227	в чем	3	2
228	не был	1	2
229	а потом	1	2
230	и быть	1	2
231	вообще в	1	2
232	личности и	3	2
233	жизнь как	1	2
234	его к	2	2
235	и ведет	1	2
236	а потому	1	2
237	в последнем	2	2
238	его с	1	2
239	к вечности	3	2
240	нашего времени	1	2
241	и они	3	2
242	себя и	1	2
243	не имеют	1	2
244	в роли	1	2
245	и теперь	2	2
246	себя не	1	2
247	вслед за	2	2
248	имеет своим	1	2
249	этого слова	1	2
250	значение в	1	2
251	хоть и	1	2
252	в первый	3	2
253	все это	5	2
254	ее в	2	2
255	отказаться от	1	2
256	наших дней	1	2
257	это еще	4	2
258	со своей	1	2
259	вовсе не	1	2
260	и вообще	1	2
261	его не	2	2
262	этом мире	1	2
263	не по	1	2
264	нельзя не	1	2
265	отказ от	1	2
266	есть не	1	2
267	с которыми	1	1
268	и другие	1	1
269	мы и	2	1
270	не нужна	3	1
271	же и	1	1
272	самого себя	2	1
273	это лишь	1	1
274	тому что	3	1
275	людей но	1	1
276	жизни во	1	1
277	мировой жизни	4	1
278	в разных	1	1
279	о временном	1	1
280	что человек	1	1
281	на нас	2	1
282	как она	1	1
283	на которых	1	1
284	и полное	1	1
285	на земле	7	1
286	и будут	2	1
287	с тем	2	1
288	стороны в	1	1
289	целое и	1	1
290	и зла	2	1
291	есть то	1	1
292	мир и	2	1
293	нем нет	2	1
294	вечности и	2	1
295	и нет	1	1
296	и смерти	1	1
297	которые не	2	1
298	не существует	1	1
299	ее к	1	1
300	раскрытия тайны	1	1
301	то это	3	1
302	раз и	1	1
303	человека не	1	1
304	наука не	1	1
305	одно целое	1	1
306	он был	1	1
307	о красоте	1	1
308	и своим	1	1
309	все о	1	1
310	пока они	1	1
311	на пути	1	1
312	превращается в	3	1
313	его по	1	1
314	от своей	2	1
315	так же	1	1
316	всего что	1	1
317	и остается	1	1
318	ней и	1	1
319	с именем	1	1
320	в мировом	1	1
321	находится в	1	1
322	так не	2	1
323	в атмосфере	1	1
324	от них	1	1
325	были в	1	1
326	на котором	1	1
327	роковым образом	1	1
328	решить проблему	2	1
329	в религиозном	1	1
330	говорю тебе	2	1
331	и мы	3	1
332	она и	1	1
333	после того	1	1
334	но лишено	1	1
335	в состоянии	1	1
336	позитивного и	1	1
337	в исторических	1	1
338	но от	1	1
339	не поднимается	1	1
340	него в	1	1
341	они в	3	1
342	и будет	3	1
343	они будут	4	1
344	веры а	1	1
345	не была	1	1
346	является и	1	1
347	о возможности	1	1
348	на разных	1	1
349	в конце	3	1
350	человек и	1	1
351	лишь на	1	1
352	чего бы	1	1
353	и именно	1	1
354	властью и	1	1
355	человеке и	1	1
356	от этого	3	1
357	разные конкретные	1	1
358	в двух	1	1
359	теперь и	1	1
360	но к	1	1
361	бы в	1	1
362	и мир	1	1
363	богу и	2	1
364	если оно	1	1
365	уже сказано	1	1
366	в книгах	2	1
367	в вечность	1	1
368	человеческого бытия	1	1
369	человека как	2	1
370	этих трех	3	1
371	не будет	2	1
372	других людей	1	1
373	к ее	1	1
374	будет так	1	1
375	из нас	1	1
376	разных концах	1	1
377	сознания от	2	1
378	смерть но	1	1
379	личность человеческая	3	1
380	известном смысле	1	1
381	природы и	1	1
382	их к	1	1
383	любви в	1	1
384	но прежде	1	1
385	жизни с	1	1
386	своей и	1	1
387	мировой истории	1	1
388	к человеку	1	1
389	и чем	1	1
390	это он	1	1
391	разные эпохи	1	1
392	так ли	1	1
393	превратились в	2	1
394	красоте и	1	1
395	что это	1	1
396	своей сущности	1	1
397	не были	1	1
398	о которой	1	1
399	мы в	1	1
400	более глубокое	1	1
401	для них	2	1
402	можно было	2	1
403	под этим	2	1
404	с ними	1	1
405	тоже не	1	1
406	значения и	2	1
407	происхождения и	1	1
408	и так	1	1
409	он осуществляет	1	1
410	в словах	1	1
411	сравнению с	1	1
412	зависимости от	1	1
413	в известном	1	1
414	я говорю	2	1
415	к богу	8	1
416	нет ничего	3	1
417	его и	2	1
418	к счастью	3	1
419	бы и	3	1
420	слова которое	1	1
421	то и	1	1
422	нет у	4	1
423	того чтобы	2	1
424	и если	1	1
425	по сравнению	1	1
426	это только	1	1
427	не быть	1	1
428	этом пути	1	1
429	все чего	1	1
430	личности но	1	1
431	природы в	1	1
432	о своем	1	1
433	в мир	1	1
434	в новых	1	1
435	только это	1	1
436	им в	1	1
437	может ли	1	1
438	нет и	2	1
439	в образе	4	1
440	в глазах	1	1
441	добра и	4	1
442	в теоретическом	1	1
443	не того	1	1
444	в понимании	1	1
445	что во	3	1
446	счастья и	1	1
447	свободного выбора	1	1
448	тот же	3	1
449	этому же	1	1
450	звучит в	1	1
451	близок к	1	1
452	ничем не	1	1
453	так как	9	1
454	и за	2	1
455	от которого	3	1
456	для нас	2	1
457	и всегда	1	1
458	основана на	1	1
459	в виде	1	1
460	но с	1	1
461	это слово	1	1
462	с универсальным	1	1
463	можно вывести	1	1
464	личности по	1	1
465	и свободы	2	1
466	от слова	1	1
467	истины и	1	1
468	им и	1	1
469	человек с	1	1
470	и могут	1	1
471	и я	4	1
472	отказавшись от	1	1
473	не создает	2	1
474	к личности	4	1
475	ничего нельзя	1	1
476	если не	3	1
477	людей в	3	1
478	все тот	2	1
479	человека к	1	1
480	искать в	1	1
481	чудо и	1	1
482	в будущем	1	1
483	за то	3	1
484	это как	1	1
