N	4gram	Bakhtin_Pr	Morfolog
1	и т д как	1	4
2	в то время как	2	3
3	в собственном смысле слова	1	3
4	бы то ни было	2	2
5	с точки зрения его	1	1
6	и независимо от того	1	1
7	нужно иметь в виду	1	1
8	можно было бы сказать	1	1
9	но для наших целей	1	1
10	а вовсе не с	1	1
11	во что бы то	1	1
12	бы то ни стало	1	1
13	в том что он	4	1
14	типа а не первого	1	1
15	отношении друг к другу	1	1
16	в то же время	13	1
17	до сих пор не	1	1
18	то же время и	1	1
19	что бы то ни	1	1
20	в том или другом	1	1
21	и до известной степени	1	1
22	и т д наконец	1	1
