N	3gram	Bakhtin_Pr	VelikijI
1	к тому что	1	3
2	и т д	4	2
3	в том что	6	2
4	а между тем	1	2
5	вместо того чтобы	1	2
6	но и в	1	2
7	том что он	5	2
8	так как не	2	2
9	великого инквизитора и	1	2
10	то что я	1	2
11	по этому пути	1	2
12	того что он	1	1
13	так и в	2	1
14	менее всего можно	1	1
15	во что бы	1	1
16	что бы то	1	1
17	и в жизни	1	1
18	для него не	2	1
19	нет этих черт	1	1
20	в конце концов	7	1
21	но прежде всего	1	1
22	и нет этих	1	1
23	и во всяком	1	1
24	в сознании и	1	1
25	в этом мире	1	1
26	и в форме	1	1
27	сознании и в	2	1
28	есть то что	1	1
29	ивана карамазова и	3	1
30	и никогда не	1	1
31	знает может быть	1	1
32	по сравнению с	1	1
33	есть прежде всего	1	1
34	как и в	3	1
35	и менее всего	1	1
36	я ничего не	1	1
37	и что в	1	1
38	по крайней мере	2	1
39	не могут быть	1	1
40	то и другое	1	1
41	и великого инквизитора	1	1
42	в платоновском смысле	1	1
43	хотя бы и	3	1
44	как бы в	6	1
45	но все же	3	1
46	очень важное место	1	1
47	с другой стороны	6	1
48	хоть и не	1	1
49	в известном смысле	1	1
50	проявляется и в	2	1
51	его личности и	1	1
52	бы то ни	3	1
53	раз и навсегда	1	1
54	его и не	1	1
55	и есть то	1	1
56	после того как	1	1
57	и в этом	5	1
58	то ни стало	1	1
