N	3gram	Trubetskoy	slovoVRo
1	не может быть	4	19
2	то же время	2	18
3	в то же	2	18
4	с точки зрения	8	15
5	с одной стороны	2	11
6	более или менее	8	9
7	в этом случае	4	9
8	в зависимости от	1	8
9	во всяком случае	2	8
10	как мы сказали	1	6
11	не может не	3	6
12	но все же	2	6
13	с другой стороны	4	6
14	в том что	16	5
15	по отношению к	11	5
16	в каждый данный	4	5
17	может быть и	4	5
18	для того чтобы	7	4
19	друг с другом	9	4
20	до сих пор	15	4
21	каждый данный момент	3	4
22	точки зрения на	1	4
23	и не может	1	4
24	в свою очередь	2	4
25	лишь тогда когда	2	4
26	таким образом в	3	4
27	в лучшем случае	1	4
28	мы уже сказали	1	4
29	и то же	1	3
30	между этими двумя	2	3
31	в данном случае	3	3
32	а затем и	1	3
33	в связи с	3	3
34	к тому что	1	3
35	как и в	2	3
36	одно и то	1	3
37	как мы видели	1	3
38	в широком смысле	1	3
39	в другом случае	1	3
40	рано или поздно	2	2
41	которых мы говорили	4	2
42	так и для	2	2
43	как бы ни	1	2
44	и в другом	1	2
45	о которых мы	4	2
46	меньше чем в	1	2
47	с этой точки	1	2
48	так и от	1	2
49	тем не менее	4	2
50	а между тем	8	2
51	в нем не	1	2
52	до некоторой степени	1	2
53	не только не	1	2
54	и в том	2	2
55	на каждом шагу	1	2
56	сих пор не	5	2
57	в том и	2	2
58	хотя и не	1	2
59	но по существу	1	2
60	иметь в виду	1	2
61	том и в	1	2
62	о том что	4	2
63	этой точки зрения	1	2
64	а следовательно и	2	2
65	в то время	2	2
66	если она не	1	2
67	на том же	1	2
68	мы не знаем	1	2
69	можно было бы	1	2
70	во всех этих	2	2
71	в таком же	2	2
72	с самого начала	1	2
73	между тем как	1	2
74	и в нем	1	2
75	мы уже говорили	1	2
76	в основе их	1	2
77	то время как	1	2
78	тот или иной	1	2
79	тот факт что	4	2
80	мы видели что	1	1
81	мы все же	2	1
82	и сам он	1	1
83	время от времени	2	1
84	этими двумя крайними	1	1
85	все то что	1	1
86	гораздо сложнее и	1	1
87	далеко не исчерпывается	1	1
88	для этого необходимо	1	1
89	мы видим что	1	1
90	на задний план	1	1
91	образом в каждый	1	1
92	в ту же	1	1
93	представить себе как	1	1
94	и более или	1	1
95	и ничем не	1	1
96	при этом что	2	1
97	во всех отношениях	1	1
98	он не может	2	1
99	развития все это	1	1
100	в том числе	1	1
101	все же он	1	1
102	и все это	1	1
103	только с точки	1	1
104	друг на друга	2	1
105	так или иначе	5	1
106	всяком случае за	1	1
107	и некоторые другие	1	1
108	не принадлежат к	1	1
109	в том случае	4	1
110	и в в	1	1
111	возможно лишь при	3	1
112	именно потому что	2	1
113	может быть не	1	1
114	данном случае не	1	1
115	таким образом даже	1	1
116	между всеми этими	1	1
117	о котором идет	5	1
118	в его сознании	1	1
119	том числе и	1	1
120	в один из	1	1
121	сословий и классов	1	1
122	целом ряде случаев	1	1
123	лишь при условии	2	1
124	не поймет и	1	1
125	что они не	1	1
126	а в том	1	1
127	в этом направлении	1	1
128	то ни было	3	1
129	а не в	1	1
130	во всей своей	1	1
131	том что оно	1	1
132	бы то ни	3	1
133	для этой цели	1	1
134	но именно в	1	1
135	в нашем случае	2	1
136	не только по	1	1
137	потому не может	1	1
138	мы говорили в	1	1
139	познаний и сведений	1	1
140	а как бы	1	1
141	друг друга и	1	1
142	вступают в борьбу	1	1
143	то есть в	1	1
144	на своем пути	1	1
145	на то что	7	1
146	и может быть	2	1
147	по крайней мере	1	1
148	каждый из этих	2	1
149	в данный момент	1	1
150	заключается в том	3	1
151	социальная жизнь и	1	1
152	и в дальнейшем	1	1
153	в целом ряде	3	1
154	одним из главных	1	1
155	к одному из	1	1
156	в эпохи более	2	1
157	в этих областях	2	1
158	все эти слова	1	1
159	на одном языке	1	1
160	между прочим в	1	1
161	и с точки	1	1
162	дело в том	1	1
163	как и все	2	1
164	и все другие	1	1
165	что одним из	1	1
166	одной и той	1	1
167	так же как	3	1
168	уже говорили что	1	1
169	двумя крайними пределами	1	1
170	не менее в	1	1
171	еще далеко не	1	1
172	именно в том	1	1
173	только в истории	1	1
174	том что он	2	1
175	той же культуры	2	1
176	иначе обстоит дело	1	1
177	переход из одного	1	1
178	а лишь о	1	1
179	дело идет об	1	1
180	том случае если	4	1
181	их отношение к	1	1
182	в такой формулировке	1	1
183	до конца не	1	1
184	нет и не	1	1
185	и той же	1	1
186	самого начала в	1	1
187	это было бы	1	1
188	но с другой	1	1
189	друг к другу	2	1
