N	2gram	Potebnia_M	Otkroven
1	о человеке	5	29
2	у него	3	22
3	человеческой природы	2	20
4	и в	48	19
5	и не	28	13
6	но и	30	13
7	в этом	19	12
8	человека в	2	11
9	а не	22	11
10	не только	32	11
11	не в	24	11
12	может быть	46	11
13	вопрос о	2	10
14	человека и	8	10
15	и все	5	10
16	в нем	16	10
17	потому что	82	9
18	в человеке	4	9
19	прежде всего	6	9
20	не было	12	9
21	в самой	1	9
22	никогда не	2	9
23	и он	1	8
24	он был	1	8
25	нет ничего	2	7
26	от него	2	7
27	ни с	1	7
28	в его	6	7
29	он не	4	7
30	но он	3	7
31	лишь в	2	7
32	человек не	4	7
33	человеческой души	1	6
34	все это	4	6
35	как и	22	6
36	в самом	11	5
37	в том	47	5
38	человеке и	2	5
39	для него	14	5
40	него в	1	5
41	в этой	3	5
42	а в	14	5
43	до самого	1	5
44	отношение к	2	5
45	то что	37	5
46	человеку и	1	5
47	все в	3	4
48	что в	30	4
49	и мысли	2	4
50	о человеческой	1	4
51	того чтобы	5	4
52	есть лишь	1	4
53	не может	18	4
54	что не	12	4
55	в самую	1	4
56	человек и	2	4
57	все эти	1	4
58	и его	4	4
59	он сам	2	4
60	его мысли	1	4
61	с его	1	4
62	только одно	1	3
63	и от	5	3
64	жизни все	1	3
65	все что	4	3
66	что человек	4	3
67	и вот	1	3
68	хотя бы	3	3
69	это не	2	3
70	для того	8	3
71	с ним	10	3
72	души но	1	3
73	мысли и	8	3
74	когда он	1	3
75	быть может	7	3
76	в этих	2	3
77	не могут	7	3
78	в своих	2	3
79	как бы	10	3
80	было бы	16	3
81	сердце в	1	3
82	могут быть	6	3
83	в себе	26	3
84	и есть	4	3
85	что он	8	3
86	никто не	5	3
87	человеческого духа	1	3
88	это было	3	3
89	и ее	1	3
90	о том	7	3
91	того что	24	3
92	к нему	7	3
93	еще не	9	3
94	человека к	1	2
95	и к	5	2
96	природы в	3	2
97	и потому	9	2
98	так и	17	2
99	что они	2	2
100	и то	13	2
101	человека есть	1	2
102	и против	1	2
103	в душе	17	2
104	все же	3	2
105	что у	4	2
106	так как	20	2
107	при чтении	2	2
108	должно быть	9	2
109	к ней	7	2
110	его не	2	2
111	уже в	10	2
112	любовь к	1	2
113	совсем не	2	2
114	так что	14	2
115	в своем	6	2
116	с тем	9	2
117	и из	2	2
118	с которой	2	2
119	в которой	9	2
120	ее в	2	2
121	о которой	1	2
122	не все	5	2
123	одно из	6	2
124	что и	16	2
125	для человека	8	2
126	он вечно	1	2
127	и бесконечно	1	2
128	человеческая природа	1	2
129	в истории	2	2
130	в единстве	2	2
131	его в	6	2
132	свободы и	1	2
133	должен был	2	2
134	чем в	2	2
135	ко всем	5	2
136	мысль о	12	2
137	и с	4	2
138	что же	3	2
139	то к	4	2
140	одного только	1	2
141	и там	1	2
142	частью в	2	2
143	он в	1	2
144	было для	3	2
145	и о	6	2
146	природы и	2	2
147	сказать что	8	2
148	что для	5	2
149	тем что	13	2
150	что есть	3	2
151	из всего	1	2
152	ничего и	1	2
153	и на	5	2
154	сложнее и	1	2
155	в других	3	2
156	с чем	3	2
157	что все	5	2
158	ничего не	1	2
159	хотя и	3	2
160	не есть	24	2
161	в своей	2	2
162	жизни в	1	2
163	по себе	26	2
164	не имеет	10	2
165	о любви	2	2
166	к этому	3	2
167	и никогда	1	2
168	же это	1	2
169	том что	28	2
170	от человека	1	2
171	в ее	3	2
172	в положительной	1	2
173	но в	8	2
174	человека а	2	2
175	человеческой и	1	1
176	науки о	1	1
177	во всем	2	1
178	к одному	7	1
179	ничего но	1	1
180	в каждом	6	1
181	одно время	3	1
182	его собственного	1	1
183	во всяком	4	1
184	не так	1	1
185	бросается в	1	1
186	человек может	2	1
187	видели в	1	1
188	его и	1	1
189	с образом	1	1
190	одном месте	1	1
191	но можно	1	1
192	все и	1	1
193	том случае	2	1
194	а потому	8	1
195	то он	2	1
196	но оно	6	1
197	нет такого	1	1
198	на человека	2	1
199	которой все	1	1
200	для его	1	1
201	еще одну	1	1
202	а с	4	1
203	и самое	3	1
204	не существует	5	1
205	все его	2	1
206	и действий	1	1
207	и человека	1	1
208	и других	3	1
209	к другу	1	1
210	один из	7	1
211	тянется к	1	1
212	в котором	7	1
213	и здесь	3	1
214	та же	3	1
215	после этого	1	1
216	и состоит	2	1
217	качества и	1	1
218	друг к	1	1
219	он ни	1	1
220	можно ожидать	1	1
221	тому кто	1	1
222	существует лишь	2	1
223	же и	3	1
224	это потому	2	1
225	от самой	1	1
226	именно от	1	1
227	и свобода	1	1
228	после того	2	1
229	сам и	1	1
230	случае если	2	1
231	того как	10	1
232	к одной	4	1
233	так для	1	1
234	этого она	1	1
235	в первый	1	1
236	его с	3	1
237	иметь право	1	1
238	она не	4	1
239	том как	3	1
240	есть одно	2	1
241	должна быть	2	1
242	мы не	17	1
243	не могу	1	1
244	бы даже	1	1
245	противоречие и	1	1
246	но еще	1	1
247	притом не	2	1
248	связана с	1	1
249	человечество стремится	1	1
250	не идет	1	1
251	заключено в	1	1
252	еще более	1	1
253	жизнь а	1	1
254	но не	8	1
255	и менее	1	1
256	с тою	1	1
257	из жизни	1	1
258	вопросу о	1	1
259	людей но	1	1
260	для многих	1	1
261	не по	1	1
262	образ и	6	1
263	быть не	4	1
264	не быть	1	1
265	был бы	2	1
266	в ней	11	1
267	на два	1	1
268	человека тот	1	1
269	самому себе	1	1
270	он видит	1	1
271	это для	1	1
272	что это	6	1
273	свою мысль	2	1
274	его принадлежности	1	1
275	и тогда	4	1
276	а это	2	1
277	этом отношении	2	1
278	к любви	1	1
279	всяком случае	3	1
280	в свое	2	1
281	в сущности	3	1
282	тогда все	1	1
283	кажется что	3	1
284	лучше сказать	3	1
