N	4gram	Vygotskiy_	Russkaja
1	в том случае если	2	3
2	и вместе с тем	2	2
3	друг с другом как	1	1
4	мы говорили в начале	1	1
5	бы то ни было	1	1
6	тот факт что при	1	1
7	друг с другом не	1	1
8	в совершенно ином виде	1	1
9	указывает на то что	1	1
10	в основе его лежит	1	1
11	подлежит никакому сомнению что	2	1
12	не подлежит никакому сомнению	2	1
13	и с точки зрения	1	1
14	одну и ту же	1	1
15	друг с другом в	1	1
16	заключается в том что	16	1
17	которая в свою очередь	1	1
18	во всех этих случаях	1	1
19	что с точки зрения	1	1
20	в том числе и	3	1
21	в самом деле для	1	1
22	в тот или иной	1	1
23	и более или менее	1	1
24	одного и того же	5	1
25	основе его лежит не	1	1
26	во всяком случае не	1	1
27	и во всяком случае	2	1
28	в том виде как	3	1
29	на том основании что	1	1
30	точно так же как	1	1
31	и в некоторых других	1	1
