N	4gram	Propp_Russ	Problema
1	не что иное как	3	14
2	в то время как	1	12
3	и т д и	1	9
4	не имеет ничего общего	1	9
5	на самом же деле	2	8
6	и в этом случае	2	6
7	имеет ничего общего с	1	5
8	во всяком случае не	1	4
9	так же как и	3	4
10	в тех случаях когда	2	3
11	одного и того же	1	3
12	это не значит что	2	3
13	как мы увидим ниже	1	3
14	только о том что	1	3
15	сливаются в одно целое	1	2
16	но тем не менее	2	2
17	в том что в	6	2
18	самом же деле это	1	2
19	а может быть и	1	2
20	а вместе с тем	1	2
21	ничего общего не имеет	1	2
22	мы не будем здесь	2	2
23	тем не менее здесь	1	2
24	в настоящей работе мы	1	2
25	только потому что она	1	2
26	в этом случае он	1	2
27	общего не имеет с	1	1
28	необходимо иметь в виду	1	1
29	по содержанию и по	1	1
30	может быть и не	1	1
31	с точки зрения в	1	1
32	было бы значительно увеличить	1	1
33	всего дома и хозяйства	1	1
34	можно было бы значительно	1	1
35	же деле это не	1	1
36	в том что они	1	1
37	в xix в и	1	1
38	и в других случаях	1	1
39	как и в других	1	1
40	по этому поводу с	1	1
41	в данном случае мы	1	1
42	в одном и том	1	1
43	вместе с тем он	1	1
44	не потому что они	1	1
45	и на то что	1	1
46	состоит в том что	16	1
47	о том что в	1	1
48	не только потому что	1	1
49	приходит к выводу что	1	1
50	приводит нас к необходимости	1	1
51	обращают на себя внимание	1	1
52	одном и том же	1	1
53	и во многих других	1	1
54	вместе с тем и	2	1
55	в том что этот	2	1
56	на том основании что	1	1
