N	2gram	Losev_Dial	Myshleni
1	в том	20	195
2	в этом	18	167
3	то что	25	166
4	и в	35	162
5	том что	18	161
6	в развитии	1	151
7	таким образом	5	147
8	точки зрения	25	143
9	что в	19	119
10	не только	26	116
11	того что	6	109
12	так же	6	100
13	потому что	23	95
14	того чтобы	1	91
15	может быть	30	89
16	с точки	18	89
17	что он	16	86
18	не может	16	81
19	как и	10	79
20	для того	2	78
21	так как	24	78
22	и не	51	78
23	только в	7	75
24	в целом	1	74
25	как мы	5	72
26	но и	17	70
27	заключается в	4	67
28	в его	4	67
29	сказать что	19	65
30	как бы	19	64
31	вместе с	3	62
32	и что	17	60
33	было бы	14	60
34	в качестве	2	60
35	то же	21	58
36	в основе	4	58
37	в отношении	5	55
38	могли бы	1	54
39	в силу	6	53
40	что мы	3	53
41	в самом	6	52
42	по сравнению	2	51
43	в сущности	2	51
44	мы должны	6	50
45	к тому	6	49
46	что они	8	48
47	тем что	2	48
48	мы можем	5	48
49	понятий и	2	47
50	тогда когда	6	47
51	мы не	1	47
52	сравнению с	2	46
53	если бы	12	46
54	но не	9	45
55	с другой	10	45
56	в мышлении	1	44
57	с тем	2	43
58	же как	3	43
59	тем самым	1	43
60	тому что	4	42
61	как это	8	42
62	не является	3	41
63	о том	8	40
64	по своей	5	40
65	одной стороны	3	40
66	никогда не	18	39
67	с одной	4	39
68	так и	18	39
69	в области	2	38
70	и к	8	37
71	вопрос о	3	37
72	если мы	3	37
73	мы видим	6	37
74	не в	12	37
75	в этой	3	37
76	с самого	2	36
77	в своем	7	36
78	все эти	4	36
79	самого начала	2	36
80	как в	3	36
81	а не	24	36
82	и его	6	36
83	того же	1	35
84	с другом	2	35
85	можно было	5	35
86	в себе	23	35
87	в которой	3	35
88	друг с	2	35
89	он не	5	35
90	связи с	3	34
91	и как	14	34
92	приводит к	1	34
93	прежде всего	14	33
94	при этом	2	33
95	по себе	39	33
96	именно в	4	32
97	той же	1	32
98	что оно	9	32
99	нас к	1	32
100	по своему	4	32
101	же самое	3	32
102	что и	7	32
103	и тем	2	32
104	но в	8	32
105	слова и	1	32
106	развития и	2	31
107	все же	9	31
108	из того	2	31
109	и то	15	31
110	мысли и	3	30
111	на то	5	30
112	этом отношении	2	30
113	между тем	3	29
114	как известно	3	29
115	могут быть	6	29
116	показывает что	2	29
117	от того	2	29
118	с этим	5	28
119	что с	2	28
120	самом деле	6	28
121	только что	5	27
122	с этой	3	27
123	в результате	2	27
124	другой стороны	7	27
125	в то	10	27
126	и с	10	27
127	в своей	9	27
128	что все	2	27
129	перед нами	3	27
130	в их	5	26
131	что это	21	26
132	для него	2	26
133	мысли в	2	26
134	в частности	4	26
135	в чем	9	25
136	что она	18	25
137	еще не	4	25
138	уже в	5	25
139	все это	14	25
140	можно сказать	10	25
141	по мере	3	25
142	своего развития	2	25
143	только не	2	25
144	мы уже	8	25
145	это не	18	25
146	в смысле	5	24
147	мы знаем	1	24
148	тот же	1	24
149	понятия и	1	24
150	зависимости от	2	24
151	в сфере	2	24
152	того как	3	24
153	в какой	3	24
154	так что	21	24
155	что эта	5	24
156	в нем	25	24
157	друг друга	1	23
158	бы в	3	23
159	ни в	20	23
160	как он	5	23
161	во всяком	5	22
162	не могут	4	22
163	то время	3	22
164	столь же	1	22
165	в зависимости	2	22
166	между ними	1	21
167	к этому	2	21
168	и следовательно	7	21
169	и ее	1	21
170	представление о	1	21
171	его в	3	21
172	все время	4	21
173	показать что	1	21
174	там где	1	21
175	и все	11	21
176	не имеет	15	21
177	в истории	1	21
178	в сознании	3	21
179	ее в	2	21
180	и более	7	21
181	отношение к	5	21
182	в виду	9	20
183	не менее	5	20
184	в котором	5	20
185	в другом	6	20
186	к которому	1	20
187	из них	5	20
188	время как	7	20
189	из этих	2	20
190	в такой	1	20
191	и других	1	20
192	а в	8	20
193	говорит что	3	20
194	как раз	7	20
195	к выводу	2	20
196	на этом	4	20
197	в наших	1	20
198	должно быть	7	20
199	по существу	2	20
200	и их	5	20
201	но мы	3	19
202	в связи	3	19
203	во всех	3	19
204	а с	2	19
205	и по	5	19
206	один из	3	19
207	но если	6	19
208	независимо от	2	19
209	в данном	5	19
210	в той	4	19
211	мы и	3	19
212	об отношении	6	19
213	как на	1	19
214	с ним	9	19
215	из которых	1	19
216	во всем	3	18
217	во всей	1	18
218	одного и	1	18
219	но это	12	18
220	и другое	3	18
221	отличие от	1	18
