N	4gram	Savitsky_E	Myslijsy
1	в то же время	14	13
2	одного и того же	1	9
3	не заключает в себе	1	6
4	один и тот же	1	4
5	в то время как	1	4
6	в том смысле что	1	4
7	дело в том что	1	4
8	и в этом смысле	2	4
9	заключается в том что	2	3
10	и та и другая	1	3
11	и то и другое	1	3
12	с этой точки зрения	5	3
13	только в том смысле	1	3
14	с одной стороны и	6	3
15	не говоря уже о	1	3
16	в том случае если	1	2
17	и во многих других	1	2
18	на то что в	1	2
19	не только в том	1	2
20	одна и та же	1	2
21	что само по себе	1	2
22	бы то ни было	4	2
23	само по себе не	2	1
24	так как мы не	1	1
25	только в том случае	1	1
26	с другой стороны в	1	1
27	можно сказать что в	2	1
28	можно сказать даже что	1	1
29	между тем в одном	1	1
30	в себе не только	1	1
31	рано или поздно не	1	1
32	но и эта последняя	1	1
33	на этот вопрос мы	1	1
34	в их отношении к	3	1
35	и связанное с ним	1	1
36	и в некотором смысле	1	1
37	что как бы ни	1	1
38	в большей или меньшей	1	1
39	ответить на этот вопрос	1	1
40	мы оставим в стороне	1	1
41	например с точки зрения	2	1
42	чтобы ответить на этот	1	1
43	но само по себе	1	1
44	в том числе и	1	1
45	если будет доказано что	1	1
46	то же время не	1	1
47	одну и ту же	1	1
48	так же как и	3	1
