N	3gram	Losev_Prob	Tragedij
1	в то же	10	5
2	так и в	2	3
3	в том что	17	2
4	и как бы	2	2
5	и в частности	4	2
6	бросается в глаза	1	2
7	точно так же	5	2
8	в данном случае	12	2
9	о том что	8	2
10	но все же	1	2
11	в отличие от	2	2
12	сам по себе	10	1
13	эти образы и	1	1
14	выходящее за пределы	1	1
15	искусство для искусства	1	1
16	том что он	2	1
17	друг друга и	1	1
18	имеет в виду	1	1
19	что он не	2	1
20	бы и не	1	1
21	все эти образы	1	1
22	не скажет что	2	1
23	за то что	1	1
24	может быть не	1	1
25	все эти черты	1	1
26	смысле этого слова	1	1
27	в конце концов	4	1
28	но несмотря на	1	1
29	самостоятельное значение и	4	1
30	никто не скажет	2	1
31	в той же	1	1
32	целесообразностью без цели	2	1
33	не может быть	5	1
34	она как бы	1	1
35	но при этом	1	1
36	в этом случае	8	1
37	виде и что	1	1
38	для чего же	2	1
39	и потому как	1	1
40	по сравнению с	3	1
41	не так ли	1	1
42	в чем же	2	1
43	и то что	8	1
44	не только не	5	1
45	связаны между собой	1	1
46	но это уже	1	1
47	хотя бы и	2	1
48	обстоит дело с	1	1
49	в виду не	1	1
50	как и в	2	1
51	в связи с	9	1
52	и все же	1	1
53	может быть в	1	1
54	в самом деле	1	1
55	чем он сам	1	1
56	мы бы сказали	1	1
57	во всяком случае	8	1
58	это не просто	1	1
59	к тому что	1	1
60	необходимо подчеркнуть что	1	1
61	тем не менее	23	1
62	несмотря на всю	1	1
63	то и дело	1	1
64	что он с	1	1
65	в третий раз	1	1
66	это и есть	3	1
67	все же не	1	1
68	и не может	1	1
69	и в этом	6	1
70	перед нами на	1	1
71	отнюдь не является	3	1
