N	3gram	Medvedev_F	Myshleni
1	в том что	3	133
2	с точки зрения	17	89
3	для того чтобы	3	78
4	заключается в том	1	51
5	по сравнению с	1	45
6	по отношению к	4	42
7	так же как	1	39
8	с одной стороны	5	39
9	с самого начала	2	36
10	во внутренней речи	1	31
11	в этом отношении	7	30
12	в этом случае	1	27
13	в собственном смысле	1	26
14	вместе с тем	5	26
15	с другой стороны	4	26
16	не может быть	11	23
17	смысле этого слова	4	22
18	к тому что	3	22
19	в высшей степени	4	22
20	в зависимости от	4	22
21	не только не	2	21
22	в самом деле	5	19
23	и тем самым	2	19
24	из того что	1	19
25	в отличие от	2	18
26	состоит в том	1	18
27	во всяком случае	6	18
28	в этом смысле	3	18
29	до сих пор	7	17
30	этой точки зрения	1	17
31	как мы видели	5	17
32	в связи с	9	17
33	же как и	1	17
34	с этой точки	1	16
35	бы сказать что	1	15
36	в данном случае	2	15
37	друг от друга	2	14
38	на этот вопрос	1	14
39	собственном смысле этого	1	14
40	в свою очередь	6	14
41	это значит что	1	13
42	то и другое	1	13
43	в том чтобы	3	12
44	тем не менее	2	12
45	на первый план	1	12
46	в своем развитии	1	12
47	в последнее время	1	11
48	мы не можем	3	11
49	в процессе развития	1	11
50	в такой же	1	11
51	одной стороны и	4	10
52	в учении о	1	10
53	том числе и	1	10
54	от того что	1	10
55	по своей природе	1	10
56	в самом начале	1	10
57	но вместе с	1	10
58	в том числе	1	10
59	вместо того чтобы	1	10
60	с помощью которых	1	10
61	в целом и	1	9
62	сама по себе	2	9
63	как и в	1	9
64	с помощью которого	1	9
65	с тем что	3	9
66	более или менее	7	9
67	на самом деле	7	9
68	именно в этом	1	9
69	то что он	1	8
70	только в том	1	8
71	сам по себе	2	8
72	более и более	3	8
73	что в основе	1	8
74	не могут быть	4	8
75	что он не	1	8
76	в этой области	1	8
77	все более и	3	8
78	что и в	2	8
79	по этому поводу	1	7
80	к тому чтобы	2	7
81	зависимости от этого	1	7
82	с тем и	2	7
83	в этот период	1	6
84	ничего общего с	2	6
85	и в частности	2	6
86	в лучшем случае	3	6
87	только то что	1	6
88	и не может	5	6
89	в том смысле	3	6
90	не что иное	1	6
91	в том и	1	6
92	что перед нами	2	6
93	что иное как	1	6
94	мере в какой	1	5
95	и как бы	1	5
96	как если бы	2	5
97	той мере в	1	5
98	но все же	2	5
99	тому что он	1	5
100	как мы увидим	3	5
101	в той мере	1	5
102	прежде всего в	5	5
103	том смысле что	2	5
104	в той же	2	5
105	таким образом мы	1	5
106	сами по себе	4	5
107	в конце концов	2	5
108	в этом пункте	4	5
109	не может не	1	5
110	и в этом	6	5
111	но он не	1	5
112	в какой мере	2	5
113	мы знаем что	1	5
114	в то же	13	5
115	с помощью этого	1	5
116	тем что оно	2	5
117	то что они	1	5
118	между этими двумя	2	5
119	мы видим что	1	4
120	влечет за собой	1	4
121	так и в	6	4
122	между тем как	1	4
123	по аналогии с	4	4
124	к вопросу о	1	4
125	и во всяком	1	4
126	но и в	4	4
127	эта точка зрения	1	4
128	таким образом в	1	4
129	как и все	2	4
130	таким образом оказывается	1	4
131	самого начала что	1	4
132	в его основе	1	4
133	то же что	1	4
134	речи в которой	1	4
135	есть не что	1	4
136	в значительной степени	3	4
137	мы увидим что	1	4
138	если бы оно	2	4
139	и ко всем	1	4
140	на отдельные элементы	1	4
141	в гораздо большей	1	4
142	в предисловии к	3	4
143	в применении к	4	3
144	к действительности и	1	3
145	то ни было	1	3
146	мы говорим о	2	3
147	хотя бы и	1	3
148	она не может	1	3
149	в нашем примере	1	3
150	но при этом	1	3
151	на сегодняшний день	1	3
152	чем иным как	1	3
153	только и может	4	3
154	то же время	13	3
155	в целом ряде	2	3
156	связи с этим	4	3
157	но не с	1	3
158	это делается в	1	3
159	того или иного	6	3
160	что если бы	1	3
161	мы имеем в	1	3
162	и все остальные	1	3
163	хотя бы в	4	3
164	является одним из	1	3
165	только в процессе	1	3
166	он полагает что	1	3
167	как и во	1	3
168	мы наблюдаем в	1	3
169	не можем не	1	3
170	и во всех	1	3
171	и в конце	1	3
172	все же в	1	3
173	по самому своему	1	3
174	не чем иным	1	3
175	тех или иных	1	3
176	что как бы	1	3
177	как раз и	4	3
178	совершенно очевидно что	1	3
179	бы то ни	4	3
180	теми или иными	1	3
181	свою очередь является	2	3
182	в своем исследовании	1	3
183	помощью этого метода	1	3
184	в основе этой	2	3
185	та или иная	1	3
186	а не как	1	3
187	независимо друг от	1	3
188	в настоящее время	11	3
189	до последнего времени	2	3
190	не приводит к	1	3
191	так как они	1	3
192	убедиться в этом	2	3
193	имеем в виду	1	3
194	оно не может	1	3
195	но не для	1	3
196	все равно что	1	3
197	нет и не	2	3
198	с его помощью	2	2
199	со всеми своими	1	2
200	точки зрения этой	1	2
201	в этом процессе	2	2
202	задачи стоящей перед	1	2
203	что в данном	1	2
204	как бы не	1	2
205	дело идет о	3	2
206	этого слова мы	1	2
207	том и заключается	1	2
208	что он в	1	2
209	чтобы убедиться в	2	2
210	со всеми другими	1	2
211	возникновения и развития	1	2
212	эта связь может	1	2
213	но в этом	2	2
