N	2gram	Medvedev_I	Narrotol
1	и не	2	50
2	и в	1	30
3	в этом	2	28
4	а в	1	27
5	так и	1	17
6	а также	1	17
7	по отношению	1	11
8	если бы	1	11
9	отношению к	1	11
10	никогда не	1	10
11	жизни и	1	10
12	ничего не	2	10
13	того что	1	10
14	что в	2	9
15	для него	1	9
16	он не	2	8
17	того чтобы	1	8
18	с другой	1	7
19	в целом	1	7
20	о ней	1	6
21	могло бы	1	6
22	то и	1	6
23	вплоть до	1	6
24	только что	1	5
25	и сам	1	5
26	для того	1	5
27	себя в	1	5
28	я не	1	5
29	а для	1	5
30	по поводу	1	5
31	стало быть	1	5
32	о жизни	1	5
33	не случайно	1	5
34	и о	1	5
35	в них	1	4
36	и с	3	4
37	за границей	1	4
38	со всеми	1	4
39	в основе	1	4
40	это было	1	4
41	говорить о	1	3
42	видит в	1	3
43	а с	1	3
44	при такой	1	3
45	нам в	1	3
46	для других	1	3
47	все эти	1	3
48	должен быть	2	3
49	другой стороны	1	2
50	тем что	1	2
51	другое дело	1	2
52	как только	1	2
53	было не	1	2
54	и еще	1	2
55	бы в	1	2
56	того же	1	2
57	не слишком	1	2
58	очевидно что	1	2
59	и ничего	1	2
60	утверждает что	1	2
61	как о	1	2
62	более чем	1	2
63	автора и	1	2
64	после смерти	1	2
65	это был	1	2
66	все это	1	2
67	а по	1	2
68	во многом	1	2
69	с героем	1	1
70	своего исследования	1	1
71	следующим образом	1	1
72	все четыре	1	1
73	что при	1	1
74	оказывается для	1	1
75	тех же	1	1
76	не остается	1	1
77	личности для	1	1
78	на котором	1	1
79	и та	1	1
80	и тот	1	1
81	что для	1	1
82	бы его	1	1
83	его личности	1	1
84	них не	1	1
85	как отец	1	1
86	теперь я	1	1
87	автор и	1	1
88	когда его	1	1
89	в значительной	1	1
90	произведения и	1	1
91	то она	1	1
92	и без	1	1
93	есть только	1	1
94	и со	1	1
95	нисколько не	1	1
96	еще одной	1	1
97	все тех	1	1
98	хотя его	1	1
99	жил в	1	1
