N	3gram	Berdyaev_V	Dialekti
1	и т д	2	75
2	по крайней мере	1	26
3	в том что	2	25
4	т д и	1	14
5	д и т	1	12
6	с другой стороны	1	12
7	есть то что	1	11
8	и в этом	1	9
9	того что он	1	7
10	то что мы	3	6
11	по сравнению с	1	5
12	в конце концов	1	5
13	в нем нет	2	5
14	к тому что	3	5
15	то и другое	1	5
16	тогда нет и	1	5
17	есть прежде всего	1	5
18	не есть метафизическое	1	4
19	так как она	1	4
20	и то и	1	4
21	я думаю что	1	4
22	да и то	1	4
23	не могут быть	1	4
24	и есть то	1	3
25	но все же	1	3
26	бы то ни	1	3
27	как и в	1	3
28	то что я	2	3
29	личности и ее	1	3
30	в вопросе о	2	2
31	бы и не	2	2
32	хотя бы и	1	2
33	в жизни и	1	2
34	во что бы	1	2
35	и вместе с	1	2
36	все что было	1	2
37	с ними как	1	2
38	что все в	1	2
39	не в силах	2	2
40	мы видим что	1	2
41	нет ничего и	1	2
42	нем нет никакого	1	2
43	и можно ли	1	2
44	что бы то	1	2
45	другой стороны в	1	2
46	как не есть	1	2
47	то ни стало	1	2
48	веры а не	1	1
49	все это мы	1	1
50	в я в	1	1
51	не утверждение личности	1	1
52	вечности вот почему	1	1
53	он так хорошо	1	1
54	находить ее в	1	1
55	от бога и	1	1
56	оно не имеет	1	1
57	в искусстве но	1	1
58	имеет своим предметом	1	1
59	все равно не	1	1
60	и что в	1	1
61	и все это	1	1
62	уже и не	1	1
63	если бог не	1	1
64	познания добра и	2	1
65	в этом мире	1	1
66	и никогда не	1	1
67	как бы и	2	1
68	есть одна из	1	1
69	и в вопросе	1	1
70	вот почему в	1	1
71	к чему же	1	1
72	не имеет никакой	1	1
73	за то что	3	1
74	вслед за ним	1	1
75	но прежде всего	1	1
76	вместе с тем	1	1
77	и во всяком	1	1
78	но и в	2	1
79	в ней и	1	1
80	и это еще	1	1
81	я был в	1	1
82	потому что их	1	1
83	в разные эпохи	1	1
84	а между тем	2	1
85	от бога по	1	1
86	если оно не	1	1
87	добра и зла	2	1
88	это еще не	2	1
89	вот почему мы	1	1
90	не верит в	2	1
91	с тем чтобы	1	1
92	том что он	2	1
93	личность о которой	1	1
94	как бы в	1	1
95	свою личность как	1	1
96	но от этого	1	1
97	после того как	1	1
