N	3gram	Bakhtin_Fr	NovoeSre
1	в высшей степени	1	6
2	не может быть	2	4
3	xix и xx	1	4
4	со всех сторон	1	3
5	и xx веков	1	3
6	подобно тому как	2	3
7	в средние века	1	3
8	лицом к лицу	1	3
9	во всех сферах	1	3
10	большую роль в	1	2
11	что в нем	1	2
12	с одной стороны	4	2
13	с другой стороны	5	2
14	это не значит	1	2
15	в том что	2	1
16	в том случае	1	1
17	в этой системе	2	1
18	до сих пор	6	1
19	не имеет никакой	1	1
20	старого мира и	2	1
21	тому как в	1	1
22	в эту эпоху	2	1
23	как будто бы	1	1
24	это конечно не	1	1
25	в одну эпоху	1	1
26	и преображен в	1	1
27	века и потому	1	1
28	и особенно для	1	1
29	но для этого	1	1
30	том числе и	3	1
31	можно было бы	2	1
32	и вместе с	1	1
33	то что он	1	1
34	не только в	3	1
35	но и в	4	1
36	в эпоху ренессанса	1	1
37	в большинстве случаев	3	1
38	в том чтобы	1	1
39	в отличие от	3	1
40	в значительной степени	2	1
41	есть лишь в	1	1
42	о том что	3	1
43	и до сих	2	1
44	и того же	1	1
45	потому что не	1	1
46	к этой теме	2	1
47	не может когда	1	1
48	в новое время	1	1
49	но это есть	1	1
50	как и в	2	1
51	то что в	1	1
52	том случае если	1	1
53	во всяком случае	2	1
54	нового времени и	1	1
55	и во всех	1	1
56	к одному из	1	1
57	ни в одну	1	1
58	в том числе	4	1
59	играют большую роль	1	1
60	существенным моментом в	1	1
61	и еще не	1	1
62	и на их	1	1
63	в то время	1	1
64	имея в виду	1	1
65	это и есть	2	1
66	то время как	1	1
67	и не может	1	1
68	одного и того	1	1
69	к жизни и	1	1
70	может быть только	1	1
