N	4gram	Tiupa_Disk	slovoVRo
1	в то же время	7	18
2	в той или иной	1	13
3	и в то же	2	6
4	с одной стороны и	3	4
5	большей или меньшей степени	1	4
6	в большей или меньшей	1	4
7	одно и то же	2	3
8	в том и в	1	2
9	том и в другом	1	2
10	и в том и	1	2
11	и не может быть	1	2
12	ни в чем не	1	2
13	и в другом случае	1	2
14	или во всяком случае	1	2
15	то же время и	2	2
16	именно в том что	1	1
17	в зоне контакта с	1	1
18	одни и те же	1	1
19	в том случае если	1	1
20	все дело в том	1	1
21	с большей или меньшей	1	1
22	дело в том что	3	1
23	в том что в	3	1
24	а в том что	2	1
25	нет и не может	1	1
26	которые лежат в основе	1	1
27	том что он не	1	1
28	в том числе и	3	1
29	в данном случае не	1	1
30	слово в отличие от	1	1
31	в том что он	1	1
32	с точки зрения наличных	1	1
33	никак не могут быть	1	1
34	она во всяком случае	1	1
35	с той или иной	2	1
36	в одно и то	2	1
