N	3gram	Vinokur_Vv	VLabPisa
1	и т д	39	16
2	в этом отношении	4	14
3	и т п	5	9
4	не может быть	10	8
5	с другой стороны	5	8
6	по отношению к	4	7
7	по этому поводу	3	7
8	более или менее	1	6
9	в том что	15	5
10	хотя бы и	2	5
11	не следует понимать	1	5
12	в зависимости от	3	5
13	в то же	6	5
14	то же время	6	5
15	вместе с тем	3	4
16	можно сказать что	3	4
17	не было бы	1	4
18	не могут быть	2	4
19	в связи с	2	4
20	к тому что	1	4
21	бы и не	1	3
22	и др в	1	3
23	большей или меньшей	3	3
24	в значительной мере	2	3
25	для того чтобы	22	3
26	о том что	13	3
27	подобно тому как	2	3
28	та или иная	1	3
29	деятельности человека и	1	2
30	одной стороны и	3	2
31	не могут не	2	2
32	и том же	1	2
33	во всяком случае	5	2
34	от того что	1	2
35	том отношении что	3	2
36	в том чтобы	5	2
37	по крайней мере	4	2
38	как об этом	2	2
39	в чем же	3	2
40	таким образом по	2	2
41	во всех его	1	2
42	этой точки зрения	2	2
43	в том числе	1	2
44	не в том	2	2
45	в точном смысле	1	2
46	в большей или	1	2
47	до сих пор	7	2
48	в конце концов	2	2
49	или меньшей степени	1	2
50	не только в	4	2
51	и никогда не	1	2
52	не может не	1	2
53	в частности в	1	2
54	каждой из этих	1	2
55	в конечном итоге	3	2
56	т е в	4	2
57	только в том	2	2
58	в том отношении	3	2
59	только то что	1	2
60	в другом месте	2	2
61	с одной стороны	4	2
62	одном и том	1	2
63	также и в	3	2
64	можно было бы	4	2
65	после того как	2	2
66	так же как	1	1
67	на этой почве	2	1
68	на вопрос что	1	1
69	но ведь это	1	1
70	в той или	1	1
71	в этой системе	1	1
72	в свою очередь	2	1
73	в одном и	1	1
74	в том же	1	1
75	с этим и	1	1
76	того или иного	1	1
77	все то что	1	1
78	т е не	2	1
79	как будто бы	2	1
80	той или иной	3	1
81	того обстоятельства что	1	1
82	но вместе с	2	1
83	одним из наиболее	1	1
84	целого ряда других	1	1
85	в применении к	6	1
86	том смысле что	1	1
87	в каждой из	1	1
88	все зависит от	1	1
89	но и в	1	1
90	одной из этих	1	1
91	как мы знаем	1	1
92	что даже и	2	1
93	в том смысле	1	1
94	понимать в том	1	1
95	в этом смысле	10	1
96	как это было	1	1
97	по сравнению с	4	1
98	в течение многих	2	1
99	не в этом	1	1
100	у них не	1	1
101	и в результате	1	1
102	из них и	1	1
103	имеем в виду	1	1
104	и без того	1	1
105	одной из основных	1	1
106	мы говорим о	1	1
107	в этом случае	6	1
108	заключает в себе	1	1
109	отсюда следует что	1	1
110	образом связана с	1	1
111	том или ином	2	1
112	ту или иную	1	1
113	говоря уже о	1	1
114	дело не в	1	1
115	с этой точки	2	1
116	то что в	1	1
117	может быть в	2	1
118	в самом деле	6	1
119	в реальной действительности	1	1
120	как один из	1	1
121	таким образом для	1	1
122	и как оно	1	1
123	как видно из	1	1
124	от его содержания	1	1
125	не значит что	1	1
126	у него в	1	1
127	того чтобы понять	3	1
128	только в этом	1	1
129	с теми или	1	1
130	тех или иных	3	1
131	а между тем	2	1
132	и то же	2	1
133	на этот вопрос	5	1
134	и есть то	1	1
135	особый вид познания	1	1
136	в таком случае	1	1
137	об искусстве и	1	1
138	не говоря уже	2	1
139	так или иначе	4	1
140	могут не быть	1	1
141	на то или	1	1
142	то о чем	1	1
143	именно в этом	3	1
144	ответ на этот	2	1
145	одно и то	2	1
146	но в то	3	1
147	то или иное	1	1
148	в прямом смысле	4	1
149	по меньшей мере	2	1
150	а потому и	1	1
151	быть и речи	1	1
152	том же направлении	1	1
153	примером может служить	1	1
154	в соответствии с	2	1
155	в данном случае	4	1
156	в том или	2	1
157	а в том	1	1
158	следует понимать в	2	1
159	об этом речь	1	1
160	не следует забывать	1	1
161	хотя бы уже	1	1
162	дошедших до нас	1	1
163	как если бы	1	1
164	них не было	1	1
165	чем же заключается	1	1
166	уже о том	1	1
167	то же самое	3	1
168	сама по себе	3	1
169	ни к какому	1	1
170	но все же	4	1
171	лицом к лицу	1	1
172	все это не	1	1
173	а одним из	1	1
174	а как на	1	1
175	т д но	5	1
176	в целом но	1	1
177	точки зрения на	1	1
178	в начале этой	1	1
179	вопрос о том	5	1
180	во взглядах на	1	1
181	а не только	1	1
182	только тогда когда	1	1
183	не как на	1	1
184	нельзя не признать	3	1
185	теснейшим образом связана	1	1
186	ставится этот вопрос	1	1
187	имеем дело с	1	1
188	теми или иными	1	1
189	мы имеем дело	1	1
190	но с другой	1	1
191	о природе и	1	1
192	может быть и	2	1
