N	3gram	Tiupa_Lite	EvropaiC
1	в том что	15	16
2	до сих пор	1	15
3	по отношению к	4	11
4	с точки зрения	4	8
5	на то что	1	7
6	для того чтобы	1	7
7	на самом деле	1	7
8	в самом деле	1	5
9	так или иначе	8	5
10	к тому же	1	5
11	не может быть	5	4
12	о том что	3	4
13	тем не менее	4	4
14	с другой стороны	5	4
15	в конце концов	1	4
16	в этом случае	2	4
17	не в состоянии	1	3
18	в целом ряде	2	3
19	в том же	3	3
20	одного и того	1	3
21	не подлежит сомнению	1	3
22	то ни было	1	3
23	в данном случае	6	3
24	и то что	2	3
25	и того же	1	3
26	в связи с	4	3
27	бы то ни	1	3
28	в свою очередь	2	2
29	лишь тогда когда	1	2
30	во всяком случае	2	2
31	во всех этих	1	2
32	он не может	1	2
33	в то же	12	2
34	но и его	1	2
35	ничего общего с	2	2
36	а с другой	2	2
37	том что он	1	2
38	из того же	1	2
39	но все же	1	2
40	только то что	2	2
41	с одной стороны	8	2
42	то же время	12	2
43	в индивидуальном сознании	1	1
44	культуры которые не	1	1
45	есть не более	1	1
46	а как бы	1	1
47	все то что	1	1
48	за то что	2	1
49	которые не могут	1	1
50	то есть в	1	1
51	это должно быть	1	1
52	по этому поводу	1	1
53	в дальнейшем эта	1	1
54	и самого себя	1	1
55	вдруг оказывается что	1	1
56	на задний план	1	1
57	как мы знаем	1	1
58	по крайней мере	2	1
59	культуре в целом	1	1
60	по существу он	1	1
61	не есть ли	1	1
62	этой точки зрения	3	1
63	том или ином	1	1
64	с этой точки	3	1
65	а потому не	1	1
66	тогда как сам	1	1
67	в том числе	2	1
68	только в том	2	1
69	в этом и	1	1
70	при этом не	1	1
71	с лица земли	1	1
72	тогда как при	1	1
73	тем более что	1	1
74	до тех пор	2	1
75	состоит в том	8	1
76	говоря уже о	2	1
77	не говоря уже	3	1
78	во многих отношениях	1	1
79	и культуры в	3	1
80	оградить себя от	1	1
81	но при этом	2	1
82	культуры и в	1	1
83	все та же	2	1
84	что он сам	1	1
85	дело в том	2	1
86	иметь в виду	1	1
87	не свидетельствует о	1	1
88	одно и то	1	1
89	в лучшем случае	1	1
90	как мы видели	1	1
91	в зависимости от	1	1
92	между тем как	1	1
93	сознательно или бессознательно	1	1
94	можно было бы	2	1
95	в один из	1	1
96	и я совершенно	1	1
97	при этом однако	1	1
98	а потому и	1	1
99	с самого начала	1	1
100	и то же	1	1
101	этом случае мы	1	1
102	все в том	1	1
103	исходит из того	1	1
104	на первый взгляд	1	1
105	а не в	1	1
106	при этом у	1	1
107	том что при	1	1
108	а так как	1	1
109	как и всякой	1	1
110	к тому что	1	1
111	тем самым все	1	1
112	из того что	2	1
113	приводит к тому	1	1
114	является одним из	1	1
115	до конца не	1	1
116	в равной мере	2	1
117	для этой цели	1	1
118	нет и не	1	1
119	пока еще не	1	1
120	для тех кто	1	1
121	тот или иной	1	1
122	по тем же	2	1
123	и не может	1	1
124	в этом последнем	1	1
125	но с другой	3	1
126	именно в том	1	1
127	в чистом виде	1	1
