N	3gram	Savitsky_E	UchenyiS
1	не может быть	2	4
2	то ни было	4	3
3	с другой стороны	2	3
4	бы то ни	4	3
5	в то же	15	3
6	то же время	14	3
7	по нашему мнению	2	3
8	в том что	6	2
9	в противном случае	1	2
10	не могут быть	1	2
11	хотя бы и	3	2
12	тех или иных	1	2
13	и в частности	2	2
14	в этом отношении	3	2
15	в этом смысле	3	2
16	в последние годы	3	1
17	говорить не о	1	1
18	друг с другом	3	1
19	что для него	1	1
20	к которой принадлежит	1	1
21	сводится именно к	1	1
22	другой стороны в	1	1
23	в своей совокупности	1	1
24	значительный сдвиг в	1	1
25	но в то	2	1
26	между тем в	3	1
27	же время не	1	1
28	с тем что	1	1
29	большей или меньшей	1	1
30	с одной стороны	8	1
31	можно сказать что	3	1
32	относятся к области	1	1
33	в значительной мере	1	1
34	они относятся к	1	1
35	или меньшей степени	1	1
36	и не только	1	1
37	на то что	2	1
38	не только в	4	1
39	и прежде всего	3	1
40	более или менее	1	1
41	и в то	8	1
42	в данном случае	2	1
43	само по себе	4	1
44	в большей или	1	1
