N	3gram	Bakhtin_sl	Myslijsy
1	в том что	4	47
2	по отношению к	2	26
3	не может быть	11	19
4	тем не менее	2	18
5	по крайней мере	1	17
6	и т д	7	15
7	в свою очередь	3	14
8	а между тем	2	13
9	то же время	15	13
10	в то же	15	13
11	более или менее	5	12
12	с другой стороны	5	12
13	и в этом	2	12
14	до сих пор	4	12
15	во всяком случае	7	12
16	для того чтобы	1	11
17	сами по себе	1	11
18	а в том	1	11
19	и т п	49	11
20	в то время	2	10
21	с одной стороны	7	10
22	на то что	1	9
23	но и в	2	9
24	о том что	2	9
25	мы не можем	1	9
26	не могут быть	3	9
27	то есть не	2	8
28	так и в	5	8
29	было бы невозможно	1	8
30	как бы ни	2	8
31	в этом случае	4	8
32	и то же	2	7
33	не только не	2	7
34	сама по себе	2	7
35	и в том	2	7
36	с точки зрения	11	7
37	как и в	2	7
38	можно сказать что	1	7
39	и той же	1	7
40	одно и то	2	7
41	одной и той	1	7
42	не только в	3	7
43	может быть не	1	6
44	может быть только	3	6
45	в нем самом	1	6
46	и может быть	1	6
47	с самого начала	1	6
48	тем и другим	2	5
49	по себе а	1	5
50	между тем как	1	5
51	к тому что	2	5
52	не только по	1	5
53	таким образом в	4	5
54	мы видели что	1	4
55	мы не знаем	2	4
56	все то что	1	4
57	но и по	1	4
58	в собственном смысле	2	4
59	с этой точки	1	4
60	все более и	1	4
61	в данном случае	3	4
62	нельзя себе представить	1	4
63	в том и	2	4
64	лишь тогда когда	2	4
65	более и более	1	4
66	в противном случае	1	4
67	дело в том	1	4
68	далеко не все	1	4
69	именно в том	1	4
70	то есть к	1	4
71	в этом отношении	2	4
72	то время как	2	4
73	это было бы	1	4
74	что он не	1	3
75	одной стороны и	2	3
76	и внутреннюю форму	1	3
77	рано или поздно	2	3
78	в применении к	1	3
79	для нас в	2	3
80	до известной степени	3	3
81	и связанное с	1	3
82	в большинстве случаев	11	3
83	хотя бы и	5	3
84	по всей вероятности	3	3
85	бы ни был	1	3
86	то есть в	1	3
87	это не значит	2	3
88	так или иначе	1	3
89	том что он	1	3
90	не есть еще	1	3
91	в первом случае	2	3
92	если бы мы	1	3
93	а не в	1	3
94	в связи с	2	3
95	том что оно	1	3
96	бы то ни	1	3
97	но это не	1	3
98	на каждом шагу	2	3
99	в одном из	1	3
100	равно как и	1	3
101	в них не	1	3
102	со всех сторон	1	3
103	можно было бы	2	3
104	но во всяком	1	3
105	бы они ни	1	3
106	не менее в	1	3
107	могли бы быть	1	3
108	этой точки зрения	1	3
109	языка то есть	3	3
110	мы увидим что	1	3
111	но с другой	1	3
112	я говорю а	1	2
113	то и в	1	2
114	к языку и	2	2
115	в одном слове	1	2
116	у нас в	1	2
117	мы говорим о	1	2
118	в первый раз	1	2
119	и во всех	2	2
120	и все это	1	2
121	же то есть	1	2
122	того что уже	1	2
123	вовсе не может	1	2
124	не только о	2	2
125	может казаться что	1	2
126	по себе еще	1	2
127	в его сознании	1	2
128	так как во	1	2
129	в поэтическом произведении	3	2
130	связанные с этим	1	2
131	же и в	1	2
132	имеет дело с	1	2
133	там где нет	1	2
134	а не с	1	2
135	и там где	5	2
136	но все же	1	2
137	в своем языке	1	2
138	то ни было	1	2
139	и не может	2	2
140	и потому не	1	2
141	может и не	1	2
142	в этих случаях	1	2
143	так что мы	1	2
144	т п и	1	2
145	том что между	1	2
146	то же слово	2	2
147	каждый из этих	1	2
148	а не как	2	2
149	и в отношении	1	2
150	в свое время	1	2
151	и не в	1	2
152	а следовательно и	2	2
153	во всем своем	1	2
154	то есть от	2	2
155	как мы ее	1	2
156	же время и	2	2
157	что для нас	1	2
158	связанная с ним	1	2
159	как мы видели	2	2
160	они ни были	1	2
161	всяком случае не	1	2
162	и в каждом	1	2
163	и все остальные	1	2
164	и в истории	1	2
165	на предметы и	1	2
166	языка то все	1	1
167	быть сведены к	1	1
168	для него самого	1	1
169	оно не могло	1	1
170	образ может быть	1	1
171	или наоборот как	1	1
172	и столь же	1	1
173	заключается именно в	1	1
174	но оно как	1	1
175	чем перейти к	1	1
176	не может находиться	1	1
177	слова так и	1	1
178	в других случаях	2	1
179	и с человеком	1	1
180	на задний план	1	1
181	во всех этих	2	1
182	тесной связи с	1	1
183	более глубокое и	1	1
184	языка а следовательно	1	1
185	уже не в	1	1
186	как предмета в	1	1
187	здесь не только	1	1
188	о которых мы	2	1
189	есть не только	1	1
190	форма и содержание	1	1
191	точки зрения так	1	1
192	о слове как	1	1
193	в своей конкретной	1	1
194	и язык и	1	1
195	его отношение к	1	1
196	вовсе не в	1	1
197	между словом и	4	1
198	то есть вне	1	1
199	если они не	1	1
200	языке и на	1	1
201	того же в	1	1
202	не исчерпывают и	1	1
203	в том числе	1	1
204	от своего собственного	1	1
205	а не его	1	1
206	для сознания внутренней	1	1
207	мы уже сказали	3	1
208	есть только в	1	1
209	как мы уже	4	1
210	то есть именно	1	1
211	связанное с этим	1	1
212	внутреннюю форму слова	1	1
213	можем сказать в	1	1
214	прежде чем перейти	1	1
215	не все слова	1	1
216	поэтому и языки	1	1
217	точек зрения и	1	1
218	оба эти условия	1	1
219	и в более	1	1
220	как и у	1	1
221	не связано с	1	1
222	может иметь место	2	1
223	потому что по	1	1
224	как в самом	1	1
225	т д можно	1	1
226	иметь в виду	1	1
227	мы можем сказать	1	1
228	она не может	1	1
