N	2gram	Berdyaev_O	Vladivir
1	вл соловьева	1	559
2	вл соловьев	1	421
3	и в	19	116
4	у вл	1	87
5	то что	5	71
6	и не	13	67
7	у него	22	65
8	не только	11	65
9	в этом	12	53
10	в том	5	52
11	том что	2	51
12	что в	4	48
13	но и	13	47
14	в конце	1	41
15	в его	7	40
16	и с	2	39
17	и даже	1	36
18	сказать что	2	36
19	также и	1	36
20	учение о	2	35
21	так что	2	35
22	потому что	9	33
23	что он	3	32
24	не может	4	31
25	о том	3	30
26	никогда не	9	29
27	для него	5	29
28	вовсе не	1	27
29	а в	5	27
30	не было	9	26
31	в себе	3	25
32	но в	2	25
33	и то	2	25
34	и его	4	25
35	даже и	2	24
36	он не	7	23
37	может быть	11	23
38	что же	2	23
39	он был	8	22
40	так как	2	22
41	в своей	2	21
42	а именно	1	20
43	и что	1	20
44	в своем	2	20
45	прежде всего	9	20
46	так и	2	19
47	и потому	2	19
48	как и	6	18
49	не в	11	18
50	хотя и	2	18
51	как это	1	18
52	с его	4	18
53	что и	2	17
54	в этой	5	17
55	а не	11	17
56	у нас	1	17
57	все же	2	16
58	уже не	1	16
59	не есть	2	16
60	совсем не	2	16
61	и все	10	16
62	было бы	3	16
63	того что	3	16
64	в котором	1	16
65	и к	2	15
66	в своих	3	15
67	к этому	2	15
68	в эти	1	15
69	до конца	7	15
70	но это	1	15
71	это было	3	15
72	все эти	4	14
73	его жизни	1	14
74	и на	2	14
75	уже в	2	14
76	и как	1	14
77	во всем	1	13
78	с тем	2	13
79	на этот	1	13
80	и от	3	13
81	что это	1	13
82	да и	1	13
83	дело в	1	13
84	жизни и	1	13
85	по себе	2	12
86	и это	1	12
87	в нем	10	12
88	то в	1	12
89	всяком случае	1	12
90	ничего не	2	12
91	во всяком	1	12
92	него в	5	11
93	хотя бы	3	11
94	в которой	2	11
95	на то	1	11
96	и здесь	1	11
97	в отношении	1	11
98	это есть	1	11
99	все это	6	11
100	то он	1	11
101	не очень	2	11
102	и о	2	11
103	в самом	5	10
104	вот что	1	10
105	что все	2	10
106	можно было	1	10
107	что для	2	10
108	к нему	3	10
109	с ним	3	10
110	в россии	5	10
111	еще не	3	10
112	которую он	2	10
113	в истории	2	10
114	он и	1	10
115	о нем	1	10
116	в ней	1	10
117	но не	1	10
118	и был	1	9
119	о чем	1	9
120	и сам	1	9
121	смысле слова	1	9
122	но он	7	9
123	и можно	1	9
124	а с	1	9
125	отношения к	1	9
126	своей жизни	2	9
127	это не	3	9
128	ни с	7	9
129	в этих	3	8
130	тем что	2	8
131	в это	1	8
132	в этот	2	8
133	и он	8	8
134	как в	1	8
135	со стороны	1	8
136	должно быть	2	8
137	как бы	3	8
138	и для	2	8
139	в петербург	1	8
140	и я	1	8
141	только и	4	8
142	когда он	3	8
143	отношение к	5	8
144	к этой	2	7
145	в одном	1	7
146	в них	1	7
147	к ней	2	7
148	себе и	1	7
149	о его	5	7
150	был в	1	7
151	и есть	3	7
152	если бы	1	7
153	к его	1	7
154	не имеет	2	7
155	бы и	1	7
156	и вот	3	7
157	того чтобы	4	7
158	в свое	1	7
159	нисколько не	1	7
160	и ни	2	7
161	и очень	2	6
162	же и	1	6
163	мысли и	3	6
164	в виду	1	6
165	но у	1	6
166	для того	3	6
167	видно что	1	6
168	он сам	4	6
169	указать на	1	6
170	его в	2	6
171	чем в	2	6
172	что она	1	6
173	в древнем	1	6
174	под влиянием	1	6
175	по своей	1	6
176	почему же	1	6
177	не с	1	6
178	и из	2	6
179	должен был	2	6
180	н страхов	1	6
181	мы не	1	6
182	а это	1	6
183	и тут	1	6
184	было для	2	6
185	ко всему	1	6
186	в жизни	1	6
187	от того	1	6
188	о боге	4	6
189	само по	1	6
190	есть не	1	6
191	еще более	1	5
192	говорит о	1	5
193	и до	1	5
194	вопрос о	10	5
195	не вполне	1	5
196	него не	2	5
197	из них	1	5
198	что они	2	5
199	что у	2	5
200	говорит в	1	5
201	для его	1	5
202	он в	2	5
203	в частности	1	5
204	один из	1	5
205	жизни в	2	5
206	за границу	1	5
207	нет ничего	7	5
208	бог и	1	5
209	и больше	1	5
210	начиная с	1	5
211	ее в	2	5
212	и без	1	5
213	он никогда	1	5
214	что пишет	1	5
215	она не	1	5
216	и прежде	1	5
217	он всегда	7	4
218	не могли	2	4
219	в глаза	1	4
220	бога и	1	4
221	был даже	1	4
222	сам по	1	4
223	и весь	1	4
224	на этих	1	4
225	больше всего	1	4
226	кажется что	1	4
227	оба они	1	4
228	всю жизнь	1	4
229	любви к	1	4
230	для тех	1	4
231	не так	1	4
232	и против	2	4
233	в сущности	1	4
234	о которой	2	4
235	что сам	1	4
236	не могут	3	4
237	был для	1	4
238	заключается в	1	4
239	в нас	1	4
240	человека и	10	4
241	только одно	3	4
242	ни к	1	4
243	совершенно не	1	4
244	и более	1	4
245	с которой	2	4
246	лишь в	7	4
247	как например	1	4
248	есть просто	1	4
249	в свой	1	4
250	как к	2	4
251	после этого	1	4
252	этом отношении	1	4
253	как у	1	4
254	на самом	1	4
255	раз навсегда	1	4
256	была для	1	4
257	не все	2	4
258	это конечно	1	4
259	он говорит	1	4
260	в науке	1	4
261	оказывается что	1	4
262	него и	4	4
263	к богу	1	4
264	и других	1	4
265	и эта	1	4
266	же это	2	4
267	от него	7	3
268	все что	3	3
269	можно и	1	3
270	в разных	1	3
271	что человек	3	3
272	не хочет	1	3
273	во имя	3	3
274	отличается от	1	3
275	мир и	1	3
276	а что	1	3
277	не существует	1	3
278	в другом	2	3
279	выше всякого	1	3
280	отметить что	1	3
281	находится в	1	3
282	который в	1	3
283	и через	1	3
284	ума и	2	3
285	будто бы	1	3
286	что не	4	3
287	на земле	4	3
288	в мире	1	3
289	что их	1	3
290	бы в	1	3
291	человека как	1	3
292	этот период	1	3
293	и никогда	2	3
294	что есть	2	3
295	в силу	1	3
296	с каким	1	3
297	и ее	3	3
298	и действительно	1	3
299	жизни а	1	3
300	был бы	1	3
301	была бы	1	3
302	интерес к	1	3
303	самом деле	1	3
304	с ними	1	3
305	ли он	1	3
306	было у	1	3
307	всему этому	1	3
308	ни у	2	3
309	не имеют	1	3
310	но о	1	3
311	отношении к	1	3
312	с того	1	3
313	этот свой	1	3
314	того как	1	3
315	н к	1	3
316	с богом	2	3
317	бытие и	1	3
318	с их	1	3
319	всегда есть	4	3
320	указывает на	1	3
321	в новом	1	3
322	не стал	1	3
323	особенно в	1	3
324	он ни	1	3
325	его не	2	3
326	выше всего	2	3
327	это была	1	3
328	к которой	1	3
329	думать что	1	3
330	бы он	1	3
331	он во	1	3
332	все еще	2	3
333	как будто	1	3
334	том случае	1	3
335	интереса к	1	3
336	человек не	7	3
337	которая была	1	2
338	в душе	2	2
339	ней не	1	2
340	бы даже	1	2
341	любовь к	2	2
342	вопросу о	1	2
343	их жизни	1	2
344	у его	1	2
345	но тем	1	2
346	был человек	1	2
347	вопрос об	1	2
348	своей новой	1	2
349	никогда и	2	2
350	например в	1	2
351	вот с	1	2
352	у достоевского	19	2
353	у обоих	1	2
354	где оно	1	2
355	все и	1	2
356	уже сам	1	2
357	любил он	1	2
358	и своим	1	2
359	сила и	1	2
360	к михайловского	1	2
361	и отец	1	2
362	можно ли	2	2
363	рационализма и	2	2
364	и православной	1	2
365	вообще и	1	2
366	духа и	1	2
367	одна из	1	2
368	достоевского но	2	2
369	распадается на	1	2
370	всякий кто	2	2
371	все в	4	2
372	подойти к	2	2
373	после того	1	2
374	но еще	1	2
375	притом не	1	2
376	а ведь	1	2
377	в ее	2	2
378	чем у	1	2
379	стремится к	1	2
380	дается в	1	2
381	к чему	1	2
382	вещей и	1	2
383	от этого	1	2
384	но к	1	2
385	с вопросом	1	2
386	в русской	3	2
387	но можно	1	2
388	личности и	2	2
389	с какой	1	2
390	его творчества	1	2
391	и после	1	2
392	него совершенно	1	2
393	он еще	1	2
394	истории и	1	2
395	этого нужно	1	2
396	он хотел	1	2
397	свое учение	1	2
398	что во	1	2
399	его как	1	2
400	жизни все	3	2
401	что только	1	2
402	но ничего	1	2
403	та же	1	2
404	должна быть	1	2
405	есть для	1	2
406	знания в	1	2
407	за это	1	2
408	со всеми	1	2
409	сказать с	1	2
410	я имею	1	2
411	особого рода	1	2
412	любовь и	1	2
413	в одно	1	2
414	я хочу	1	2
415	у одного	1	2
416	том как	1	2
417	но оно	1	2
418	бросается в	1	2
419	его и	1	2
420	и заключается	1	2
421	раз уже	2	2
422	это за	3	2
423	это все	1	2
424	человека от	1	2
425	народа и	1	2
426	со всей	1	2
427	в которую	1	2
428	но сам	1	2
429	нет никакой	1	2
430	не потому	1	2
431	было всего	2	2
432	в глазах	1	2
433	и раньше	1	2
434	этого слова	1	2
435	в самой	9	2
436	уже с	1	2
437	природы и	2	2
438	которым он	1	2
439	стремиться к	1	2
440	эта не	1	2
441	и пр	1	2
442	в первый	1	2
443	ли так	1	2
444	всего мира	1	2
445	всякого человека	1	2
446	него была	1	2
447	ничего кроме	2	2
448	о пушкине	1	2
449	же не	1	2
450	в русском	1	2
451	есть уже	1	2
452	в эпоху	1	2
453	с той	1	2
454	людей в	1	2
455	свобода и	2	2
456	к одному	1	2
457	с чего	2	2
458	бытия как	1	2
459	человека в	11	2
460	она должна	1	2
461	случае если	1	2
462	не могу	1	2
463	не по	1	2
464	его всегда	1	2
465	человека с	1	2
466	огромное значение	1	2
467	было не	1	2
468	любви и	1	2
469	науки о	1	1
470	он впоследствии	1	1
471	человек может	1	1
472	человеческой души	6	1
473	которой все	1	1
474	что природа	1	1
475	лет назад	1	1
476	и великий	3	1
477	людей но	1	1
478	достоевского можно	1	1
479	свою мысль	1	1
480	а потому	1	1
481	ты не	1	1
482	с умом	1	1
483	он вечно	2	1
484	быть может	3	1
485	и женщины	1	1
486	связь с	1	1
487	люди а	1	1
488	их не	2	1
489	и проблема	1	1
490	ведь все	1	1
491	нельзя потому	1	1
492	представляется ему	1	1
493	мысль о	2	1
494	из всего	2	1
495	в корне	1	1
496	о судьбе	1	1
497	природы это	1	1
498	того ни	1	1
499	и вечной	1	1
500	другом месте	1	1
501	от самой	1	1
502	нужно считать	1	1
