N	3gram	Tiupa_Narr	Tragedij
1	то же время	7	5
2	в то же	7	5
3	так и в	1	3
4	в том что	11	2
5	и как бы	1	2
6	бросается в глаза	1	2
7	точно так же	2	2
8	в данном случае	12	2
9	о том что	3	2
10	и в самом	1	2
11	но все же	1	2
12	в отличие от	6	2
13	сам по себе	1	1
14	но в конце	1	1
15	а на другой	1	1
16	об этом прямо	1	1
17	у него есть	1	1
18	в разговоре с	1	1
19	может быть не	2	1
20	в обоих случаях	1	1
21	и не могли	1	1
22	мысль о том	1	1
23	вместо того чтобы	1	1
24	в той же	1	1
25	в себе ее	1	1
26	что в ней	1	1
27	не может быть	6	1
28	еще в году	1	1
29	и т п	2	1
30	но при этом	3	1
31	по сравнению с	1	1
32	а стало быть	2	1
33	xx века в	1	1
34	и то что	1	1
35	как и все	1	1
36	не только не	2	1
37	связаны между собой	1	1
38	но и на	2	1
39	у него нет	1	1
40	что я не	1	1
41	не исключено что	1	1
42	об этом свидетельствует	1	1
43	сменяющие друг друга	1	1
44	как и в	1	1
45	в связи с	3	1
46	его дочь и	1	1
47	и все же	4	1
48	уже не к	1	1
49	в самом деле	3	1
50	не только к	1	1
51	него нет своего	1	1
52	во всяком случае	2	1
53	к тому что	4	1
54	тем не менее	6	1
55	но уже не	1	1
56	в этой связи	1	1
57	это по слову	1	1
58	а как же	1	1
59	свидетельствует о его	1	1
60	по природе своей	1	1
61	и не может	3	1
