N	2gram	Tiupa_Hudo	Sovremen
1	не может	9	17
2	может быть	19	12
3	точки зрения	11	12
4	таким образом	3	11
5	в каждом	1	8
6	в этом	12	7
7	и в	23	7
8	в результате	1	6
9	как и	3	6
10	и не	16	6
11	с точки	3	5
12	прежде всего	5	5
13	все эти	2	5
14	в условиях	1	5
15	а в	13	4
16	так как	1	4
17	это не	4	4
18	не только	20	4
19	в развитии	1	4
20	как бы	11	4
21	если мы	2	4
22	в зависимости	1	4
23	их в	3	4
24	жизни и	1	4
25	вместе с	1	4
26	в целом	3	4
27	в том	20	4
28	зависимости от	1	4
29	из них	1	4
30	и к	3	3
31	и потому	2	3
32	когда мы	1	3
33	то же	12	3
34	у каждого	1	3
35	при этом	19	3
36	не в	9	3
37	а не	13	3
38	в системе	3	3
39	для нас	1	3
40	все это	2	3
41	в одном	3	3
42	у нас	1	3
43	в конце	1	3
44	ведь это	1	3
45	и т.д	4	3
46	было бы	1	3
47	в первом	1	3
48	в этой	2	3
49	в себе	13	3
50	не подлежит	1	3
51	что она	2	3
52	одна из	2	3
53	все же	1	3
54	при таком	1	3
55	в области	8	3
56	может не	1	3
57	отличается от	2	3
58	между собой	2	3
59	отнюдь не	2	3
60	в нем	6	3
61	но мы	1	3
62	но в	10	3
63	еще не	4	3
64	с этим	1	2
65	что в	7	2
66	этих двух	2	2
67	тем не	3	2
68	в самом	7	2
69	мы видим	1	2
70	значение в	1	2
71	каждая из	2	2
72	и что	4	2
73	отличие от	7	2
74	и пр	1	2
75	то и	1	2
76	с одной	3	2
77	в отличие	7	2
78	такого рода	12	2
79	в свою	3	2
80	из этих	3	2
81	в его	11	2
82	не дает	1	2
83	в которую	1	2
84	можно назвать	1	2
85	то ни	2	2
86	всего только	1	2
87	с совершенно	1	2
88	что это	1	2
89	или же	1	2
90	быть и	2	2
91	из которых	2	2
92	что такое	2	2
93	может иметь	1	2
94	говорить о	4	2
95	на его	1	2
96	в третьем	1	2
97	на их	1	2
98	у него	2	2
99	не могут	1	2
100	со всеми	1	2
101	а на	5	2
102	свою очередь	2	2
