N	2gram	Voloshinov	EvropaiE
1	и в	32	37
2	в отношении	7	32
3	в пределах	7	25
4	точки зрения	48	23
5	что в	5	21
6	не только	18	18
7	с точки	31	17
8	в то	7	16
9	то же	19	15
10	хотя бы	8	15
11	отношении к	8	15
12	в качестве	4	14
13	и не	42	14
14	но и	17	14
15	же время	7	14
16	в своем	3	14
17	но в	13	14
18	в этом	27	12
19	в том	13	11
20	в их	5	11
21	в области	3	11
22	с и	1	10
23	так и	21	10
24	в себе	5	9
25	прежде всего	19	9
26	только в	14	9
27	в смысле	11	9
28	все более	2	9
29	так же	10	9
30	не может	40	9
31	отнюдь не	14	9
32	с одной	2	8
33	в ее	9	8
34	в своей	5	8
35	одной стороны	2	8
36	между тем	8	8
37	было бы	8	8
38	к тому	8	8
39	так как	5	7
40	того что	5	7
41	как и	19	7
42	между прочим	1	7
43	также и	1	7
44	с другой	6	7
45	то есть	2	6
46	с этой	2	6
47	и даже	4	6
48	эти области	2	6
49	и на	8	6
50	том что	12	6
51	вовсе не	15	6
52	во всех	13	6
53	может быть	50	6
54	того чтобы	9	6
55	для того	8	6
56	стороны и	2	6
57	то что	12	6
58	как бы	31	6
59	на то	4	6
60	в той	6	5
61	как нам	1	5
62	тем самым	1	5
63	в виде	1	5
64	этой точки	1	5
65	не в	13	5
66	в россии	1	5
67	но не	2	5
68	к которым	3	5
69	от этого	3	5
70	со стороны	2	5
71	и потому	7	5
72	которую мы	1	5
73	же как	2	5
74	в частности	2	5
75	как мы	26	5
76	одной из	5	5
77	столь же	2	5
78	но если	2	5
79	и по	1	5
80	в самом	14	4
81	бы то	11	4
82	то в	3	4
83	мы не	6	4
84	в предыдущем	1	4
85	ни было	15	4
86	того или	2	4
87	иными словами	2	4
88	не на	2	4
89	и притом	1	4
90	само по	2	4
91	именно в	6	4
92	в процессе	31	4
93	по себе	5	4
94	не имеет	6	4
95	в каком	6	4
96	тем более	3	4
97	той или	5	4
98	вопрос о	6	4
99	лежат в	1	4
100	то ни	12	4
101	или иного	2	4
102	как совокупность	1	4
103	как это	2	4
104	несмотря на	1	4
105	в направлении	11	4
106	к ней	1	4
107	в ней	5	4
108	сказать что	7	4
109	можно сказать	4	4
110	техники и	1	4
111	во многих	1	4
112	или иной	8	4
113	независимо от	3	4
114	и к	3	3
115	применении к	1	3
116	приближается к	1	3
117	всех случаях	1	3
118	в применении	1	3
119	из всех	1	3
120	в определенном	2	3
121	и области	1	3
122	этом отношении	4	3
123	ее в	2	3
124	что и	5	3
125	в результате	9	3
126	или иную	1	3
127	мы можем	6	3
128	не является	11	3
129	себе не	1	3
130	можно было	2	3
131	на себя	1	3
132	областей и	1	3
133	дело в	1	3
134	тем что	3	3
135	в таком	8	3
136	вообще не	2	3
137	в деле	1	3
138	большинстве случаев	7	3
139	в пределы	1	3
140	как в	5	3
141	жизни в	5	3
142	мира и	2	3
143	и со	1	3
144	в известном	1	3
145	с другом	2	3
146	на своем	1	3
147	бы ни	1	3
148	во всяком	8	3
149	ни на	1	3
150	бы и	2	3
151	во все	2	3
152	в данном	8	3
153	по нашему	1	3
154	ли это	1	3
155	идет о	1	3
156	в свою	6	3
157	не дает	4	3
158	ту или	1	3
159	связано с	3	3
160	потому что	2	3
161	и тем	4	3
162	когда он	1	3
163	не будет	7	3
164	и для	15	3
165	народов и	1	3
166	культурной ценности	1	3
167	этом смысле	2	3
168	отметить что	1	3
169	известной степени	2	3
170	к ним	1	3
171	как на	2	3
172	с тем	1	3
173	в данной	5	3
174	обстоит дело	1	3
175	это так	2	3
176	и от	6	3
177	место в	5	3
178	о том	4	3
179	в общем	1	3
180	и прежде	4	3
181	от них	1	3
182	мы видели	5	3
183	там где	4	3
184	и только	2	3
185	друг с	2	3
186	всяком случае	4	3
187	не из	1	3
188	того же	11	3
189	из них	3	3
190	их отношении	1	3
191	никогда не	7	3
192	всего в	1	2
193	таким образом	29	2
194	и ту	3	2
195	именно к	1	2
196	и всецело	1	2
197	и то	4	2
198	в другой	1	2
199	во втором	2	2
200	и во	2	2
201	влияние на	3	2
202	мы видим	2	2
203	в гораздо	1	2
204	и этот	2	2
205	по преимуществу	5	2
206	говоря уже	1	2
207	этот процесс	4	2
208	на язык	3	2
209	и того	11	2
210	должна быть	6	2
211	тогда когда	2	2
212	и имеет	1	2
213	в его	10	2
214	свою очередь	5	2
215	на арене	1	2
216	одна и	1	2
217	еще более	1	2
218	значения для	2	2
219	что это	3	2
220	это значит	1	2
221	хотя и	1	2
222	к идеологии	1	2
223	с этим	6	2
224	будет ли	1	2
225	какой бы	4	2
226	его на	1	2
227	и если	2	2
228	из того	1	2
229	для них	2	2
230	с другими	6	2
231	другой стороны	7	2
232	в этих	2	2
233	не могут	4	2
234	также в	1	2
235	одну и	1	2
236	в своих	2	2
237	как же	5	2
238	при условии	1	2
239	от друга	1	2
240	если бы	12	2
241	или в	4	2
242	и с	4	2
243	и все	8	2
244	в процессах	2	2
245	и эта	5	2
246	рано или	2	2
247	или хотя	2	2
248	в какой	5	2
249	имеет место	2	2
250	вместе с	2	2
251	и как	8	2
252	притом в	1	2
253	есть в	1	2
254	но по	2	2
255	не есть	6	2
256	производства в	1	2
257	идеологии и	1	2
258	дело идет	4	2
