N	2gram	Tiupa_Anal	Sovremen
1	не может	26	17
2	может быть	33	12
3	точки зрения	10	12
4	таким образом	5	11
5	мы не	1	9
6	в этом	31	7
7	и в	30	7
8	не можем	1	7
9	в результате	3	6
10	только одна	1	6
11	как и	23	6
12	ничего не	10	6
13	и не	33	6
14	с точки	6	5
15	прежде всего	8	5
16	что же	3	5
17	все эти	3	5
18	и наконец	2	5
19	а в	11	4
20	так как	3	4
21	вопрос о	2	4
22	это не	7	4
23	не только	30	4
24	мы должны	2	4
25	как бы	15	4
26	нет и	2	4
27	в зависимости	1	4
28	их в	1	4
29	жизни и	1	4
30	вместе с	6	4
31	в целом	9	4
32	в том	36	4
33	зависимости от	1	4
34	из них	2	4
35	точку зрения	1	4
36	и к	5	3
37	и потому	2	3
38	на этой	2	3
39	уже в	1	3
40	то же	12	3
41	при этом	20	3
42	в два	2	3
43	не в	17	3
44	а не	25	3
45	в системе	1	3
46	для нас	1	3
47	все это	2	3
48	как он	4	3
49	в одном	3	3
50	у нас	1	3
51	а все	1	3
52	в конце	4	3
53	ведь это	2	3
54	в наших	1	3
55	и т.д	4	3
56	было бы	4	3
57	в первом	3	3
58	в этой	12	3
59	он в	5	3
60	и все	5	3
61	на две	1	3
62	в себе	17	3
63	следующим образом	1	3
64	не подлежит	1	3
65	что она	1	3
66	он может	2	3
67	одна из	1	3
68	все же	4	3
69	при таком	2	3
70	в области	4	3
71	может не	2	3
72	отличается от	3	3
73	между собой	2	3
74	отнюдь не	22	3
75	в нем	3	3
76	но мы	2	3
77	но в	11	3
78	еще не	5	3
79	что в	7	2
80	этих двух	1	2
81	тем не	3	2
82	в самом	12	2
83	совершенно не	2	2
84	мы видим	1	2
85	и что	2	2
86	отличие от	8	2
87	друг с	2	2
88	которой он	1	2
89	то и	2	2
90	с одной	7	2
91	принципиально не	3	2
92	в отличие	8	2
93	такого рода	6	2
94	в свою	1	2
95	из этих	2	2
96	в его	15	2
97	во всяком	1	2
98	в которую	2	2
99	еще более	1	2
100	то ни	3	2
101	что это	1	2
102	быть и	1	2
103	из которых	4	2
104	только один	1	2
105	может иметь	2	2
106	говорить о	3	2
107	на его	4	2
108	в науке	1	2
109	все те	1	2
110	свою целостность	1	2
111	у него	5	2
112	не могут	3	2
113	в виде	1	2
114	свою очередь	1	2
115	и даже	10	2
116	как известно	4	2
117	самом деле	3	2
118	в которой	3	2
119	но все	1	2
120	же самое	3	2
121	который как	1	2
122	как мы	3	2
123	она может	3	2
124	развития в	1	2
125	скажем в	1	2
126	тем же	1	2
127	и во	3	2
128	той же	4	2
129	о жизни	3	2
130	могут быть	12	2
131	и будет	1	2
132	в таком	5	2
133	в нашем	3	2
134	уже не	6	2
135	и есть	3	2
136	что все	2	2
137	или иной	8	2
138	на этот	2	2
139	такой же	3	2
140	на этом	4	2
141	роль в	3	2
142	не менее	5	2
143	так сказать	1	2
144	приводит к	2	2
145	и по	2	2
146	из четырех	2	2
147	времени и	7	2
148	своего предмета	3	2
149	на котором	3	2
150	между всеми	1	2
151	форма в	1	2
152	с другом	2	2
153	свою собственную	1	2
154	из одного	1	2
155	в один	4	2
156	каждого из	1	2
157	тот же	2	2
158	всяком случае	1	2
159	жизни но	3	1
160	во всех	5	1
161	все они	2	1
162	только одно	2	1
163	описания и	1	1
164	целостность и	2	1
165	и некоторой	1	1
166	бы то	3	1
167	которые в	3	1
168	что один	1	1
169	именно к	1	1
170	его и	3	1
171	этом случае	4	1
172	которые опираются	1	1
173	в свое	3	1
174	и составляет	2	1
175	только не	6	1
176	том случае	1	1
177	во втором	1	1
178	то он	3	1
179	третьего эксперимента	1	1
180	человека в	1	1
181	но как	1	1
182	система принципиально	1	1
183	не является	3	1
184	не допускает	1	1
185	из многих	1	1
186	в данном	6	1
187	до сих	1	1
188	только к	1	1
189	ему принадлежит	1	1
190	при условии	1	1
191	он уже	1	1
192	принадлежит только	2	1
193	явлений не	1	1
194	еще раз	1	1
195	и более	5	1
196	та же	1	1
197	имеют место	2	1
198	по преимуществу	4	1
199	принадлежащие одному	1	1
200	зрения может	1	1
201	мы постараемся	1	1
202	в действительности	2	1
203	все три	1	1
204	в любом	4	1
205	что иное	6	1
206	в процессе	2	1
207	с жизнью	1	1
208	данном случае	3	1
209	не имеют	1	1
210	связи с	2	1
211	без определенного	1	1
212	его работы	1	1
213	раз и	2	1
214	этот процесс	1	1
215	если в	3	1
216	указать на	1	1
217	должно быть	2	1
218	мы уже	2	1
219	это как	2	1
220	человек и	2	1
221	происходящего в	1	1
222	его с	1	1
223	идет о	1	1
224	другой такой	1	1
225	не нарушает	1	1
226	в течение	1	1
227	на ее	1	1
228	чтобы он	1	1
229	она в	1	1
230	ним и	2	1
231	но затем	1	1
232	одной стороны	6	1
233	ничто не	2	1
234	одна и	1	1
235	мы имеем	9	1
236	быть в	1	1
237	и речи	1	1
238	в другом	4	1
239	чем ее	1	1
240	несмотря на	5	1
241	другого для	1	1
242	это только	2	1
243	том как	1	1
244	чем объясняется	1	1
245	в ней	1	1
246	которых он	1	1
247	ни было	4	1
248	человека как	1	1
249	а может	1	1
250	научной мысли	1	1
251	хотя и	4	1
252	с другой	7	1
253	подлежит никакому	1	1
254	и тогда	3	1
255	с ним	6	1
256	связей и	1	1
257	он не	4	1
258	раз она	1	1
259	себя самого	2	1
260	и т.п	13	1
261	и той	1	1
262	одной и	1	1
