N	4gram	Propp_Isto	DiskursI
1	состоит в том что	1	7
2	с одной стороны и	1	5
3	мысль о том что	1	2
4	и не может быть	1	2
5	а в том что	1	2
6	в тех случаях когда	6	2
7	бы то ни было	1	2
8	но в данном случае	1	2
9	и не могло быть	1	1
10	в полном соответствии с	1	1
11	от отца к сыну	4	1
12	как мы видели не	1	1
13	сами по себе не	1	1
14	тогда как в мифе	1	1
15	той ситуации в которой	1	1
16	от тестя к зятю	3	1
17	говорит о том что	1	1
18	отличие от рассмотренных выше	1	1
19	не только в том	1	1
20	по мере того как	1	1
21	в том что он	1	1
22	что у него в	1	1
23	с одной стороны он	1	1
24	власти от тестя к	2	1
25	и тем более не	1	1
